#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux)
153,05/26/2023 19:40:00,23.12,169.76
154,05/26/2023 19:42:00,23.08,169.76
155,05/26/2023 19:44:00,23.12,168.80
156,05/26/2023 19:46:00,23.08,168.80
157,05/26/2023 19:48:00,23.08,169.76
158,05/26/2023 19:50:00,23.08,167.92
159,05/26/2023 19:52:00,23.08,169.76
160,05/26/2023 19:54:00,23.08,169.76
161,05/26/2023 19:56:00,23.08,167.92
162,05/26/2023 19:58:00,23.12,167.92
163,05/26/2023 20:00:00,23.08,169.76
164,05/26/2023 20:02:00,23.08,169.76
165,05/26/2023 20:04:00,23.08,168.80
166,05/26/2023 20:06:00,23.12,168.80
167,05/26/2023 20:08:00,23.08,169.76
168,05/26/2023 20:10:00,23.08,169.76
169,05/26/2023 20:12:00,23.03,170.64
170,05/26/2023 20:14:00,23.08,169.76
171,05/26/2023 20:16:00,23.08,168.80
172,05/26/2023 20:18:00,23.08,168.80
173,05/26/2023 20:20:00,23.12,167.92
174,05/26/2023 20:22:00,23.08,168.80
175,05/26/2023 20:24:00,23.08,168.80
176,05/26/2023 20:26:00,23.08,169.76
177,05/26/2023 20:28:00,23.08,168.80
178,05/26/2023 20:30:00,23.08,169.76
179,05/26/2023 20:32:00,23.03,168.80
180,05/26/2023 20:34:00,23.08,169.76
181,05/26/2023 20:36:00,23.03,169.76
182,05/26/2023 20:38:00,23.12,168.80
183,05/26/2023 20:40:00,23.03,169.76
184,05/26/2023 20:42:00,23.03,168.80
185,05/26/2023 20:44:00,23.03,169.76
186,05/26/2023 20:46:00,23.12,168.80
187,05/26/2023 20:48:00,23.08,169.76
188,05/26/2023 20:50:00,23.03,167.92
189,05/26/2023 20:52:00,23.08,167.92
190,05/26/2023 20:54:00,23.12,167.92
191,05/26/2023 20:56:00,23.12,169.76
192,05/26/2023 20:58:00,23.08,168.80
193,05/26/2023 21:00:00,23.08,169.76
194,05/26/2023 21:02:00,23.08,167.92
195,05/26/2023 21:04:00,23.08,168.80
196,05/26/2023 21:06:00,23.12,168.80
197,05/26/2023 21:08:00,23.08,169.76
198,05/26/2023 21:10:00,23.03,168.80
199,05/26/2023 21:12:00,23.08,167.92
200,05/26/2023 21:14:00,23.12,168.80
201,05/26/2023 21:16:00,23.08,168.80
202,05/26/2023 21:18:00,23.08,169.76
203,05/26/2023 21:20:00,23.08,168.80
204,05/26/2023 21:22:00,23.08,169.76
205,05/26/2023 21:24:00,23.16,169.76
206,05/26/2023 21:26:00,23.12,168.80
207,05/26/2023 21:28:00,23.03,169.76
208,05/26/2023 21:30:00,23.03,167.92
209,05/26/2023 21:32:00,23.08,168.80
210,05/26/2023 21:34:00,23.08,168.80
211,05/26/2023 21:36:00,23.08,168.80
212,05/26/2023 21:38:00,23.08,168.80
213,05/26/2023 21:40:00,23.08,167.92
214,05/26/2023 21:42:00,23.08,167.92
215,05/26/2023 21:44:00,23.08,0.00
216,05/26/2023 21:46:00,23.08,0.00
217,05/26/2023 21:48:00,23.03,0.00
218,05/26/2023 21:50:00,23.03,0.00
219,05/26/2023 21:52:00,22.99,0.00
220,05/26/2023 21:54:00,23.03,0.00
221,05/26/2023 21:56:00,23.03,145.76
222,05/26/2023 21:58:00,22.99,0.00
223,05/26/2023 22:00:00,23.03,0.00
224,05/26/2023 22:02:00,22.99,0.00
225,05/26/2023 22:04:00,22.99,0.00
226,05/26/2023 22:06:00,22.95,0.00
227,05/26/2023 22:08:00,22.95,0.00
228,05/26/2023 22:10:00,22.95,0.00
229,05/26/2023 22:12:00,22.95,0.00
230,05/26/2023 22:14:00,22.95,0.00
231,05/26/2023 22:16:00,22.91,0.00
232,05/26/2023 22:18:00,22.91,0.00
233,05/26/2023 22:20:00,22.91,0.00
234,05/26/2023 22:22:00,22.91,0.00
235,05/26/2023 22:24:00,22.91,0.00
236,05/26/2023 22:26:00,22.91,0.00
237,05/26/2023 22:28:00,22.91,0.00
238,05/26/2023 22:30:00,22.86,0.00
239,05/26/2023 22:32:00,22.91,0.00
240,05/26/2023 22:34:00,22.91,0.00
241,05/26/2023 22:36:00,22.86,0.00
242,05/26/2023 22:38:00,22.91,0.00
243,05/26/2023 22:40:00,22.91,0.00
244,05/26/2023 22:42:00,22.86,0.00
245,05/26/2023 22:44:00,22.86,0.00
246,05/26/2023 22:46:00,22.91,0.00
247,05/26/2023 22:48:00,22.86,0.00
248,05/26/2023 22:50:00,22.91,0.00
249,05/26/2023 22:52:00,22.91,0.00
250,05/26/2023 22:54:00,22.91,0.00
251,05/26/2023 22:56:00,22.86,0.00
252,05/26/2023 22:58:00,22.82,0.00
253,05/26/2023 23:00:00,22.86,0.00
254,05/26/2023 23:02:00,22.91,0.00
255,05/26/2023 23:04:00,22.86,0.00
256,05/26/2023 23:06:00,22.91,0.00
257,05/26/2023 23:08:00,22.86,0.00
258,05/26/2023 23:10:00,22.86,0.00
259,05/26/2023 23:12:00,22.91,0.00
260,05/26/2023 23:14:00,22.86,0.00
261,05/26/2023 23:16:00,22.91,0.00
262,05/26/2023 23:18:00,22.86,0.00
263,05/26/2023 23:20:00,22.91,0.00
264,05/26/2023 23:22:00,22.91,0.00
265,05/26/2023 23:24:00,22.82,0.00
266,05/26/2023 23:26:00,22.91,0.00
267,05/26/2023 23:28:00,22.82,0.00
268,05/26/2023 23:30:00,22.86,0.00
269,05/26/2023 23:32:00,22.82,0.00
270,05/26/2023 23:34:00,22.86,0.00
271,05/26/2023 23:36:00,22.91,0.00
272,05/26/2023 23:38:00,22.82,0.00
273,05/26/2023 23:40:00,22.82,0.00
274,05/26/2023 23:42:00,22.82,0.00
275,05/26/2023 23:44:00,22.86,0.00
276,05/26/2023 23:46:00,22.82,0.00
277,05/26/2023 23:48:00,22.86,0.00
278,05/26/2023 23:50:00,22.82,0.00
279,05/26/2023 23:52:00,22.82,0.00
280,05/26/2023 23:54:00,22.86,0.00
281,05/26/2023 23:56:00,22.86,0.00
282,05/26/2023 23:58:00,22.82,0.00
283,05/27/2023 00:00:00,22.82,0.00
284,05/27/2023 00:02:00,22.73,0.00
285,05/27/2023 00:04:00,22.82,0.00
286,05/27/2023 00:06:00,22.86,0.00
287,05/27/2023 00:08:00,22.82,0.00
288,05/27/2023 00:10:00,22.82,0.00
289,05/27/2023 00:12:00,22.82,0.00
290,05/27/2023 00:14:00,22.86,0.00
291,05/27/2023 00:16:00,22.86,0.00
292,05/27/2023 00:18:00,22.78,0.00
293,05/27/2023 00:20:00,22.82,0.00
294,05/27/2023 00:22:00,22.86,0.00
295,05/27/2023 00:24:00,22.86,0.00
296,05/27/2023 00:26:00,22.86,0.00
297,05/27/2023 00:28:00,22.86,0.00
298,05/27/2023 00:30:00,22.82,0.00
299,05/27/2023 00:32:00,22.86,0.00
300,05/27/2023 00:34:00,22.86,0.00
301,05/27/2023 00:36:00,22.82,0.00
302,05/27/2023 00:38:00,22.82,0.00
303,05/27/2023 00:40:00,22.82,0.00
304,05/27/2023 00:42:00,22.82,0.00
305,05/27/2023 00:44:00,22.82,0.00
306,05/27/2023 00:46:00,22.82,0.00
307,05/27/2023 00:48:00,22.82,0.00
308,05/27/2023 00:50:00,22.82,0.00
309,05/27/2023 00:52:00,22.86,0.00
310,05/27/2023 00:54:00,22.86,0.00
311,05/27/2023 00:56:00,22.82,0.00
312,05/27/2023 00:58:00,22.82,0.00
313,05/27/2023 01:00:00,22.82,0.00
314,05/27/2023 01:02:00,22.86,0.00
315,05/27/2023 01:04:00,22.82,0.00
316,05/27/2023 01:06:00,22.82,0.00
317,05/27/2023 01:08:00,22.86,0.00
318,05/27/2023 01:10:00,22.86,0.00
319,05/27/2023 01:12:00,22.86,0.00
320,05/27/2023 01:14:00,22.82,0.00
321,05/27/2023 01:16:00,22.86,0.00
322,05/27/2023 01:18:00,22.86,0.00
323,05/27/2023 01:20:00,22.91,0.00
324,05/27/2023 01:22:00,22.86,0.00
325,05/27/2023 01:24:00,22.82,0.00
326,05/27/2023 01:26:00,22.82,0.00
327,05/27/2023 01:28:00,22.86,0.00
328,05/27/2023 01:30:00,22.82,0.00
329,05/27/2023 01:32:00,22.82,0.00
330,05/27/2023 01:34:00,22.86,0.00
331,05/27/2023 01:36:00,22.82,0.00
332,05/27/2023 01:38:00,22.78,0.00
333,05/27/2023 01:40:00,22.86,0.00
334,05/27/2023 01:42:00,22.82,0.00
335,05/27/2023 01:44:00,22.82,0.00
336,05/27/2023 01:46:00,22.86,0.00
337,05/27/2023 01:48:00,22.86,0.00
338,05/27/2023 01:50:00,22.86,0.00
339,05/27/2023 01:52:00,22.82,0.00
340,05/27/2023 01:54:00,22.86,0.00
341,05/27/2023 01:56:00,22.82,0.00
342,05/27/2023 01:58:00,22.86,0.00
343,05/27/2023 02:00:00,22.82,0.00
344,05/27/2023 02:02:00,22.82,0.00
345,05/27/2023 02:04:00,22.86,0.00
346,05/27/2023 02:06:00,22.86,0.00
347,05/27/2023 02:08:00,22.82,0.00
348,05/27/2023 02:10:00,22.82,0.00
349,05/27/2023 02:12:00,22.82,0.00
350,05/27/2023 02:14:00,22.82,0.00
351,05/27/2023 02:16:00,22.82,0.00
352,05/27/2023 02:18:00,22.86,0.00
353,05/27/2023 02:20:00,22.82,0.00
354,05/27/2023 02:22:00,22.82,0.00
355,05/27/2023 02:24:00,22.82,0.00
356,05/27/2023 02:26:00,22.86,0.00
357,05/27/2023 02:28:00,22.82,0.00
358,05/27/2023 02:30:00,22.82,0.00
359,05/27/2023 02:32:00,22.86,0.00
360,05/27/2023 02:34:00,22.86,0.00
361,05/27/2023 02:36:00,22.86,0.00
362,05/27/2023 02:38:00,22.86,0.00
363,05/27/2023 02:40:00,22.82,0.00
364,05/27/2023 02:42:00,22.82,0.00
365,05/27/2023 02:44:00,22.82,0.00
366,05/27/2023 02:46:00,22.86,0.00
367,05/27/2023 02:48:00,22.86,0.00
368,05/27/2023 02:50:00,22.86,0.00
369,05/27/2023 02:52:00,22.86,0.00
370,05/27/2023 02:54:00,22.86,0.00
371,05/27/2023 02:56:00,22.86,0.00
372,05/27/2023 02:58:00,22.86,0.00
373,05/27/2023 03:00:00,22.82,0.00
374,05/27/2023 03:02:00,22.86,0.00
375,05/27/2023 03:04:00,22.86,0.00
376,05/27/2023 03:06:00,22.86,0.00
377,05/27/2023 03:08:00,22.82,0.00
378,05/27/2023 03:10:00,22.82,0.00
379,05/27/2023 03:12:00,22.86,0.00
380,05/27/2023 03:14:00,22.82,0.00
381,05/27/2023 03:16:00,22.86,0.00
382,05/27/2023 03:18:00,22.82,0.00
383,05/27/2023 03:20:00,22.86,0.00
384,05/27/2023 03:22:00,22.91,0.00
385,05/27/2023 03:24:00,22.86,0.00
386,05/27/2023 03:26:00,22.82,0.00
387,05/27/2023 03:28:00,22.82,0.00
388,05/27/2023 03:30:00,22.82,0.00
389,05/27/2023 03:32:00,22.86,0.00
390,05/27/2023 03:34:00,22.86,0.00
391,05/27/2023 03:36:00,22.78,0.00
392,05/27/2023 03:38:00,22.82,0.00
393,05/27/2023 03:40:00,22.82,0.00
394,05/27/2023 03:42:00,22.86,0.00
395,05/27/2023 03:44:00,22.86,0.00
396,05/27/2023 03:46:00,22.82,0.00
397,05/27/2023 03:48:00,22.86,0.00
398,05/27/2023 03:50:00,22.82,0.00
399,05/27/2023 03:52:00,22.86,0.00
400,05/27/2023 03:54:00,22.82,0.00
401,05/27/2023 03:56:00,22.86,0.00
402,05/27/2023 03:58:00,22.82,0.00
403,05/27/2023 04:00:00,22.86,0.00
404,05/27/2023 04:02:00,22.82,0.00
405,05/27/2023 04:04:00,22.82,0.00
406,05/27/2023 04:06:00,22.86,0.00
407,05/27/2023 04:08:00,22.82,0.00
408,05/27/2023 04:10:00,22.78,0.00
409,05/27/2023 04:12:00,22.86,0.00
410,05/27/2023 04:14:00,22.82,0.00
411,05/27/2023 04:16:00,22.86,0.00
412,05/27/2023 04:18:00,22.82,0.00
413,05/27/2023 04:20:00,22.82,0.00
414,05/27/2023 04:22:00,22.82,0.00
415,05/27/2023 04:24:00,22.86,0.00
416,05/27/2023 04:26:00,22.91,0.00
417,05/27/2023 04:28:00,22.82,0.00
418,05/27/2023 04:30:00,22.82,0.00
419,05/27/2023 04:32:00,22.82,0.00
420,05/27/2023 04:34:00,22.86,0.00
421,05/27/2023 04:36:00,22.91,0.00
422,05/27/2023 04:38:00,22.86,0.00
423,05/27/2023 04:40:00,22.82,0.00
424,05/27/2023 04:42:00,22.86,0.00
425,05/27/2023 04:44:00,22.82,0.00
426,05/27/2023 04:46:00,22.86,0.00
427,05/27/2023 04:48:00,22.86,0.00
428,05/27/2023 04:50:00,22.82,0.00
429,05/27/2023 04:52:00,22.82,0.00
430,05/27/2023 04:54:00,22.86,112.56
431,05/27/2023 04:56:00,22.86,161.48
432,05/27/2023 04:58:00,22.86,170.64
433,05/27/2023 05:00:00,22.82,172.48
434,05/27/2023 05:02:00,22.86,172.48
435,05/27/2023 05:04:00,22.86,171.60
436,05/27/2023 05:06:00,22.91,171.60
437,05/27/2023 05:08:00,22.95,169.76
438,05/27/2023 05:10:00,22.91,170.64
439,05/27/2023 05:12:00,22.95,169.76
440,05/27/2023 05:14:00,22.95,169.76
441,05/27/2023 05:16:00,22.95,169.76
442,05/27/2023 05:18:00,22.99,168.80
443,05/27/2023 05:20:00,22.95,167.92
444,05/27/2023 05:22:00,22.95,168.80
445,05/27/2023 05:24:00,22.95,169.76
446,05/27/2023 05:26:00,22.99,169.76
447,05/27/2023 05:28:00,22.99,170.64
448,05/27/2023 05:30:00,22.99,169.76
449,05/27/2023 05:32:00,22.99,169.76
450,05/27/2023 05:34:00,23.03,169.76
451,05/27/2023 05:36:00,22.95,167.92
452,05/27/2023 05:38:00,22.99,169.76
453,05/27/2023 05:40:00,22.99,169.76
454,05/27/2023 05:42:00,22.99,170.64
455,05/27/2023 05:44:00,23.03,170.64
456,05/27/2023 05:46:00,22.99,170.64
457,05/27/2023 05:48:00,23.03,170.64
458,05/27/2023 05:50:00,23.03,167.92
459,05/27/2023 05:52:00,22.99,169.76
460,05/27/2023 05:54:00,23.03,168.80
461,05/27/2023 05:56:00,22.99,167.92
462,05/27/2023 05:58:00,22.99,169.76
463,05/27/2023 06:00:00,23.08,170.64
464,05/27/2023 06:02:00,23.03,168.80
465,05/27/2023 06:04:00,22.99,169.76
466,05/27/2023 06:06:00,23.08,167.92
467,05/27/2023 06:08:00,23.08,170.64
468,05/27/2023 06:10:00,23.08,169.76
469,05/27/2023 06:12:00,23.08,169.76
470,05/27/2023 06:14:00,23.03,170.64
471,05/27/2023 06:16:00,23.03,170.64
472,05/27/2023 06:18:00,23.08,169.76
473,05/27/2023 06:20:00,23.03,169.76
474,05/27/2023 06:22:00,23.03,170.64
475,05/27/2023 06:24:00,23.08,170.64
476,05/27/2023 06:26:00,23.03,169.76
477,05/27/2023 06:28:00,23.03,170.64
478,05/27/2023 06:30:00,23.08,169.76
479,05/27/2023 06:32:00,23.03,168.80
480,05/27/2023 06:34:00,23.08,169.76
481,05/27/2023 06:36:00,23.08,168.80
482,05/27/2023 06:38:00,23.08,169.76
483,05/27/2023 06:40:00,23.08,171.60
484,05/27/2023 06:42:00,23.03,170.64
485,05/27/2023 06:44:00,23.08,169.76
486,05/27/2023 06:46:00,23.12,170.64
487,05/27/2023 06:48:00,23.08,170.64
488,05/27/2023 06:50:00,23.08,170.64
489,05/27/2023 06:52:00,23.08,170.64
490,05/27/2023 06:54:00,23.08,171.60
491,05/27/2023 06:56:00,23.12,171.60
492,05/27/2023 06:58:00,23.12,173.44
493,05/27/2023 07:00:00,23.08,173.44
494,05/27/2023 07:02:00,23.08,174.32
495,05/27/2023 07:04:00,23.08,175.28
496,05/27/2023 07:06:00,23.08,175.28
497,05/27/2023 07:08:00,23.08,176.16
498,05/27/2023 07:10:00,23.08,174.32
499,05/27/2023 07:12:00,23.08,172.48
500,05/27/2023 07:14:00,23.08,173.44
501,05/27/2023 07:16:00,23.03,173.44
502,05/27/2023 07:18:00,23.03,173.44
503,05/27/2023 07:20:00,22.99,173.44
504,05/27/2023 07:22:00,23.08,175.28
505,05/27/2023 07:24:00,23.08,174.32
506,05/27/2023 07:26:00,23.03,175.28
507,05/27/2023 07:28:00,22.99,175.28
508,05/27/2023 07:30:00,22.99,176.16
509,05/27/2023 07:32:00,23.03,174.32
510,05/27/2023 07:34:00,22.99,176.16
511,05/27/2023 07:36:00,22.99,175.28
512,05/27/2023 07:38:00,22.99,175.28
513,05/27/2023 07:40:00,22.99,173.44
514,05/27/2023 07:42:00,23.03,175.28
515,05/27/2023 07:44:00,23.03,173.44
516,05/27/2023 07:46:00,22.99,176.16
517,05/27/2023 07:48:00,22.99,174.32
518,05/27/2023 07:50:00,22.95,175.28
519,05/27/2023 07:52:00,22.95,174.32
520,05/27/2023 07:54:00,22.99,176.16
521,05/27/2023 07:56:00,22.99,174.32
522,05/27/2023 07:58:00,22.95,171.60
523,05/27/2023 08:00:00,23.03,171.60
524,05/27/2023 08:02:00,22.99,172.48
525,05/27/2023 08:04:00,23.12,172.48
526,05/27/2023 08:06:00,23.12,170.64
527,05/27/2023 08:08:00,23.12,173.44
528,05/27/2023 08:10:00,23.12,171.60
529,05/27/2023 08:12:00,23.03,173.44
530,05/27/2023 08:14:00,23.08,174.32
531,05/27/2023 08:16:00,23.08,174.32
532,05/27/2023 08:18:00,23.08,176.16
533,05/27/2023 08:20:00,23.08,175.28
534,05/27/2023 08:22:00,23.12,175.28
535,05/27/2023 08:24:00,23.08,174.32
536,05/27/2023 08:26:00,23.12,175.28
537,05/27/2023 08:28:00,23.12,174.32
538,05/27/2023 08:30:00,23.12,175.28
539,05/27/2023 08:32:00,23.16,175.28
540,05/27/2023 08:34:00,23.12,176.16
541,05/27/2023 08:36:00,23.12,175.28
542,05/27/2023 08:38:00,23.08,175.28
543,05/27/2023 08:40:00,23.08,173.44
544,05/27/2023 08:42:00,23.12,175.28
545,05/27/2023 08:44:00,23.12,174.32
546,05/27/2023 08:46:00,23.12,173.44
547,05/27/2023 08:48:00,23.12,176.16
548,05/27/2023 08:50:00,23.16,174.32
549,05/27/2023 08:52:00,23.12,176.16
550,05/27/2023 08:54:00,23.16,175.28
551,05/27/2023 08:56:00,23.21,177.12
552,05/27/2023 08:58:00,23.16,175.28
553,05/27/2023 09:00:00,23.21,176.16
554,05/27/2023 09:02:00,23.21,175.28
555,05/27/2023 09:04:00,23.21,176.16
556,05/27/2023 09:06:00,23.21,173.44
557,05/27/2023 09:08:00,23.25,176.16
558,05/27/2023 09:10:00,23.21,174.32
559,05/27/2023 09:12:00,23.21,176.16
560,05/27/2023 09:14:00,23.16,174.32
561,05/27/2023 09:16:00,23.21,176.16
562,05/27/2023 09:18:00,23.16,174.32
563,05/27/2023 09:20:00,23.16,174.32
564,05/27/2023 09:22:00,23.21,176.16
565,05/27/2023 09:24:00,23.21,176.16
566,05/27/2023 09:26:00,23.21,174.32
567,05/27/2023 09:28:00,23.21,174.32
568,05/27/2023 09:30:00,23.21,175.28
569,05/27/2023 09:32:00,23.16,176.16
570,05/27/2023 09:34:00,23.16,175.28
571,05/27/2023 09:36:00,23.21,176.16
572,05/27/2023 09:38:00,23.16,175.28
573,05/27/2023 09:40:00,23.21,175.28
574,05/27/2023 09:42:00,23.16,177.12
575,05/27/2023 09:44:00,23.16,176.16
576,05/27/2023 09:46:00,23.16,176.16
577,05/27/2023 09:48:00,23.16,176.16
578,05/27/2023 09:50:00,23.16,176.16
579,05/27/2023 09:52:00,23.16,174.32
580,05/27/2023 09:54:00,23.16,175.28
581,05/27/2023 09:56:00,23.16,175.28
582,05/27/2023 09:58:00,23.16,176.16
583,05/27/2023 10:00:00,23.16,175.28
584,05/27/2023 10:02:00,23.12,176.16
585,05/27/2023 10:04:00,23.16,175.28
586,05/27/2023 10:06:00,23.12,176.16
587,05/27/2023 10:08:00,23.16,175.28
588,05/27/2023 10:10:00,23.16,176.16
589,05/27/2023 10:12:00,23.12,175.28
590,05/27/2023 10:14:00,23.12,176.16
591,05/27/2023 10:16:00,23.12,176.16
592,05/27/2023 10:18:00,23.08,177.12
593,05/27/2023 10:20:00,23.08,174.32
594,05/27/2023 10:22:00,23.08,177.12
595,05/27/2023 10:24:00,23.12,176.16
596,05/27/2023 10:26:00,23.08,176.16
597,05/27/2023 10:28:00,23.08,174.32
598,05/27/2023 10:30:00,23.08,175.28
599,05/27/2023 10:32:00,23.08,175.28
600,05/27/2023 10:34:00,23.12,174.32
601,05/27/2023 10:36:00,23.12,176.16
602,05/27/2023 10:38:00,23.12,176.16
603,05/27/2023 10:40:00,23.16,174.32
604,05/27/2023 10:42:00,23.12,176.16
