"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity","Salinity_off"
"98",2021-05-16 18:48:30,"CT_331",28.95,35301.7,47467.5,30.8859,30.9836147540984
"99",2021-05-16 18:49:00,"CT_331",28.93,35250.3,47416.1,30.8486,30.9463147540984
"100",2021-05-16 18:49:30,"CT_331",28.93,35170.2,47308.2,30.77,30.8677147540984
"101",2021-05-16 18:50:00,"CT_331",28.93,35157.5,47291.1,30.7576,30.8553147540984
"102",2021-05-16 18:50:30,"CT_331",28.93,35189.4,47334.1,30.7889,30.8866147540984
"103",2021-05-16 18:51:00,"CT_331",28.93,35301.7,47485.4,30.899,30.9967147540984
"104",2021-05-16 18:51:30,"CT_331",28.93,35292,47472.3,30.8894,30.9871147540984
"105",2021-05-16 18:52:00,"CT_331",28.93,35324.2,47515.7,30.921,31.0187147540984
"106",2021-05-16 18:52:30,"CT_331",28.93,35285.6,47463.7,30.8832,30.9809147540984
"107",2021-05-16 18:53:00,"CT_331",28.93,35227.8,47385.8,30.8265,30.9242147540984
"108",2021-05-16 18:53:30,"CT_331",28.93,35247.1,47411.8,30.8454,30.9431147540984
"109",2021-05-16 18:54:00,"CT_331",28.93,35240.6,47403.1,30.8391,30.9368147540984
"110",2021-05-16 18:54:30,"CT_331",28.93,35231,47390.1,30.8296,30.9273147540984
"111",2021-05-16 18:55:00,"CT_331",28.93,35243.8,47407.4,30.8422,30.9399147540984
"112",2021-05-16 18:55:30,"CT_331",28.93,35215,47368.6,30.814,30.9117147540984
"113",2021-05-16 18:56:00,"CT_331",28.93,35250.3,47416.1,30.8486,30.9463147540984
"114",2021-05-16 18:56:30,"CT_331",28.93,35211.8,47364.3,30.8108,30.9085147540984
"115",2021-05-16 18:57:00,"CT_331",28.93,37265.2,50130.7,32.8335,32.9312147540984
"116",2021-05-16 18:57:30,"CT_331",28.93,37254.5,50116.3,32.8229,32.9206147540984
"117",2021-05-16 18:58:00,"CT_331",28.93,37123.7,49940,32.6935,32.7912147540984
"118",2021-05-16 18:58:30,"CT_331",28.93,37099,49906.7,32.669,32.7667147540984
"119",2021-05-16 18:59:00,"CT_331",28.93,37116.6,49930.5,32.6864,32.7841147540984
"120",2021-05-16 18:59:30,"CT_331",28.93,37070.9,49868.9,32.6412,32.7389147540984
"121",2021-05-16 19:00:00,"CT_331",28.93,37120.2,49935.3,32.69,32.7877147540984
