DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),pH,pH (mV),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L)
5/23/2021,12:38:55 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60252.8,55816,36.93,55328.8,36280,84.5,23.5,23.5,7.81,-91.6,0.51,0,110.7,6.93
5/23/2021,12:38:58 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60252.1,55815.8,36.93,55328.8,36280,84.5,23.5,23.5,7.81,-91.6,0.5,0,110.8,6.93
5/23/2021,12:39:01 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60251.6,55817,36.93,55330.2,36281,84.5,23.5,23.5,7.81,-91.6,0.48,0,110.9,6.93
5/23/2021,12:39:04 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60250.7,55818.9,36.93,55332.3,36282,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.9,6.94
5/23/2021,12:39:07 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60249.9,55820.5,36.93,55334.3,36283,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.9,6.94
5/23/2021,12:39:10 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60250,55822.7,36.94,55336.7,36285,84.5,23.5,23.5,7.81,-91.6,0.53,0,110.9,6.94
5/23/2021,12:39:13 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60249.5,55824.1,36.94,55338.3,36286,84.5,23.5,23.5,7.81,-91.6,0.52,0,110.9,6.94
5/23/2021,12:39:16 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60249.5,55824.9,36.94,55339.1,36286,84.5,23.5,23.5,7.81,-91.6,0.51,0,110.9,6.94
5/23/2021,12:39:19 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60249.5,55824.9,36.94,55339.1,36286,84.5,23.5,23.5,7.81,-91.6,0.47,0,110.9,6.94
5/23/2021,12:39:22 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60249.2,55824,36.94,55338.2,36286,84.5,23.5,23.5,7.81,-91.6,0.46,0,110.9,6.94
5/23/2021,12:39:25 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60248.4,55821.7,36.93,55335.7,36284,84.5,23.5,23.5,7.81,-91.6,0.46,0,110.8,6.93
5/23/2021,12:39:28 PM,<None>,,-17.49062 °,-149.82622 °,756.6,60247.8,55818.9,36.93,55332.7,36282,84.5,23.5,23.5,7.81,-91.6,0.47,0,110.8,6.93
5/23/2021,12:39:31 PM,<None>,,-17.49062 °,-149.82622 °,756.6,60246.5,55816.2,36.93,55329.8,36281,84.5,23.5,23.5,7.81,-91.5,0.5,0,110.8,6.93
5/23/2021,12:39:34 PM,<None>,,-17.49062 °,-149.82622 °,756.6,60246.2,55815.1,36.93,55328.6,36280,84.5,23.5,23.5,7.81,-91.5,0.53,0,110.8,6.93
5/23/2021,12:39:37 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60245.7,55814.3,36.93,55327.8,36279,84.5,23.5,23.5,7.81,-91.5,0.53,0,110.8,6.93
5/23/2021,12:39:40 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60245.6,55814.7,36.93,55328.2,36280,84.5,23.5,23.5,7.81,-91.5,0.51,0,110.8,6.93
5/23/2021,12:39:43 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60246.3,55815.1,36.93,55328.6,36280,84.5,23.5,23.5,7.81,-91.5,0.51,0,110.8,6.93
5/23/2021,12:39:46 PM,<None>,,-17.49062 °,-149.82623 °,756.6,60246.6,55813.9,36.93,55327.2,36279,84.5,23.5,23.5,7.81,-91.5,0.51,0,110.8,6.93
5/23/2021,12:39:49 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60246.7,55811.4,36.93,55324.5,36277,84.5,23.5,23.5,7.81,-91.5,0.53,0,110.8,6.93
5/23/2021,12:39:52 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60247.3,55807.8,36.92,55320.3,36275,84.5,23.5,23.5,7.81,-91.5,0.55,0,110.9,6.93
5/23/2021,12:39:55 PM,<None>,,-17.49062 °,-149.82623 °,756.7,60247.6,55803.8,36.92,55315.8,36272,84.5,23.4,23.4,7.81,-91.5,0.6,0,110.9,6.93
5/23/2021,12:39:58 PM,<None>,,-17.49062 °,-149.82623 °,756.5,60249.1,55800.4,36.92,55311.9,36270,84.5,23.4,23.4,7.81,-91.5,0.6,0,110.9,6.94
5/23/2021,12:40:01 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60250.6,55798,36.92,55309,36269,84.5,23.4,23.4,7.81,-91.5,0.61,0,110.9,6.94
5/23/2021,12:40:04 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60251.5,55797.2,36.92,55308,36268,84.5,23.4,23.4,7.8,-91.5,0.54,0,110.9,6.94
5/23/2021,12:40:07 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60253,55799.1,36.92,55310,36269,84.5,23.4,23.4,7.8,-91.5,0.53,0,111,6.94
5/23/2021,12:40:10 PM,<None>,,-17.49063 °,-149.82622 °,756.7,60253.9,55801.1,36.92,55312.1,36271,84.5,23.4,23.4,7.8,-91.5,0.48,0,111,6.94
5/23/2021,12:40:13 PM,<None>,,-17.49064 °,-149.82622 °,756.6,60254.4,55803.4,36.92,55314.5,36272,84.5,23.4,23.4,7.8,-91.5,0.48,0,111.1,6.95
5/23/2021,12:40:16 PM,<None>,,-17.49064 °,-149.82622 °,756.7,60255.1,55805,36.92,55316.3,36273,84.5,23.4,23.4,7.8,-91.5,0.47,0,111.1,6.95
5/23/2021,12:40:19 PM,<None>,,-17.49064 °,-149.82623 °,756.6,60255.6,55804.8,36.92,55316.1,36273,84.5,23.4,23.4,7.8,-91.5,0.5,0,111.2,6.95
5/23/2021,12:40:22 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60256,55805,36.92,55316.2,36273,84.5,23.4,23.4,7.8,-91.5,0.48,0,111.3,6.96
5/23/2021,12:40:25 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60256.9,55807.2,36.92,55318.6,36275,84.5,23.4,23.4,7.8,-91.5,0.51,0,111.3,6.96
5/23/2021,12:40:28 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60257.1,55808.4,36.92,55319.9,36275,84.5,23.4,23.4,7.8,-91.5,0.51,0,111.4,6.96
5/23/2021,12:40:31 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60257.5,55810.5,36.93,55322.2,36277,84.5,23.5,23.5,7.8,-91.5,0.53,0,111.4,6.97
5/23/2021,12:40:34 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60257.4,55811.7,36.93,55323.5,36278,84.5,23.5,23.5,7.8,-91.5,0.57,0,111.4,6.97
5/23/2021,12:40:37 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60257.4,55812.1,36.93,55324,36278,84.5,23.5,23.5,7.8,-91.5,0.6,0,111.4,6.97
5/23/2021,12:40:40 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60256.6,55813.7,36.93,55325.8,36279,84.5,23.5,23.5,7.8,-91.5,0.57,0,111.4,6.97
5/23/2021,12:40:43 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60255.9,55817,36.93,55329.6,36281,84.5,23.5,23.5,7.8,-91.5,0.56,0,111.4,6.97
5/23/2021,12:40:46 PM,<None>,,-17.49063 °,-149.82623 °,756.7,60254.3,55820.1,36.93,55333.3,36283,84.5,23.5,23.5,7.8,-91.5,0.55,0,111.4,6.97
5/23/2021,12:40:49 PM,<None>,,-17.49063 °,-149.82623 °,756.6,60253,55821.6,36.93,55335.1,36284,84.5,23.5,23.5,7.8,-91.5,0.53,0,111.4,6.97
5/23/2021,12:40:52 PM,<None>,,-17.49063 °,-149.82625 °,756.7,60252.1,55820.2,36.93,55333.6,36283,84.5,23.5,23.5,7.8,-91.5,0.55,0,111.4,6.97
5/23/2021,12:40:55 PM,<None>,,-17.49063 °,-149.82625 °,756.6,60250.6,55817.1,36.93,55330.4,36281,84.5,23.5,23.5,7.8,-91.4,0.55,0,111.4,6.97
5/23/2021,12:40:58 PM,<None>,,-17.49063 °,-149.82625 °,756.6,60249.8,55816.1,36.93,55329.3,36280,84.5,23.5,23.5,7.8,-91.4,0.55,0,111.4,6.97
5/23/2021,12:41:01 PM,<None>,,-17.49062 °,-149.82625 °,756.7,60248.3,55815.9,36.93,55329.3,36280,84.5,23.5,23.5,7.8,-91.4,0.55,0,111.4,6.97
5/23/2021,12:41:04 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60247.7,55818.8,36.93,55332.6,36282,84.5,23.5,23.5,7.8,-91.4,0.55,0,111.4,6.97
5/23/2021,12:41:07 PM,<None>,,-17.49062 °,-149.82625 °,756.5,60246.6,55821.6,36.93,55335.8,36284,84.5,23.5,23.5,7.8,-91.4,0.55,0,111.4,6.97
5/23/2021,12:41:10 PM,<None>,,-17.49062 °,-149.82625 °,756.5,60245.6,55822.8,36.94,55337.3,36285,84.5,23.5,23.5,7.8,-91.4,0.56,0,111.3,6.97
5/23/2021,12:41:13 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60245.5,55823.1,36.94,55337.6,36285,84.5,23.5,23.5,7.8,-91.4,0.57,0,111.3,6.97
5/23/2021,12:41:16 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60245.1,55821.3,36.93,55335.7,36284,84.5,23.5,23.5,7.8,-91.4,0.56,0,111.3,6.96
5/23/2021,12:41:19 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60244.8,55819.6,36.93,55333.8,36283,84.5,23.5,23.5,7.8,-91.4,0.56,0,111.3,6.96
5/23/2021,12:41:22 PM,<None>,,-17.49062 °,-149.82625 °,756.6,60245.1,55818.2,36.93,55332.3,36282,84.5,23.5,23.5,7.8,-91.4,0.53,0,111.2,6.96
5/23/2021,12:41:25 PM,<None>,,-17.49062 °,-149.82625 °,756.7,60245,55816.5,36.93,55330.3,36281,84.5,23.5,23.5,7.8,-91.4,0.56,0,111.2,6.96
5/23/2021,12:41:28 PM,<None>,,-17.49062 °,-149.82625 °,756.4,60244.9,55814.5,36.93,55328.1,36279,84.5,23.5,23.5,7.8,-91.4,0.57,0,111.2,6.95
5/23/2021,12:41:31 PM,<None>,,-17.49062 °,-149.82623 °,756.4,60245.4,55814.3,36.93,55327.8,36279,84.5,23.5,23.5,7.8,-91.4,0.56,0,111.1,6.95
5/23/2021,12:42:21 PM,<None>,,-17.49063 °,-149.82625 °,756.4,60243.1,55822.2,36.94,55336.9,36284,84.5,23.5,23.5,7.8,-91.4,0.53,0,111,6.95
5/23/2021,12:42:51 PM,<None>,,-17.49059 °,-149.82626 °,756.4,60242.3,55808.5,36.92,55321.6,36275,84.5,23.5,23.5,7.8,-91.4,0.52,0,111.2,6.96
5/23/2021,12:43:21 PM,<None>,,-17.49060 °,-149.82625 °,756.5,60245.7,55825.3,36.94,55340,36286,84.5,23.5,23.5,7.8,-91.4,0.5,0,111.1,6.95
5/23/2021,12:43:51 PM,<None>,,-17.49060 °,-149.82626 °,756.5,60251.8,55814.2,36.93,55326.9,36279,84.5,23.5,23.5,7.8,-91.5,0.5,0,111.4,6.97
5/23/2021,12:44:21 PM,<None>,,-17.49062 °,-149.82625 °,756.5,60256.2,55813.1,36.93,55325.2,36279,84.5,23.5,23.5,7.8,-91.4,0.51,0,111.4,6.97
5/23/2021,12:44:51 PM,<None>,,-17.49062 °,-149.82625 °,756.5,60266,55842.2,36.95,55356.6,36297,84.5,23.5,23.5,7.8,-91.4,0.63,0,112.3,7.02
5/23/2021,12:45:21 PM,<None>,,-17.49065 °,-149.82623 °,756.5,60272.1,55833.7,36.94,55346.4,36292,84.5,23.5,23.5,7.8,-91.4,0.6,0,111.1,6.95
5/23/2021,12:45:51 PM,<None>,,-17.49065 °,-149.82622 °,756.5,60272.4,55824.6,36.94,55336.2,36286,84.5,23.5,23.5,7.8,-91.3,0.57,0,111.2,6.96
5/23/2021,12:46:21 PM,<None>,,-17.49063 °,-149.82622 °,756.4,60275.1,55817.9,36.93,55328.4,36282,84.5,23.5,23.5,7.8,-91.3,0.52,0,111.5,6.97
5/23/2021,12:46:51 PM,<None>,,-17.49063 °,-149.82623 °,756.4,60283.9,55823.4,36.93,55333.5,36285,84.5,23.5,23.5,7.8,-91.3,0.6,0,111.2,6.95
5/23/2021,12:47:21 PM,<None>,,-17.49060 °,-149.82625 °,756.4,60295.4,55814.9,36.93,55322.7,36280,84.6,23.4,23.4,7.8,-91.3,0.51,0,111.1,6.94
5/23/2021,12:47:51 PM,<None>,,-17.49059 °,-149.82622 °,756.5,60308.8,55843.6,36.95,55353.2,36298,84.5,23.5,23.5,7.8,-91.3,0.48,0,111,6.94
5/23/2021,12:48:21 PM,<None>,,-17.49061 °,-149.82623 °,756.4,60315.1,55851,36.96,55360.7,36303,84.5,23.5,23.5,7.8,-91.2,0.65,0,110.8,6.93
5/23/2021,12:48:51 PM,<None>,,-17.49061 °,-149.82623 °,756.4,60324.7,55838.4,36.95,55345.6,36295,84.6,23.5,23.5,7.8,-91.2,0.53,0,110.4,6.9
5/23/2021,12:49:21 PM,<None>,,-17.49060 °,-149.82623 °,756.4,60320.3,55832,36.94,55338.9,36291,84.6,23.5,23.5,7.8,-91.1,0.55,0,109.9,6.87
5/23/2021,12:49:51 PM,<None>,,-17.49061 °,-149.82623 °,756.5,60318.8,55839,36.95,55346.8,36295,84.6,23.5,23.5,7.79,-91.1,0.6,0,109.7,6.85
5/23/2021,12:50:21 PM,<None>,,-17.49056 °,-149.82625 °,756.5,60327,55839.1,36.95,55346.1,36295,84.6,23.5,23.5,7.79,-91.1,0.53,0,109.5,6.84
5/23/2021,12:50:51 PM,<None>,,-17.49057 °,-149.82625 °,756.4,60324.8,55839.5,36.95,55346.8,36296,84.6,23.5,23.5,7.79,-91.1,0.55,0,109.4,6.84
5/23/2021,12:51:21 PM,<None>,,-17.49059 °,-149.82625 °,756.4,60316,55848.4,36.95,55357.7,36301,84.5,23.5,23.5,7.79,-91.1,0.51,0,109.4,6.84
5/23/2021,12:51:51 PM,<None>,,-17.49060 °,-149.82623 °,756.4,60307.9,55847.7,36.95,55357.9,36301,84.5,23.5,23.5,7.79,-91.1,0.59,0,109.3,6.84
5/23/2021,12:52:21 PM,<None>,,-17.49060 °,-149.82623 °,756.4,60282.2,55834.5,36.94,55346.1,36292,84.5,23.5,23.5,7.79,-91.1,0.54,0,109.3,6.83
5/23/2021,12:52:51 PM,<None>,,-17.49063 °,-149.82623 °,756.4,60273.5,55833.1,36.94,55345.6,36292,84.5,23.5,23.5,7.8,-91.1,0.61,0,109.2,6.83
5/23/2021,12:53:21 PM,<None>,,-17.49061 °,-149.82623 °,756.4,60272.9,55830.6,36.94,55342.9,36290,84.5,23.5,23.5,7.8,-91.2,0.55,0,109.2,6.83
5/23/2021,12:53:51 PM,<None>,,-17.49063 °,-149.82623 °,756.4,60252.6,55822.1,36.93,55335.7,36284,84.5,23.5,23.5,7.8,-91.2,0.55,0,109.2,6.83
5/23/2021,12:54:21 PM,<None>,,-17.49063 °,-149.82623 °,756.4,60247.4,55825.2,36.94,55339.7,36286,84.5,23.5,23.5,7.8,-91.3,0.57,0,109.2,6.83
5/23/2021,12:54:51 PM,<None>,,-17.49060 °,-149.82623 °,756.4,60251.5,55820.9,36.93,55334.4,36284,84.5,23.5,23.5,7.8,-91.2,0.53,0,109.2,6.83
5/23/2021,12:55:21 PM,<None>,,-17.49060 °,-149.82625 °,756.4,60259.4,55819,36.93,55331.5,36282,84.5,23.5,23.5,7.8,-91.2,0.54,0,109.2,6.83
5/23/2021,12:55:51 PM,<None>,,-17.49063 °,-149.82625 °,756.4,60261.4,55826.3,36.94,55339.4,36287,84.5,23.5,23.5,7.8,-91.2,0.61,0,109.2,6.83
5/23/2021,12:56:21 PM,<None>,,-17.49062 °,-149.82623 °,756.4,60273,55828.3,36.94,55340.3,36288,84.5,23.5,23.5,7.8,-91.2,0.51,0,109.5,6.85
5/23/2021,12:56:51 PM,<None>,,-17.49061 °,-149.82623 °,756.4,60291.6,55822.7,36.93,55331.8,36285,84.5,23.4,23.4,7.8,-91.3,0.54,0,109.5,6.84
5/23/2021,12:57:21 PM,<None>,,-17.49062 °,-149.82622 °,756.4,60296.5,55800.7,36.92,55306.7,36270,84.6,23.4,23.4,7.8,-91.3,0.53,0,109.3,6.83
5/23/2021,12:57:51 PM,<None>,,-17.49062 °,-149.82623 °,756.4,60349.2,55796.2,36.91,55295.6,36268,84.7,23.4,23.4,7.8,-91.3,0.65,0,109.3,6.82
5/23/2021,12:58:21 PM,<None>,,-17.49063 °,-149.82623 °,756.4,59876.4,55549.2,36.73,55074.6,36107,84.3,23.3,23.3,7.66,-85.5,9.55,0,102.9,6.45
5/23/2021,12:58:51 PM,<None>,,-17.49062 °,-149.82625 °,756.3,60081.9,55677.1,36.83,55193.6,36190,84.5,23.4,23.4,7.74,-89.1,0.65,0,108.5,6.8
5/23/2021,12:59:21 PM,<None>,,-17.49064 °,-149.82625 °,756.4,59681.5,55073.1,36.37,54565.7,35798,84.9,23,23,7.63,-84.4,2.41,0,98,6.12
5/23/2021,12:59:51 PM,<None>,,-17.49063 °,-149.82625 °,756.4,60002.6,55559.6,36.74,55071.6,36114,84.5,23.3,23.3,7.72,-88.2,0.57,0,107.8,6.75
5/23/2021,1:00:21 PM,<None>,,-17.49063 °,-149.82625 °,756.4,59703.3,55201.6,36.47,54706.6,35881,84.7,23.1,23.1,7.62,-84.1,4.13,0,107.1,6.7
5/23/2021,1:00:51 PM,<None>,,-17.49062 °,-149.82625 °,756.4,60027.8,55565.9,36.74,55075.7,36118,84.6,23.3,23.3,7.73,-88.4,0.5,0,109.9,6.88
5/23/2021,1:01:21 PM,<None>,,-17.49063 °,-149.82626 °,756.4,17709.2,16095.5,9.35,15915.9,10462,86.4,2.5,2.5,8,-99.6,0.98,0,104.1,7.44
5/23/2021,1:01:51 PM,<None>,,-17.49064 °,-149.82626 °,756.3,59953.7,55002.8,36.3,54455.3,35752,85.5,22.8,22.8,7.53,-80.6,1.62,0,106.8,6.64
5/23/2021,1:02:21 PM,<None>,,-17.49063 °,-149.82623 °,756.4,60136.8,55718.3,36.86,55233.3,36217,84.5,23.4,23.4,7.68,-86.3,0.59,0,109.5,6.85
5/23/2021,1:02:51 PM,<None>,,-17.49064 °,-149.82625 °,756.4,60167.8,55774.2,36.9,55292,36253,84.4,23.4,23.4,7.74,-89,0.56,0,110.4,6.91
5/23/2021,1:03:21 PM,<None>,,-17.49064 °,-149.82628 °,756.4,60172.6,55772.3,36.9,55289.3,36252,84.4,23.4,23.4,7.77,-90,0.61,0,110.4,6.91
5/23/2021,1:03:51 PM,<None>,,-17.49065 °,-149.82626 °,756.4,60165.3,55766.4,36.89,55283.7,36248,84.4,23.4,23.4,7.78,-90.6,0.57,0,110.4,6.91
5/23/2021,1:04:21 PM,<None>,,-17.49065 °,-149.82628 °,756.4,60163.3,55785.8,36.91,55305.6,36261,84.4,23.5,23.5,7.79,-90.9,0.49,0,110.3,6.91
5/23/2021,1:04:51 PM,<None>,,-17.49065 °,-149.82629 °,756.4,60163.9,55786.6,36.91,55306.3,36261,84.4,23.5,23.5,7.8,-91.2,0.53,0,110.2,6.9
5/23/2021,1:05:21 PM,<None>,,-17.49066 °,-149.82628 °,756.4,60168.1,55789.8,36.91,55309.4,36263,84.4,23.5,23.5,7.8,-91.3,0.54,0,110.2,6.9
5/23/2021,1:05:51 PM,<None>,,-17.49066 °,-149.82626 °,756.4,60163,55792.4,36.91,55312.9,36265,84.4,23.5,23.5,7.8,-91.5,0.55,0,110.2,6.9
5/23/2021,1:06:21 PM,<None>,,-17.49065 °,-149.82629 °,756.4,60157.3,55786.6,36.91,55307.1,36261,84.4,23.5,23.5,7.8,-91.5,0.54,0,110.2,6.9
5/23/2021,1:06:51 PM,<None>,,-17.49065 °,-149.82631 °,756.4,60158.4,55791.4,36.91,55312.3,36264,84.4,23.5,23.5,7.81,-91.5,0.48,0,110.3,6.91
5/23/2021,1:07:21 PM,<None>,,-17.49065 °,-149.82631 °,756.4,60153.6,55785.3,36.91,55306.1,36260,84.4,23.5,23.5,7.81,-91.6,0.49,0,110.2,6.9
5/23/2021,1:07:51 PM,<None>,,-17.49067 °,-149.82628 °,756.4,60145.5,55788.9,36.91,55311,36263,84.4,23.5,23.5,7.81,-91.6,0.49,0,110.1,6.9
5/23/2021,1:08:21 PM,<None>,,-17.49068 °,-149.82626 °,756.4,60147.1,55788,36.91,55309.9,36262,84.4,23.5,23.5,7.81,-91.6,0.5,0,110.1,6.9
5/23/2021,1:08:51 PM,<None>,,-17.49068 °,-149.82623 °,756.4,60141.6,55793.5,36.92,55316.6,36266,84.3,23.5,23.5,7.81,-91.6,0.51,0,110,6.89
5/23/2021,1:09:21 PM,<None>,,-17.49068 °,-149.82625 °,756.4,60218.7,55804.6,36.92,55320.1,36273,84.5,23.5,23.5,7.81,-91.8,0.74,0,110.3,6.9
5/23/2021,1:09:51 PM,<None>,,-17.49067 °,-149.82625 °,756.3,60246,55806.9,36.92,55319.4,36274,84.5,23.5,23.5,7.81,-91.8,0.58,0,110.8,6.93
