Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54030996,-149.900112,V12,V12,V32,J12,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.35,27.15,2371.094773,8.014289579842398,0.22,0.85,0.39,0.17
Varari,-17.54030996,-149.900112,V12,V12,V32,J12,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.28,27.31,2364.360097,8.02339308057693,0.19,1.61,0.58,0.76
Varari,-17.540749,-149.899133,V13,V13,V33,J13,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.66,2353.16399,8.056780684957578,0.22,1.63,0.53,0.35
Varari,-17.540749,-149.899133,V13,V13,V33,J13,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.52,28.36,2332.892346,8.070334183812419,0.24,1.89,0.59,0.38
Varari,-17.540749,-149.899133,V13,V13,V33,J13,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.4,27.02,2356.104421,7.992358450430365,0.2,2.33,0.35,0.2
Varari,-17.540749,-149.899133,V13,V13,V33,J13,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.57,27.22,2368.647558,8.024187709677738,0.21,1.07,0.55,0.49
Varari,-17.54039696,-149.899396,V14,V14,V34,J14,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.38,27.64,2335.097209,8.030434594492757,0.22,3.07,0.47,0.45
Varari,-17.54039696,-149.899396,V14,V14,V34,J14,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.29,26.97,2307.005078,8.049602892283623,0.22,1.45,0.47,0.32
Varari,-17.54039696,-149.899396,V14,V14,V34,J14,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.28,28.32,2316.281087,8.093793104642678,0.23,3.66,0.6,0.69
Varari,-17.54039696,-149.899396,V14,V14,V34,J14,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.36,26.86,2389.816955,7.977818514122357,0.2,1.47,0.45,0.21
