Location,lat,lon,CowTagID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54024902,-149.900454,V4,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.39,0.24,1.55,1.06,1.07
Varari,-17.54025003,-149.900336,V5,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.5,27.69,0.2,0.86,0.47,0.24
Varari,-17.54025003,-149.900336,V5,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.46,26.97,0.19,0.89,0.48,0.04
Varari,-17.54025003,-149.900336,V5,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.23,28.28,0.25,5.43,1.05,0.46
Varari,-17.54025003,-149.900336,V5,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,27.11,0.23,0.88,0.27,0.08
Varari,-17.54025003,-149.900336,V5,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.39,27.25,0.2,1.05,0.47,0.31
Varari,-17.54002498,-149.900106,V6,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.49,27.91,0.21,2.13,0.45,0.4
Varari,-17.54002498,-149.900106,V6,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.38,27.24,0.18,1.05,0.51,0.12
Varari,-17.54002498,-149.900106,V6,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.31,28.52,0.25,5,0.92,0.37
Varari,-17.54002498,-149.900106,V6,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.36,27.15,0.21,1.03,0.28,0.02
Varari,-17.54002498,-149.900106,V6,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.51,27.31,0.21,2.47,0.57,0.43
Varari,-17.54004803,-149.899985,V7,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.42,27.76,0.21,2.84,0.57,0.36
Varari,-17.54004803,-149.899985,V7,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,NA,NA,0.23,1.01,0.54,0.31
Varari,-17.54004803,-149.899985,V7,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.26,28.34,0.25,4,0.83,0.46
Varari,-17.54004803,-149.899985,V7,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.43,26.89,0.24,1.2,0.58,0.21
Varari,-17.54004803,-149.899985,V7,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.48,27.08,0.22,2.47,0.92,0.7
Varari,-17.54014903,-149.899896,V8,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.45,27.7,0.21,1.56,0.49,0.26
Varari,-17.54014903,-149.899896,V8,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.43,27.03,0.19,0.77,0.46,0.2
Varari,-17.54014903,-149.899896,V8,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.04,28.31,0.26,8.28,1.34,0.42
Varari,-17.54014903,-149.899896,V8,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.45,27.02,0.21,1.87,0.35,0.19
Varari,-17.54014903,-149.899896,V8,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.56,27.2,0.19,1.27,0.54,0.54
Varari,-17.540245,-149.899765,V9,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.4,27.83,0.22,1.01,0.53,0.21
Varari,-17.540245,-149.899765,V9,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.45,27.16,0.22,0.97,0.49,0.18
Varari,-17.540245,-149.899765,V9,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.47,28.44,0.24,2.37,0.66,0.36
Varari,-17.540245,-149.899765,V9,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.55,27.15,0.21,1.67,0.45,0.16
Varari,-17.540245,-149.899765,V9,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.38,27.34,0.22,1.09,0.55,0.45
Varari,-17.54030501,-149.899788,V10,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.61,0.21,1.01,0.46,0.26
Varari,-17.54030501,-149.899788,V10,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.36,26.94,0.22,0.88,0.45,0.3
Varari,-17.54030501,-149.899788,V10,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.33,28.21,0.21,3.66,0.65,0.26
Varari,-17.54030501,-149.899788,V10,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.5,27.01,0.21,1.59,0.3,0.03
Varari,-17.54030501,-149.899788,V10,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.28,27.2,0.22,1.56,0.62,0.43
Varari,-17.54019303,-149.900068,V11,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.68,0.21,1.13,0.51,0.36
Varari,-17.54019303,-149.900068,V11,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.45,26.97,0.21,0.66,0.34,1.02
Varari,-17.54019303,-149.900068,V11,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.12,28.25,0.23,7.61,1.11,0.39
Varari,-17.54019303,-149.900068,V11,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.48,27.07,0.21,0.88,0.34,0.07
Varari,-17.54019303,-149.900068,V11,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.24,0.2,1.04,0.5,0.42
Varari,-17.54030996,-149.900112,V12,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.44,27.75,0.22,0.88,0.44,0.26
Varari,-17.54030996,-149.900112,V12,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.38,27.02,0.24,0.85,0.5,0.51
Varari,-17.54030996,-149.900112,V12,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.28,28.35,0.23,4.18,0.75,0.26
Varari,-17.54030996,-149.900112,V12,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.35,27.15,0.22,0.85,0.39,0.17
Varari,-17.54030996,-149.900112,V12,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.28,27.31,0.19,1.61,0.58,0.76
Varari,-17.540749,-149.899133,V13,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.66,0.22,1.63,0.53,0.35
Varari,-17.540749,-149.899133,V13,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.52,28.36,0.24,1.89,0.59,0.38
Varari,-17.540749,-149.899133,V13,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.4,27.02,0.2,2.33,0.35,0.2
Varari,-17.540749,-149.899133,V13,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.57,27.22,0.21,1.07,0.55,0.49
Varari,-17.54039696,-149.899396,V14,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.38,27.64,0.22,3.07,0.47,0.45
Varari,-17.54039696,-149.899396,V14,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.29,26.97,0.22,1.45,0.47,0.32
Varari,-17.54039696,-149.899396,V14,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.28,28.32,0.23,3.66,0.6,0.69
Varari,-17.54039696,-149.899396,V14,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.36,26.86,0.2,1.47,0.45,0.21
Varari,-17.54039696,-149.899396,V14,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.35,27.05,0.22,2.33,0.44,0.34
Varari,-17.54014299,-149.900183,V15,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.59,0.22,1.22,0.53,0.4
Varari,-17.54014299,-149.900183,V15,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.44,26.87,0.18,0.65,0.4,0.47
Varari,-17.54014299,-149.900183,V15,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.15,28.17,0.28,7.61,1.08,0.26
Varari,-17.54014299,-149.900183,V15,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.45,26.94,0.19,1,0.41,0.15
Varari,-17.54014299,-149.900183,V15,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.45,27.11,0.22,1.18,0.39,0.34
Varari,-17.54029797,-149.900492,V16,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.64,0.21,1.37,0.47,0.3
Varari,-17.54029797,-149.900492,V16,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.49,26.91,0.19,0.66,0.32,0.86
Varari,-17.54029797,-149.900492,V16,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.4,28.16,0.21,1.25,0.44,0.36
Varari,-17.54029797,-149.900492,V16,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.48,27.09,0.19,0.96,0.3,0.02
Varari,-17.54029797,-149.900492,V16,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.59,27.21,0.21,1,0.32,0.31
Varari,-17.54031901,-149.899572,V17,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.28,27.61,0.21,2.7,0.5,0.32
Varari,-17.54031901,-149.899572,V17,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.02,26.98,0.21,1.25,0.51,0.33
Varari,-17.54031901,-149.899572,V17,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,37.05,28.31,0.29,7.39,0.99,0.3
Varari,-17.54031901,-149.899572,V17,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.34,26.88,0.21,1.69,0.39,0.11
Varari,-17.54031901,-149.899572,V17,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.46,27.05,0.22,2.06,0.41,0.24
Varari,-17.54019697,-149.899906,V18,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.46,27.66,0.22,1.28,0.51,0.32
Varari,-17.54019697,-149.899906,V18,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.47,27.01,0.21,0.88,0.47,0.32
Varari,-17.54019697,-149.899906,V18,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.13,28.3,0.31,7.67,1.09,0.48
Varari,-17.54019697,-149.899906,V18,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.39,27.03,0.2,0.95,0.34,0.12
Varari,-17.54019697,-149.899906,V18,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.57,27.23,0.22,1.33,0.31,0.2
Varari,-17.54050802,-149.89978,V19,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.55,0.22,1.21,0.47,0.34
Varari,-17.54050802,-149.89978,V19,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.27,26.74,0.2,0.7,0.33,0.44
Varari,-17.54050802,-149.89978,V19,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.52,27.95,0.22,1.1,0.38,0.15
Varari,-17.54050802,-149.89978,V19,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.44,26.91,0.19,0.81,0.26,0.08
Varari,-17.54050802,-149.89978,V19,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.63,27.03,0.19,1.29,0.23,0.14
Varari,-17.54045103,-149.899509,V20,Plate,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.29,27.69,0.2,1.77,0.46,0.26
Varari,-17.54045103,-149.899509,V20,Plate,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.39,27.01,0.19,0.75,0.38,0.43
Varari,-17.54045103,-149.899509,V20,Plate,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.48,28.33,0.27,1.88,0.61,0.22
Varari,-17.54045103,-149.899509,V20,Plate,8/6/2021,6:40:00,2021-08-06T06:40:00Z,Low,Day,36.49,26.97,0.19,0.95,0.34,0.11
Varari,-17.54045103,-149.899509,V20,Plate,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.53,27.16,0.19,1.07,0.32,0.23
Varari,-17.540302,-149.899331,VSEEP,Seep,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,29.44,27,1.07,164.27,12.7,1.1
Varari,-17.540302,-149.899331,VSEEP,Seep,8/6/2021,19:00:00,2021-08-06T19:00:00Z,Low,Night,36.07,27.62,0.27,3.97,0.9,0.24
Varari,-17.540302,-149.899331,VSEEP,Seep,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,34.06,26.55,0.52,62.53,4.08,0.41
Varari,-17.540302,-149.899331,VSEEP,Seep,8/4/2021,18:45:00,2021-08-04T18:45:00Z,Low,Night,33.84,26.97,0.43,61.8,4.15,0.58
Varari,-17.540302,-149.899331,VSEEP,Seep,8/4/2021,23:51:00,2021-08-04T23:51:00Z,High,Night,35.86,26.47,0.2,3.03,0.35,0.4
Varari,-17.540302,-149.899331,VSEEP,Seep,8/5/2021,2:51:00,2021-08-05T02:51:00Z,Mid,Night,36.05,26.35,0.25,6.11,0.64,0.44
Varari,-17.540302,-149.899331,VSEEP,Seep,8/5/2021,6:45:00,2021-08-05T06:45:00Z,Low,Day,33.65,26.1,0.51,79.11,4.33,0.43
Varari,-17.540302,-149.899331,VSEEP,Seep,8/5/2021,8:51:00,2021-08-05T08:51:00Z,Mid,Day,34.93,26.08,0.33,41.25,1.99,0.27
Varari,-17.540302,-149.899331,VSEEP,Seep,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.17,27.84,0.22,5.16,0.4,0.43
Varari,-17.540302,-149.899331,VSEEP,Seep,8/6/2021,8:30:00,2021-08-06T08:30:00Z,Mid,Day,36.01,26.56,0.2,3.66,0.65,0.39
Cabral,-17.517048,-149.912693,C1,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.13,26.49,0.23,5.65,0.55,0.39
Cabral,-17.517048,-149.912693,C1,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.17,27.57,0.21,4.67,0.38,0.16
Cabral,-17.517048,-149.912693,C1,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.17,27.2,0.17,6.09,0.08,0.02
Cabral,-17.517048,-149.912693,C1,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.9,27.64,0.13,3.51,0.11,0.02
Cabral,-17.51706904,-149.912949,C2,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.1,26.49,0.22,7.49,0.39,0.54
Cabral,-17.51706904,-149.912949,C2,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.18,27.57,0.23,4.42,0.42,0.22
Cabral,-17.51706904,-149.912949,C2,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.16,27.2,0.23,15.83,0.5,0.03
Cabral,-17.51697499,-149.913111,C3,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.12,26.69,0.28,5.39,0.69,0.37
Cabral,-17.51697499,-149.913111,C3,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.24,27.55,0.21,2.72,0.66,0.19
Cabral,-17.51697499,-149.913111,C3,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.17,27.44,0.19,2.92,0.38,0.02
Cabral,-17.51697499,-149.913111,C3,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.12,27.62,0.19,2.03,0.72,0.02
Cabral,-17.51679302,-149.912772,C4,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.02,27.27,0.22,8.33,0.25,0.47
Cabral,-17.51679302,-149.912772,C4,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.21,28.5,0.2,4.53,0.32,0.22
Cabral,-17.51679302,-149.912772,C4,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.04,28.22,0.2,5.05,0.52,0.03
Cabral,-17.51679302,-149.912772,C4,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.08,28.54,0.12,2.54,0.06,0.03
Cabral,-17.51659596,-149.912877,C5,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.08,26.35,0.23,8.28,0.4,0.42
Cabral,-17.51659596,-149.912877,C5,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.34,27.6,0.2,4.61,0.37,0.21
Cabral,-17.51659596,-149.912877,C5,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.23,27.36,0.17,4.63,0.12,0.02
Cabral,-17.51659596,-149.912877,C5,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.81,27.54,0.11,2.86,0.03,0.02
Cabral,-17.51653796,-149.913134,C6,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.43,27.28,0.21,1.91,0.44,0.26
Cabral,-17.51653796,-149.913134,C6,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.38,27.36,0.21,1.32,0.5,0.22
Cabral,-17.51653796,-149.913134,C6,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.27,27.33,0.14,1.63,0.04,0.02
Cabral,-17.51653796,-149.913134,C6,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.17,27.55,0.07,1.3,0.03,0.02
Cabral,-17.51630402,-149.913229,C7,Plate,8/10/2021,7:00:00,2021-08-10T07:00:00Z,Low,Day,36.26,27.17,0.22,2.38,0.61,0.29
Cabral,-17.51630402,-149.913229,C7,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.27,27.43,0.18,1.53,0.42,0.21
Cabral,-17.51632397,-149.91291,C8,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.2,27.25,0.23,6.2,0.44,0.35
Cabral,-17.51632397,-149.91291,C8,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.18,27.72,0.21,3.79,0.41,0.16
Cabral,-17.51632397,-149.91291,C8,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.17,27.54,0.17,4.38,0.31,0.08
Cabral,-17.51632397,-149.91291,C8,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.98,27.76,0.18,2.75,0.34,0.02
Cabral,-17.51639103,-149.913111,C9,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.23,27.18,0.25,5.46,0.7,0.4
Cabral,-17.51639103,-149.913111,C9,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.27,27.53,0.2,1.75,0.39,0.22
Cabral,-17.51639103,-149.913111,C9,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.25,27.41,0.19,3.4,0.32,0.03
Cabral,-17.51639103,-149.913111,C9,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.25,27.62,0.18,1.84,0.49,0.02
Cabral,-17.51588602,-149.912912,C10,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.21,27.17,0.24,6.79,0.31,0.32
Cabral,-17.51588602,-149.912912,C10,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.24,27.79,0.2,3.79,0.38,0.18
Cabral,-17.51588602,-149.912912,C10,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.19,27.6,0.23,4.62,0.49,0.31
Cabral,-17.51588602,-149.912912,C10,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.04,27.9,0.17,3.33,0.36,0.32
Cabral,-17.51598098,-149.913194,C11,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.28,27.62,0.24,3.62,0.7,0.36
Cabral,-17.51598098,-149.913194,C11,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.27,27.88,0.2,2.31,0.53,0.18
Cabral,-17.51598098,-149.913194,C11,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.25,27.84,0.22,3.24,0.57,0.05
Cabral,-17.51598098,-149.913194,C11,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,36.17,28.02,0.17,1.93,0.38,0.02
Cabral,-17.51595701,-149.913303,C12,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.19,27.19,0.25,4.12,1.02,0.28
Cabral,-17.51595701,-149.913303,C12,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.33,27.47,0.21,1.86,0.62,0.23
Cabral,-17.51595701,-149.913303,C12,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.26,27.46,0.21,4.61,0.67,0.14
Cabral,-17.51595701,-149.913303,C12,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,NA,NA,0.15,2.02,0.24,0.02
Cabral,-17.51557102,-149.913136,C13,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36.25,26.62,0.29,5.63,0.74,0.48
Cabral,-17.51557102,-149.913136,C13,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.12,27.6,0.23,6.18,0.58,0.3
Cabral,-17.51557102,-149.913136,C13,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.23,27.37,0.2,4.41,0.44,0.02
Cabral,-17.51557102,-149.913136,C13,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.3,27.54,0.22,5.71,0.75,0.02
Cabral,-17.51652597,-149.913031,C14,Plate,8/10/2021,7:00:00,2021-08-10T07:00:00Z,Low,Day,36.11,26.76,0.23,2.51,0.58,0.34
Cabral,-17.51652597,-149.913031,C14,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.28,27.77,0.2,1.74,0.41,0.27
Cabral,-17.51721597,-149.913056,C15,Plate,8/10/2021,7:00:00,2021-08-10T07:00:00Z,Low,Day,36.21,26.78,0.23,2.11,0.68,0.24
Cabral,-17.51721597,-149.913056,C15,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.26,27.45,0.19,2.39,0.55,0.2
Cabral,-17.51723299,-149.912976,C16,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,35.89,26.73,0.21,8.53,0.32,1.01
Cabral,-17.51723299,-149.912976,C16,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.19,27.61,0.21,3.37,0.43,0.19
Cabral,-17.51723299,-149.912976,C16,Plate,8/9/2021,1:10:00,2021-08-09T01:10:00Z,High,Night,36.19,27.4,0.18,3.2,0.3,0.02
Cabral,-17.51723299,-149.912976,C16,Plate,8/9/2021,19:00:00,2021-08-09T19:00:00Z,Low,Night,35.96,27.66,0.18,2.25,0.53,0.07
Cabral,-17.51721203,-149.912771,C17,Plate,8/9/2021,7:00:00,2021-08-09T07:00:00Z,Low,Day,36,26.57,0.26,8.92,0.35,0.51
Cabral,-17.51721203,-149.912771,C17,Plate,8/9/2021,13:00:00,2021-08-09T13:00:00Z,High,Day,36.16,27.62,0.2,5.5,0.42,0.23
