Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
075,03/30/22 08:36, 22, 03, 30, 08, 36,48,4.6,64.6,0.0,27.1,0.0, 2236, 8,26.6, 5, 1,6.24, 50, 134,25.7016200,11.0381900, 255,02,15,0.420,Sniff,58,31,0,13,0,4,6.74,0.00,2.83,0.00,0.866,
076,03/30/22 08:41, 22, 03, 30, 08, 41,59,4.6,59.3,1.7,33.9,0.0, 2218, 7,26.6, 5, 1,6.24, 50, 134,29.0179500,11.6071800, 255,02,16,0.572,Sniff,65,35,1,20,0,3,7.61,0.218,4.35,0.00,0.654,
077,03/30/22 08:46, 22, 03, 30, 08, 46,62,4.6,61.3,1.6,33.9,0.0, 2218, 8,26.6, 5, 1,6.24, 50, 134,31.6745900,12.0780200, 255,02,17,0.553,Sniff,71,38,1,21,0,2,8.26,0.216,4.57,0.00,0.431,
078,03/30/22 08:51, 22, 03, 30, 08, 51,43,4.6,60.5,2.3,30.2,0.0, 2201, 8,26.9, 5, 1,6.24, 50, 134,21.5561900,10.2742700, 255,02,18,0.499,Sniff,49,26,1,13,0,3,5.66,0.215,2.82,0.00,0.654,
079,03/30/22 08:56, 22, 03, 30, 08, 56,54,4.6,55.6,0.0,38.9,0.0, 2218, 8,26.9, 5, 1,6.24, 50, 134,24.8725300,10.8904600, 255,02,19,0.700,Sniff,56,30,0,21,0,3,6.53,0.00,4.57,0.00,0.646,
080,03/30/22 09:01, 22, 03, 30, 09, 01,68,4.6,57.4,1.5,33.8,0.0, 2236, 8,26.9, 5, 1,6.27, 50, 134,32.5081400,12.2106500, 255,02,20,0.589,Sniff,73,39,1,23,0,5,8.49,0.222,5.00,0.00,1.08,
081,03/30/22 09:06, 22, 03, 30, 09, 06,71,4.6,53.5,1.4,35.2,0.0, 2218, 7,27.2, 5, 1,6.24, 50, 134,31.6745900,12.0780200, 255,02,21,0.658,Sniff,71,38,1,25,0,7,8.26,0.216,5.43,0.00,1.53,
082,03/30/22 09:11, 22, 03, 30, 09, 11,83,4.6,56.6,1.2,36.2,0.0, 2218, 7,27.2, 5, 1,6.24, 50, 134,39.1764600,13.2169800, 255,02,22,0.640,Sniff,90,47,1,30,0,5,10.2,0.217,6.53,0.00,1.08,
083,03/30/22 09:16, 22, 03, 30, 09, 16,63,4.6,54.0,0.0,39.7,0.0, 2218, 7,27.2, 5, 1,6.27, 50, 134,28.1888700,11.4680300, 255,02,23,0.735,Sniff,64,34,0,25,0,4,7.40,0.00,5.44,0.00,0.863,
084,03/30/22 09:21, 22, 03, 30, 09, 21,79,4.6,59.5,2.5,34.2,0.0, 2236, 8,27.6, 5, 1,6.24, 50, 134,39.1764600,13.2169800, 255,02,24,0.575,Sniff,90,47,2,27,0,3,10.2,0.429,5.87,0.00,0.653,
085,03/30/22 09:26, 22, 03, 30, 09, 26,70,4.6,48.6,1.4,45.7,0.0, 2218, 7,27.6, 5, 1,6.24, 50, 134,28.3404200,11.5296800, 255,02,25,0.940,Sniff,64,34,1,32,0,3,7.40,0.213,6.95,0.00,0.654,
