EasyLog USB,Time,Celsius(°C),Comments,Serial Number
1877,3/31/2022 2:28,28.5,,
1878,3/31/2022 2:29,28.5,,
1879,3/31/2022 2:30,28.5,,
1880,3/31/2022 2:31,28.5,,
1881,3/31/2022 2:32,28.5,,
1882,3/31/2022 2:33,28.5,,
1883,3/31/2022 2:34,28.5,,
1884,3/31/2022 2:35,28.5,,
1885,3/31/2022 2:36,28.5,,
1886,3/31/2022 2:37,28.5,,
1887,3/31/2022 2:38,28.5,,
1888,3/31/2022 2:39,28.5,,
1889,3/31/2022 2:40,28.5,,
1890,3/31/2022 2:41,28.5,,
1891,3/31/2022 2:42,28.5,,
1892,3/31/2022 2:43,28.5,,
1893,3/31/2022 2:44,28.5,,
1894,3/31/2022 2:45,28.5,,
1895,3/31/2022 2:46,28.5,,
1896,3/31/2022 2:47,28.5,,
1897,3/31/2022 2:48,28.5,,
1898,3/31/2022 2:49,28.5,,
1899,3/31/2022 2:50,28.5,,
1900,3/31/2022 2:51,28.5,,
1901,3/31/2022 2:52,28.5,,
1902,3/31/2022 2:53,28.5,,
1903,3/31/2022 2:54,28.5,,
1904,3/31/2022 2:55,28.5,,
1905,3/31/2022 2:56,28.5,,
1906,3/31/2022 2:57,28.5,,
1907,3/31/2022 2:58,28.5,,
1908,3/31/2022 2:59,28.5,,
1909,3/31/2022 3:00,28.5,,
1910,3/31/2022 3:01,28.5,,
1911,3/31/2022 3:02,28.5,,
1912,3/31/2022 3:03,28.5,,
1913,3/31/2022 3:04,28.5,,
1914,3/31/2022 3:05,28.5,,
1915,3/31/2022 3:06,28.5,,
1916,3/31/2022 3:07,28.5,,
1917,3/31/2022 3:08,28.5,,
1918,3/31/2022 3:09,28.5,,
1919,3/31/2022 3:10,28.5,,
1920,3/31/2022 3:11,28.5,,
1921,3/31/2022 3:12,28.5,,
1922,3/31/2022 3:13,28.5,,
1923,3/31/2022 3:14,28.5,,
1924,3/31/2022 3:15,28.5,,
1925,3/31/2022 3:16,28.5,,
1926,3/31/2022 3:17,28.5,,
1927,3/31/2022 3:18,28.5,,
1928,3/31/2022 3:19,28.5,,
1929,3/31/2022 3:20,28.5,,
1930,3/31/2022 3:21,28.5,,
1931,3/31/2022 3:22,28.5,,
1932,3/31/2022 3:23,28.5,,
1933,3/31/2022 3:24,28.5,,
1934,3/31/2022 3:25,28.5,,
1935,3/31/2022 3:26,28.5,,
1936,3/31/2022 3:27,28.5,,
1937,3/31/2022 3:28,28.5,,
1938,3/31/2022 3:29,28.5,,
1939,3/31/2022 3:30,28.5,,
1940,3/31/2022 3:31,28.5,,
1941,3/31/2022 3:32,28.5,,
1942,3/31/2022 3:33,28.5,,
1943,3/31/2022 3:34,28.5,,
1944,3/31/2022 3:35,28.5,,
1945,3/31/2022 3:36,28.5,,
1946,3/31/2022 3:37,28.5,,
1947,3/31/2022 3:38,28.5,,
1948,3/31/2022 3:39,28.5,,
1949,3/31/2022 3:40,28.5,,
1950,3/31/2022 3:41,28.5,,
1951,3/31/2022 3:42,28.5,,
1952,3/31/2022 3:43,28.5,,
1953,3/31/2022 3:44,28.5,,
1954,3/31/2022 3:45,28.5,,
1955,3/31/2022 3:46,28.5,,
1956,3/31/2022 3:47,28.5,,
1957,3/31/2022 3:48,28.5,,
1958,3/31/2022 3:49,28.5,,
1959,3/31/2022 3:50,28.5,,
1960,3/31/2022 3:51,28.5,,
1961,3/31/2022 3:52,28.5,,
1962,3/31/2022 3:53,28,,
1963,3/31/2022 3:54,28,,
1964,3/31/2022 3:55,28,,
1965,3/31/2022 3:56,28,,
1966,3/31/2022 3:57,28,,
1967,3/31/2022 3:58,28,,
1968,3/31/2022 3:59,28,,
1969,3/31/2022 4:00,28,,
1970,3/31/2022 4:01,28,,
1971,3/31/2022 4:02,28,,
1972,3/31/2022 4:03,28,,
1973,3/31/2022 4:04,28,,
1974,3/31/2022 4:05,28,,
1975,3/31/2022 4:06,28,,
1976,3/31/2022 4:07,28,,
1977,3/31/2022 4:08,28,,
1978,3/31/2022 4:09,28.5,,
1979,3/31/2022 4:10,28.5,,
1980,3/31/2022 4:11,28.5,,
1981,3/31/2022 4:12,28.5,,
1982,3/31/2022 4:13,28.5,,
1983,3/31/2022 4:14,28.5,,
1984,3/31/2022 4:15,28.5,,
1985,3/31/2022 4:16,28.5,,
1986,3/31/2022 4:17,28.5,,
1987,3/31/2022 4:18,28.5,,
1988,3/31/2022 4:19,28.5,,
1989,3/31/2022 4:20,28.5,,
1990,3/31/2022 4:21,28.5,,
1991,3/31/2022 4:22,28.5,,
1992,3/31/2022 4:23,28.5,,
1993,3/31/2022 4:24,28.5,,
1994,3/31/2022 4:25,28.5,,
1995,3/31/2022 4:26,28.5,,
1996,3/31/2022 4:27,28.5,,
1997,3/31/2022 4:28,28.5,,
1998,3/31/2022 4:29,28,,
1999,3/31/2022 4:30,28,,
2000,3/31/2022 4:31,28,,
2001,3/31/2022 4:32,28,,
2002,3/31/2022 4:33,28,,
2003,3/31/2022 4:34,28,,
2004,3/31/2022 4:35,28,,
2005,3/31/2022 4:36,28,,
2006,3/31/2022 4:37,28,,
2007,3/31/2022 4:38,28,,
2008,3/31/2022 4:39,28,,
2009,3/31/2022 4:40,28,,
2010,3/31/2022 4:41,28,,
2011,3/31/2022 4:42,28,,
2012,3/31/2022 4:43,28,,
2013,3/31/2022 4:44,28,,
2014,3/31/2022 4:45,28,,
2015,3/31/2022 4:46,28,,
2016,3/31/2022 4:47,28,,
2017,3/31/2022 4:48,28,,
2018,3/31/2022 4:49,28.5,,
2019,3/31/2022 4:50,28.5,,
2020,3/31/2022 4:51,28.5,,
2021,3/31/2022 4:52,28.5,,
2022,3/31/2022 4:53,28.5,,
2023,3/31/2022 4:54,28.5,,
2024,3/31/2022 4:55,28,,
2025,3/31/2022 4:56,28.5,,
2026,3/31/2022 4:57,28,,
2027,3/31/2022 4:58,28,,
2028,3/31/2022 4:59,28,,
2029,3/31/2022 5:00,28,,
2030,3/31/2022 5:01,28,,
2031,3/31/2022 5:02,28,,
2032,3/31/2022 5:03,28,,
2033,3/31/2022 5:04,28,,
2034,3/31/2022 5:05,28,,
2035,3/31/2022 5:06,28,,
2036,3/31/2022 5:07,28,,
2037,3/31/2022 5:08,28,,
2038,3/31/2022 5:09,28,,
2039,3/31/2022 5:10,28,,
2040,3/31/2022 5:11,28,,
2041,3/31/2022 5:12,28,,
2042,3/31/2022 5:13,28,,
2043,3/31/2022 5:14,28,,
2044,3/31/2022 5:15,28,,
2045,3/31/2022 5:16,28,,
2046,3/31/2022 5:17,28,,
2047,3/31/2022 5:18,28,,
2048,3/31/2022 5:19,28,,
2049,3/31/2022 5:20,28,,
2050,3/31/2022 5:21,28,,
2051,3/31/2022 5:22,28,,
2052,3/31/2022 5:23,28,,
2053,3/31/2022 5:24,28,,
2054,3/31/2022 5:25,28,,
2055,3/31/2022 5:26,28,,
2056,3/31/2022 5:27,28,,
2057,3/31/2022 5:28,28,,
2058,3/31/2022 5:29,28,,
2059,3/31/2022 5:30,28,,
2060,3/31/2022 5:31,28,,
2061,3/31/2022 5:32,28,,
2062,3/31/2022 5:33,28,,
2063,3/31/2022 5:34,28,,
2064,3/31/2022 5:35,28,,
2065,3/31/2022 5:36,28,,
2066,3/31/2022 5:37,28,,
2067,3/31/2022 5:38,28,,
2068,3/31/2022 5:39,28,,
2069,3/31/2022 5:40,28,,
2070,3/31/2022 5:41,28,,
2071,3/31/2022 5:42,28,,
2072,3/31/2022 5:43,28,,
2073,3/31/2022 5:44,28,,
2074,3/31/2022 5:45,28,,
2075,3/31/2022 5:46,28,,
2076,3/31/2022 5:47,28,,
2077,3/31/2022 5:48,28,,
2078,3/31/2022 5:49,28,,
2079,3/31/2022 5:50,28,,
2080,3/31/2022 5:51,28,,
2081,3/31/2022 5:52,28,,
2082,3/31/2022 5:53,28,,
2083,3/31/2022 5:54,27.5,,
2084,3/31/2022 5:55,27.5,,
2085,3/31/2022 5:56,27.5,,
2086,3/31/2022 5:57,28,,
2087,3/31/2022 5:58,28,,
2088,3/31/2022 5:59,28,,
2089,3/31/2022 6:00,28,,
2090,3/31/2022 6:01,28,,
2091,3/31/2022 6:02,28,,
2092,3/31/2022 6:03,28,,
2093,3/31/2022 6:04,27.5,,
2094,3/31/2022 6:05,28,,
2095,3/31/2022 6:06,28,,
2096,3/31/2022 6:07,28,,
2097,3/31/2022 6:08,27.5,,
2098,3/31/2022 6:09,28,,
2099,3/31/2022 6:10,27.5,,
2100,3/31/2022 6:11,28,,
2101,3/31/2022 6:12,27.5,,
2102,3/31/2022 6:13,28,,
2103,3/31/2022 6:14,28,,
2104,3/31/2022 6:15,28,,
2105,3/31/2022 6:16,28,,
2106,3/31/2022 6:17,27.5,,
2107,3/31/2022 6:18,28,,
2108,3/31/2022 6:19,28,,
2109,3/31/2022 6:20,28,,
2110,3/31/2022 6:21,28,,
2111,3/31/2022 6:22,28,,
2112,3/31/2022 6:23,28,,
2113,3/31/2022 6:24,28,,
2114,3/31/2022 6:25,28,,
2115,3/31/2022 6:26,28,,
2116,3/31/2022 6:27,28,,
2117,3/31/2022 6:28,28,,
2118,3/31/2022 6:29,28,,
2119,3/31/2022 6:30,28,,
2120,3/31/2022 6:31,28,,
2121,3/31/2022 6:32,28,,
2122,3/31/2022 6:33,28,,
2123,3/31/2022 6:34,28,,
2124,3/31/2022 6:35,28,,
2125,3/31/2022 6:36,28,,
2126,3/31/2022 6:37,28,,
2127,3/31/2022 6:38,28,,
2128,3/31/2022 6:39,28,,
2129,3/31/2022 6:40,28,,
2130,3/31/2022 6:41,28,,
2131,3/31/2022 6:42,28,,
2132,3/31/2022 6:43,28,,
2133,3/31/2022 6:44,28,,
2134,3/31/2022 6:45,28,,
2135,3/31/2022 6:46,28,,
2136,3/31/2022 6:47,28,,
2137,3/31/2022 6:48,28,,
2138,3/31/2022 6:49,28,,
2139,3/31/2022 6:50,28,,
2140,3/31/2022 6:51,28,,
2141,3/31/2022 6:52,28,,
2142,3/31/2022 6:53,28,,
2143,3/31/2022 6:54,28,,
2144,3/31/2022 6:55,28,,
2145,3/31/2022 6:56,28,,
2146,3/31/2022 6:57,28,,
2147,3/31/2022 6:58,28,,
2148,3/31/2022 6:59,28,,
2149,3/31/2022 7:00,28,,
2150,3/31/2022 7:01,28,,
2151,3/31/2022 7:02,28,,
2152,3/31/2022 7:03,28,,
2153,3/31/2022 7:04,28,,
2154,3/31/2022 7:05,28,,
2155,3/31/2022 7:06,28,,
2156,3/31/2022 7:07,28,,
2157,3/31/2022 7:08,28,,
2158,3/31/2022 7:09,28,,
2159,3/31/2022 7:10,28,,
2160,3/31/2022 7:11,28,,
2161,3/31/2022 7:12,28,,
2162,3/31/2022 7:13,28,,
2163,3/31/2022 7:14,28,,
2164,3/31/2022 7:15,28,,
