Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
130,03/30/22 13:12, 22, 03, 30, 13, 12,27,4.6,14.8,3.7,70.4,0.0, 2236, 8,33.6, 4, 2,6.18, 50, 134,3.3341670,5.3947950, 255,02,70,4.76,Sniff,7,4,1,19,0,3,0.869,0.217,4.13,0.00,0.652,
131,03/30/22 13:17, 22, 03, 30, 13, 17,17,4.6,29.4,0.0,47.1,0.0, 2218, 7,33.3, 4, 2,6.18, 50, 134,4.1677090,5.7505880, 255,02,71,1.60,Sniff,9,5,0,8,0,4,1.09,0.00,1.74,0.00,0.868,
132,03/30/22 13:22, 22, 03, 30, 13, 22,20,4.6,55.0,0.0,40.0,0.0, 2218, 7,33.3, 4, 2,6.18, 50, 134,9.1689600,7.4420300, 255,02,72,0.727,Sniff,21,11,0,8,0,1,2.39,0.00,1.74,0.00,0.217,
133,03/30/22 13:27, 22, 03, 30, 13, 27,11,4.6,45.5,0.0,54.6,0.0, 2218, 7,33.3, 4, 2,6.18, 50, 134,4.1677090,5.7505880, 255,02,73,1.20,Sniff,9,5,0,6,0,0,1.09,0.00,1.31,0.00,0.00,
134,03/30/22 13:32, 22, 03, 30, 13, 32,13,4.6,7.7,0.0,84.6,0.0, 2236, 7,33.6, 4, 2,6.18, 50, 134,0.8335418,4.0246950, 255,02,74,11.0,Sniff,1.9,1,0,11,0,1,0.218,0.00,2.39,0.00,0.218,
135,03/30/22 13:37, 22, 03, 30, 13, 37,20,4.6,5.0,0.0,70.0,5.0, 2236, 7,34.3, 4, 2,6.18, 50, 134,0.8335418,4.0246950, 255,02,75,14.0,Sniff,0.8,1,0,14,1,4,0.217,0.00,3.04,0.217,0.870,
136,03/30/22 13:42, 22, 03, 30, 13, 42,12,4.6,0.0,0.0,91.7,0.0, 2201, 8,34.6, 4, 2,6.18, 50, 134,0.0000000,3.3341670, 255,02,76,N/A,Sniff,0.0,0,0,11,0,1,0.00,0.00,2.39,0.00,0.217,
137,03/30/22 13:47, 22, 03, 30, 13, 47,13,4.6,7.7,0.0,76.9,0.0, 2218, 7,34.9, 4, 2,6.18, 50, 134,0.8335418,4.0246950, 255,02,77,9.99,Sniff,1.9,1,0,10,0,2,0.218,0.00,2.17,0.00,0.435,
138,03/30/22 13:52, 22, 03, 30, 13, 52,10,4.6,20.0,10.0,70.0,0.0, 2218, 7,35.2, 4, 2,6.15, 50, 134,1.6670840,4.5545570, 255,02,78,3.50,Sniff,0,2,1,7,0,0,0.435,0.217,1.52,0.00,0.00,
139,03/30/22 13:57, 22, 03, 30, 13, 57,5,4.6,20.0,0.0,80.0,0.0, 2218, 7,35.5, 5, 2,6.18, 50, 134,0.8335418,4.0246950, 255,02,79,4.00,Sniff,1.9,1,0,4,0,0,0.217,0.00,0.870,0.00,0.00,
140,03/30/22 14:02, 22, 03, 30, 14, 02,10,4.6,30.0,0.0,70.0,0.0, 2218, 7,35.5, 5, 2,6.18, 50, 134,2.5006250,5.0012500, 255,02,80,2.33,Sniff,6,3,0,7,0,0,0.652,0.00,1.52,0.00,0.00,
141,03/30/22 14:07, 22, 03, 30, 14, 07,17,4.6,5.9,5.9,58.8,0.0, 2218, 7,35.5, 4, 2,6.18, 50, 134,0.8335418,4.0246950, 255,02,81,9.97,Sniff,1.9,1,1,10,0,5,0.218,0.218,2.17,0.00,1.09,
142,03/30/22 14:12, 22, 03, 30, 14, 12,13,4.6,15.4,0.0,53.9,7.7, 2201, 8,35.2, 4, 2,6.18, 50, 134,0.8335418,4.5545570, 255,02,82,3.50,Sniff,0,2,0,7,1,3,0.435,0.00,1.52,0.218,0.650,
143,03/30/22 14:17, 22, 03, 30, 14, 17,16,4.6,18.8,0.0,62.5,0.0, 2218, 7,35.2, 4, 2,6.15, 50, 134,2.5006250,5.0012500, 255,02,83,3.32,Sniff,6,3,0,10,0,3,0.654,0.00,2.17,0.00,0.650,
144,03/30/22 14:22, 22, 03, 30, 14, 22,12,4.6,33.3,8.3,50.0,0.0, 2201, 8,35.5, 4, 2,6.15, 50, 134,3.3341670,5.3947950, 255,02,84,1.50,Sniff,7,4,1,6,0,1,0.869,0.217,1.30,0.00,0.219,
145,03/30/22 14:27, 22, 03, 30, 14, 27,10,4.6,30.0,0.0,50.0,0.0, 2236, 8,35.8, 4, 2,6.15, 50, 134,2.5006250,5.0012500, 255,02,85,1.67,Sniff,6,3,0,5,0,2,0.652,0.00,1.09,0.00,0.435,
146,03/30/22 14:32, 22, 03, 30, 14, 32,4,4.6,25.0,0.0,50.0,0.0, 2218, 7,36.4, 4, 2,6.15, 50, 134,0.8335418,4.0246950, 255,02,86,2.00,Sniff,1.9,1,0,2,0,1,0.217,0.00,0.435,0.00,0.217,
147,03/30/22 14:37, 22, 03, 30, 14, 37,6,4.6,33.3,0.0,66.7,0.0, 2218, 7,37.3, 5, 2,6.15, 50, 134,1.6670840,4.5545570, 255,02,87,2.00,Sniff,0,2,0,4,0,0,0.434,0.00,0.870,0.00,0.00,
148,03/30/22 14:42, 22, 03, 30, 14, 42,8,4.6,37.5,0.0,37.5,0.0, 2236, 8,37.9, 5, 2,6.15, 50, 134,2.5006250,5.0012500, 255,02,88,1.00,Sniff,6,3,0,3,0,2,0.652,0.00,0.652,0.00,0.435,
149,03/30/22 14:47, 22, 03, 30, 14, 47,10,4.6,20.0,10.0,50.0,0.0, 2218, 7,38.8, 5, 2,6.18, 50, 134,1.6670840,4.5545570, 255,02,89,2.50,Sniff,0,2,1,5,0,2,0.435,0.217,1.09,0.00,0.435,
150,03/30/22 14:52, 22, 03, 30, 14, 52,16,4.6,12.5,0.0,43.8,0.0, 2218, 7,39.4, 5, 2,6.15, 50, 134,1.6670840,4.5545570, 255,02,90,3.50,Sniff,0,2,0,7,0,7,0.435,0.00,1.52,0.00,1.52,
151,03/30/22 14:57, 22, 03, 30, 14, 57,7,4.6,28.6,0.0,57.2,0.0, 2236, 8,40.0, 5, 2,6.15, 50, 134,1.6670840,4.5545570, 255,02,91,2.00,Sniff,0,2,0,4,0,1,0.435,0.00,0.870,0.00,0.216,
152,03/30/22 15:02, 22, 03, 30, 15, 02,6,4.6,0.0,33.3,33.3,16.7, 2218, 7,40.3, 5, 2,6.15, 50, 134,0.0000000,3.3341670, 255,02,92,N/A,Sniff,0.0,0,2,2,1,1,0.00,0.434,0.434,0.218,0.218,
153,03/30/22 15:07, 22, 03, 30, 15, 07,3,4.6,0.0,0.0,66.7,33.3, 2236, 8,40.3, 5, 2,6.15, 50, 134,0.0000000,3.3341670, 255,02,93,N/A,Sniff,0.0,0,0,2,1,0,0.00,0.00,0.435,0.217,0.00,
154,03/30/22 15:12, 22, 03, 30, 15, 12,9,4.6,33.3,0.0,33.3,0.0, 2236, 8,40.3, 5, 2,6.15, 50, 134,2.5006250,5.0012500, 255,02,94,1.00,Sniff,6,3,0,3,0,3,0.652,0.00,0.652,0.00,0.653,
155,03/30/22 15:17, 22, 03, 30, 15, 17,9,4.6,33.3,0.0,44.5,0.0, 2236, 8,40.3, 5, 2,6.18, 50, 134,2.5006250,5.0012500, 255,02,95,1.34,Sniff,6,3,0,4,0,2,0.652,0.00,0.871,0.00,0.434,
156,03/30/22 15:22, 22, 03, 30, 15, 22,9,4.6,22.2,0.0,66.7,0.0, 2218, 7,40.0, 4, 2,6.18, 50, 134,1.6670840,4.5545570, 255,02,96,3.00,Sniff,0,2,0,6,0,1,0.434,0.00,1.31,0.00,0.217,
157,03/30/22 15:27, 22, 03, 30, 15, 27,10,4.6,60.0,0.0,20.0,0.0, 2236, 8,39.7, 5, 2,6.15, 50, 134,5.0012500,6.0777710, 255,02,97,0.333,Sniff,11,6,0,2,0,2,1.30,0.00,0.435,0.00,0.435,
158,03/30/22 15:32, 22, 03, 30, 15, 32,7,4.6,14.3,0.0,57.2,0.0, 2218, 7,39.4, 5, 2,6.15, 50, 134,0.8335418,4.0246950, 255,02,98,4.00,Sniff,1.9,1,0,4,0,2,0.218,0.00,0.870,0.00,0.434,
159,03/30/22 15:37, 22, 03, 30, 15, 37,8,4.6,37.5,0.0,37.5,0.0, 2201, 8,38.8, 5, 2,6.15, 50, 134,2.5006250,5.0012500, 255,02,99,1.00,Sniff,6,3,0,3,0,2,0.652,0.00,0.652,0.00,0.435,
160,03/30/22 15:42, 22, 03, 30, 15, 42,4,4.6,25.0,0.0,75.0,0.0, 2236, 8,38.2, 4, 2,6.12, 50, 134,0.8335418,4.0246950, 255,03,01,3.00,Sniff,1.9,1,0,3,0,0,0.217,0.00,0.652,0.00,0.00,
161,03/30/22 15:47, 22, 03, 30, 15, 47,3,4.6,33.3,0.0,33.3,0.0, 2218, 7,37.6, 4, 2,6.15, 50, 134,0.8335418,4.0246950, 255,03,02,1.00,Sniff,1.9,1,0,1,0,1,0.217,0.00,0.217,0.00,0.218,
162,03/30/22 15:52, 22, 03, 30, 15, 52,7,4.6,28.6,0.0,42.9,0.0, 2218, 7,37.0, 5, 2,6.12, 50, 134,1.6670840,4.5545570, 255,03,03,1.50,Sniff,0,2,0,3,0,2,0.435,0.00,0.653,0.00,0.434,
163,03/30/22 15:57, 22, 03, 30, 15, 57,6,4.6,16.7,0.0,83.3,0.0, 2218, 7,36.7, 5, 2,6.12, 50, 134,0.8335418,4.0246950, 255,03,04,4.99,Sniff,1.9,1,0,5,0,0,0.218,0.00,1.09,0.00,0.00,
164,03/30/22 16:02, 22, 03, 30, 16, 02,6,4.6,0.0,0.0,33.3,0.0, 2218, 7,36.4, 5, 2,6.15, 50, 134,0.0000000,3.3341670, 255,03,05,N/A,Sniff,0.0,0,0,2,0,4,0.00,0.00,0.434,0.00,0.870,
165,03/30/22 16:07, 22, 03, 30, 16, 07,9,4.6,0.0,11.1,33.3,0.0, 2218, 7,35.8, 4, 2,6.12, 50, 134,0.0000000,3.3341670, 255,03,06,N/A,Sniff,0.0,0,1,3,0,5,0.00,0.217,0.652,0.00,1.09,
166,03/30/22 16:12, 22, 03, 30, 16, 12,7,4.6,0.0,0.0,71.4,14.3, 2218, 7,35.5, 5, 2,6.12, 50, 134,0.0000000,3.3341670, 255,03,07,N/A,Sniff,0.0,0,0,5,1,1,0.00,0.00,1.09,0.218,0.218,
167,03/30/22 16:17, 22, 03, 30, 16, 17,6,4.6,0.0,0.0,66.7,0.0, 2236, 8,35.5, 4, 2,6.12, 50, 134,0.0000000,3.3341670, 255,03,08,N/A,Sniff,0.0,0,0,4,0,2,0.00,0.00,0.870,0.00,0.434,
168,03/30/22 16:22, 22, 03, 30, 16, 22,2,4.6,50.0,0.0,0.0,0.0, 2236, 8,35.5, 5, 2,6.12, 50, 134,0.8335418,4.0246950, 255,03,09,0.00,Sniff,1.9,1,0,0,0,1,0.217,0.00,0.00,0.00,0.217,
169,03/30/22 16:27, 22, 03, 30, 16, 27,6,4.6,33.3,0.0,33.3,0.0, 2218, 7,35.5, 5, 2,6.15, 50, 134,1.6670840,4.5545570, 255,03,10,1.00,Sniff,0,2,0,2,0,2,0.434,0.00,0.434,0.00,0.436,
170,03/30/22 16:32, 22, 03, 30, 16, 32,3,4.6,66.7,0.0,33.3,0.0, 2236, 8,35.2, 4, 2,6.12, 50, 134,1.6670840,4.5545570, 255,03,11,0.499,Sniff,0,2,0,1,0,0,0.435,0.00,0.217,0.00,0.00,
171,03/30/22 16:37, 22, 03, 30, 16, 37,4,4.6,0.0,0.0,25.0,0.0, 2236, 8,35.2, 5, 2,6.12, 50, 134,0.0000000,3.3341670, 255,03,12,N/A,Sniff,0.0,0,0,1,0,3,0.00,0.00,0.217,0.00,0.652,
172,03/30/22 16:42, 22, 03, 30, 16, 42,5,4.6,20.0,0.0,20.0,0.0, 2236, 8,35.5, 5, 2,6.15, 50, 134,0.8335418,4.0246950, 255,03,13,1.00,Sniff,1.9,1,0,1,0,3,0.217,0.00,0.217,0.00,0.652,
173,03/30/22 16:47, 22, 03, 30, 16, 47,7,4.6,14.3,0.0,42.9,0.0, 2218, 7,35.2, 4, 2,6.12, 50, 134,0.8335418,4.0246950, 255,03,14,3.00,Sniff,1.9,1,0,3,0,3,0.218,0.00,0.653,0.00,0.651,
174,03/30/22 16:52, 22, 03, 30, 16, 52,5,4.6,40.0,0.0,20.0,0.0, 2236, 8,35.5, 5, 2,6.12, 50, 134,1.6670840,4.5545570, 255,03,15,0.500,Sniff,0,2,0,1,0,2,0.435,0.00,0.217,0.00,0.435,
175,03/30/22 16:57, 22, 03, 30, 16, 57,2,4.6,100.0,0.0,0.0,0.0, 2236, 8,35.2, 5, 2,6.12, 50, 134,1.6670840,4.5545570, 255,03,16,0.00,Sniff,0,2,0,0,0,0,0.435,0.00,0.00,0.00,0.00,
176,03/30/22 17:02, 22, 03, 30, 17, 02,2,4.6,50.0,0.0,0.0,0.0, 2218, 7,35.2, 5, 2,6.12, 50, 134,0.8335418,4.0246950, 255,03,17,0.00,Sniff,1.9,1,0,0,0,1,0.217,0.00,0.00,0.00,0.217,
177,03/30/22 17:07, 22, 03, 30, 17, 07,9,4.6,22.2,11.1,33.3,0.0, 2218, 7,35.2, 5, 2,6.09, 50, 134,1.6670840,4.5545570, 255,03,18,1.50,Sniff,0,2,1,3,0,3,0.434,0.217,0.652,0.00,0.653,
178,03/30/22 17:12, 22, 03, 30, 17, 12,6,4.6,33.3,0.0,16.7,16.7, 2236, 8,34.9, 4, 2,6.12, 50, 134,1.6670840,4.5545570, 255,03,19,0.502,Sniff,0,2,0,1,1,2,0.434,0.00,0.218,0.218,0.434,
179,03/30/22 17:17, 22, 03, 30, 17, 17,1,4.6,0.0,0.0,0.0,0.0, 2218, 7,34.9, 5, 2,6.12, 50, 134,0.0000000,3.3341670, 255,03,20,N/A,Sniff,0.0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.217,
180,03/30/22 17:22, 22, 03, 30, 17, 22,6,4.6,0.0,0.0,16.7,0.0, 2236, 8,34.6, 5, 2,6.09, 50, 134,0.0000000,3.3341670, 255,03,21,N/A,Sniff,0.0,0,0,1,0,5,0.00,0.00,0.218,0.00,1.09,
181,03/30/22 17:27, 22, 03, 30, 17, 27,5,4.6,0.0,0.0,40.0,0.0, 2218, 7,34.6, 5, 2,6.09, 50, 134,0.0000000,3.3341670, 255,03,22,N/A,Sniff,0.0,0,0,2,0,3,0.00,0.00,0.435,0.00,0.652,
