Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-03 14:40:00,27.02,"5,320", , , , , 
2022-06-03 14:42:00,27.02,"4,710", , , , , 
2022-06-03 14:44:00,26.98,"4,314", , , , , 
2022-06-03 14:46:00,27.02,"4,214", , , , , 
2022-06-03 14:48:00,27.02,"3,581", , , , , 
2022-06-03 14:50:00,27.02,"3,538", , , , , 
2022-06-03 14:52:00,26.98,"3,749", , , , , 
2022-06-03 14:54:00,26.98,"4,175", , , , , 
2022-06-03 14:56:00,26.98,"4,154", , , , , 
2022-06-03 14:58:00,27.02,"3,757", , , , , 
2022-06-03 15:00:00,27.02,"3,671", , , , , 
2022-06-03 15:02:00,26.98,"3,506", , , , , 
2022-06-03 15:04:00,27.02,"3,255", , , , , 
2022-06-03 15:06:00,26.98,"3,299", , , , , 
2022-06-03 15:08:00,26.94,"2,938", , , , , 
2022-06-03 15:10:00,26.98,"2,915", , , , , 
2022-06-03 15:12:00,26.94,"2,407", , , , , 
2022-06-03 15:14:00,26.98,"2,198", , , , , 
2022-06-03 15:16:00,26.81,"2,022", , , , , 
2022-06-03 15:18:00,26.90,"1,987", , , , , 
2022-06-03 15:20:00,26.94,"1,953", , , , , 
2022-06-03 15:22:00,26.90,"1,942", , , , , 
2022-06-03 15:24:00,26.90,"2,060", , , , , 
2022-06-03 15:26:00,26.94,"2,192", , , , , 
2022-06-03 15:28:00,26.90,"2,700", , , , , 
2022-06-03 15:30:00,26.90,"2,363", , , , , 
2022-06-03 15:32:00,26.94,"2,462", , , , , 
2022-06-03 15:34:00,26.90,"2,061", , , , , 
2022-06-03 15:36:00,26.85,"2,010", , , , , 
2022-06-03 15:38:00,26.90,"1,679", , , , , 
2022-06-03 15:40:00,26.85,"1,065", , , , , 
2022-06-03 15:42:00,26.90,"1,291", , , , , 
2022-06-03 15:44:00,26.81,927, , , , , 
2022-06-03 15:46:00,26.81,"1,273", , , , , 
2022-06-03 15:48:00,26.85,"1,515", , , , , 
2022-06-03 15:50:00,26.81,"1,818", , , , , 
2022-06-03 15:52:00,26.85,"1,734", , , , , 
2022-06-03 15:54:00,26.81,"1,524", , , , , 
2022-06-03 15:56:00,26.81,"1,425", , , , , 
2022-06-03 15:58:00,26.81,"1,327", , , , , 
2022-06-03 16:00:00,26.85,"1,243", , , , , 
2022-06-03 16:02:00,26.77,"1,064", , , , , 
2022-06-03 16:04:00,26.81,925, , , , , 
2022-06-03 16:06:00,26.77,957, , , , , 
2022-06-03 16:08:00,26.81,989, , , , , 
2022-06-03 16:10:00,26.68,872, , , , , 
2022-06-03 16:12:00,26.72,867, , , , , 
2022-06-03 16:14:00,26.72,987, , , , , 
2022-06-03 16:16:00,26.68,859, , , , , 
2022-06-03 16:18:00,26.68,789, , , , , 
2022-06-03 16:20:00,26.72,708, , , , , 
2022-06-03 16:22:00,26.68,766, , , , , 
2022-06-03 16:24:00,26.72,685, , , , , 
2022-06-03 16:26:00,26.68,602, , , , , 
2022-06-03 16:28:00,26.68,640, , , , , 
2022-06-03 16:30:00,26.64,636, , , , , 
2022-06-03 16:32:00,26.68,624, , , , , 
2022-06-03 16:34:00,26.64,622, , , , , 
2022-06-03 16:36:00,26.60,594, , , , , 
2022-06-03 16:38:00,26.64,601, , , , , 
2022-06-03 16:40:00,26.60,650, , , , , 
2022-06-03 16:42:00,26.60,618, , , , , 
2022-06-03 16:44:00,26.60,618, , , , , 
2022-06-03 16:46:00,26.60,592, , , , , 
2022-06-03 16:48:00,26.55,601, , , , , 
2022-06-03 16:50:00,26.55,585, , , , , 
2022-06-03 16:52:00,26.51,537, , , , , 
2022-06-03 16:54:00,26.55,538, , , , , 
2022-06-03 16:56:00,26.55,610, , , , , 
2022-06-03 16:58:00,26.47,659, , , , , 
2022-06-03 17:00:00,26.51,586, , , , , 
2022-06-03 17:02:00,26.47,510, , , , , 
2022-06-03 17:04:00,26.51,465, , , , , 
2022-06-03 17:06:00,26.47,432, , , , , 
2022-06-03 17:08:00,26.51,386, , , , , 
2022-06-03 17:10:00,26.47,358, , , , , 
2022-06-03 17:12:00,26.47,335, , , , , 
2022-06-03 17:14:00,26.51,282, , , , , 
2022-06-03 17:16:00,26.47,244, , , , , 
2022-06-03 17:18:00,26.47,225, , , , , 
2022-06-03 17:20:00,26.47,194, , , , , 
2022-06-03 17:22:00,26.42,152, , , , , 
2022-06-03 17:24:00,26.42,122, , , , , 
2022-06-03 17:26:00,26.42,102, , , , , 
2022-06-03 17:28:00,26.42,78, , , , , 
2022-06-03 17:30:00,26.47,62, , , , , 
2022-06-03 17:32:00,26.47,49, , , , , 
2022-06-03 17:34:00,26.42,36, , , , , 
2022-06-03 17:36:00,26.42,27, , , , , 
2022-06-03 17:38:00,26.42,20, , , , , 
2022-06-03 17:40:00,26.38,15, , , , , 
2022-06-03 17:42:00,26.38,12, , , , , 
2022-06-03 17:44:00,26.42,8, , , , , 
2022-06-03 17:46:00,26.38,4, , , , , 
2022-06-03 17:48:00,26.38,2, , , , , 
2022-06-03 17:50:00,26.38,1, , , , , 
2022-06-03 17:52:00,26.34,0, , , , , 
2022-06-03 17:54:00,26.38,0, , , , , 
2022-06-03 17:56:00,26.38,0, , , , , 
2022-06-03 17:58:00,26.38,0, , , , , 
2022-06-03 18:00:00,26.38,0, , , , , 
2022-06-03 18:02:00,26.34,0, , , , , 
2022-06-03 18:04:00,26.34,0, , , , , 
2022-06-03 18:06:00,26.38,0, , , , , 
2022-06-03 18:08:00,26.38,0, , , , , 
2022-06-03 18:10:00,26.34,0, , , , , 
2022-06-03 18:12:00,26.30,0, , , , , 
2022-06-03 18:14:00,26.30,0, , , , , 
2022-06-03 18:16:00,26.34,0, , , , , 
2022-06-03 18:18:00,26.34,0, , , , , 
2022-06-03 18:20:00,26.30,0, , , , , 
2022-06-03 18:22:00,26.30,0, , , , , 
2022-06-03 18:24:00,26.34,0, , , , , 
2022-06-03 18:26:00,26.30,0, , , , , 
2022-06-03 18:28:00,26.30,0, , , , , 
2022-06-03 18:30:00,26.30,0, , , , , 
2022-06-03 18:32:00,26.30,0, , , , , 
2022-06-03 18:34:00,26.30,0, , , , , 
2022-06-03 18:36:00,26.30,0, , , , , 
2022-06-03 18:38:00,26.30,0, , , , , 
2022-06-03 18:40:00,26.25,0, , , , , 
2022-06-03 18:42:00,26.25,0, , , , , 
