Date,LoggerID,TempInSitu,ECond.mS.cm,Salinity_psu
2022-06-13 18:24:00,20739332,27.83,58757.138369327535,36.91140929789094
2022-06-13 18:26:00,20739332,27.82,58726.23836932753,36.897346758044264
2022-06-13 18:28:00,20739332,27.81,58730.138369327535,36.907983957347206
2022-06-13 18:30:00,20739332,27.81,58815.23836932753,36.96840780717682
2022-06-13 18:32:00,20739332,27.78,58757.138369327535,36.95078986929856
2022-06-13 18:34:00,20739332,27.77,58764.93836932753,36.96421738238841
2022-06-13 18:36:00,20739332,27.77,58741.73836932753,36.94773112634784
2022-06-13 18:38:00,20739332,27.76,58730.138369327535,36.94737164480703
2022-06-13 18:40:00,20739332,27.77,58803.638369327535,36.991720911793784
2022-06-13 18:42:00,20739332,27.77,58830.73836932753,37.01098253539387
2022-06-13 18:44:00,20739332,27.77,58881.33836932753,37.04695155430398
2022-06-13 18:46:00,20739332,27.76,58826.93836932753,37.01617987446378
2022-06-13 18:48:00,20739332,27.76,58877.43836932753,37.052085268278724
2022-06-13 18:50:00,20739332,27.75,58792.038369327536,36.999265167946895
2022-06-13 18:52:00,20739332,27.75,58803.638369327535,37.00751311247066
2022-06-13 18:54:00,20739332,27.71,58733.93836932753,36.98953369138243
2022-06-13 18:56:00,20739332,27.71,58823.038369327536,37.05293832785464
2022-06-13 18:58:00,20739332,27.7,58815.23836932753,37.055300528880046
2022-06-13 19:00:00,20739332,27.66,58668.33836932753,36.98234425651635
2022-06-13 19:02:00,20739332,27.64,58741.73836932753,37.05045693508124
2022-06-13 19:04:00,20739332,27.64,58710.83836932753,37.02843787481593
2022-06-13 19:06:00,20739332,27.63,58722.33836932753,37.04455120774479
2022-06-13 19:08:00,20739332,27.62,58761.038369327536,37.08006365981906
2022-06-13 19:10:00,20739332,27.61,58687.638369327535,37.03565575196151
2022-06-13 19:12:00,20739332,27.61,58726.23836932753,37.06317825208872
2022-06-13 19:14:00,20739332,27.58,58695.33836932753,37.06492348393663
2022-06-13 19:16:00,20739332,27.56,58545.43836932753,36.973820084990436
2022-06-13 19:18:00,20739332,27.53,58660.638369327535,37.079826917840315
2022-06-13 19:20:00,20739332,27.54,58641.43836932753,37.05818072980679
2022-06-13 19:22:00,20739332,27.56,58703.038369327536,37.08628573062069
2022-06-13 19:24:00,20739332,27.51,58649.138369327535,37.08749411706058
2022-06-13 19:26:00,20739332,27.49,58660.638369327535,37.111605641581335
2022-06-13 19:28:00,20739332,27.47,58641.43836932753,37.113782278825596
2022-06-13 19:30:00,20739332,27.43,58587.638369327535,37.10711574401608
2022-06-13 19:32:00,20739332,27.43,58587.638369327535,37.10711574401608
2022-06-13 19:34:00,20739332,27.419999999999998,58641.43836932753,37.15358343087841
2022-06-13 19:36:00,20739332,27.41,58664.538369327536,37.1780930475507
2022-06-13 19:38:00,20739332,27.39,58660.638369327535,37.191252700276586
2022-06-13 19:40:00,20739332,27.38,58626.038369327536,37.174442107303236
2022-06-13 19:42:00,20739332,27.38,58637.538369327536,37.18268160507983
2022-06-13 19:44:00,20739332,27.34,58618.33836932753,37.20084918630815
2022-06-13 19:46:00,20739332,27.37,58629.83836932753,37.18514315258854
2022-06-13 19:48:00,20739332,27.34,58695.33836932753,37.256071388351096
2022-06-13 19:50:00,20739332,27.33,58652.93836932753,37.23365524319268
2022-06-13 19:52:00,20739332,27.31,58618.33836932753,37.22482222043705
2022-06-13 19:54:00,20739332,27.29,58595.33836932753,37.224308088318644
2022-06-13 19:56:00,20739332,27.32,58664.538369327536,37.24997468298624
2022-06-13 19:58:00,20739332,27.31,58591.43836932753,37.20552073395077
2022-06-13 20:00:00,20739332,27.29,58672.23836932753,37.279515596267714
2022-06-13 20:02:00,20739332,27.28,58645.23836932753,37.268137191888634
2022-06-13 20:04:00,20739332,27.27,58629.83836932753,37.2650859952479
2022-06-13 20:06:00,20739332,27.28,58649.138369327535,37.27093779534425
2022-06-13 20:08:00,20739332,27.27,58587.638369327535,37.234779094064564
2022-06-13 20:10:00,20739332,27.28,58679.93836932753,37.29305662813142
2022-06-13 20:12:00,20739332,27.26,58656.83836932753,37.29249328487394
2022-06-13 20:14:00,20739332,27.26,58595.33836932753,37.24831335598513
2022-06-13 20:16:00,20739332,27.26,58637.538369327536,37.27862773873638
2022-06-13 20:18:00,20739332,27.26,58579.93836932753,37.23725179661753
2022-06-13 20:20:00,20739332,27.26,58614.538369327536,37.26210516638672
2022-06-13 20:22:00,20739332,27.24,58560.73836932753,37.239468445308304
2022-06-13 20:24:00,20739332,27.24,58587.638369327535,37.258797989993404
2022-06-13 20:26:00,20739332,27.26,58645.23836932753,37.28415948450377
2022-06-13 20:28:00,20739332,27.27,58699.23836932753,37.31493623871481
2022-06-13 20:30:00,20739332,27.27,58710.83836932753,37.323269652303544
2022-06-13 20:32:00,20739332,27.26,58587.638369327535,37.242782507102156
2022-06-13 20:34:00,20739332,27.26,58614.538369327536,37.26210516638672
2022-06-13 20:36:00,20739332,27.24,58633.73836932753,37.29192801737161
2022-06-13 20:38:00,20739332,27.24,58622.138369327535,37.28359114395759
2022-06-13 20:40:00,20739332,27.24,58683.73836932753,37.32786641365677
2022-06-13 20:42:00,20739332,27.23,58633.73836932753,37.299947442706255
2022-06-13 20:44:00,20739332,27.24,58641.43836932753,37.2974621500084
2022-06-13 20:46:00,20739332,27.26,58656.83836932753,37.29249328487394
