"Plot Title: CT_320_052221_CG"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739320, SEN S/N: 20739320)","Temp, °C (LGR S/N: 20739320, SEN S/N: 20739320)","Specific Conductance, μS/cm (LGR S/N: 20739320)","Salinity, ppt (LGR S/N: 20739320)","Specific Conductance, μS/cm (LGR S/N: 20739320)","Salinity, ppt (LGR S/N: 20739320)","Coupler Detached (LGR S/N: 20739320)","Coupler Attached (LGR S/N: 20739320)","Host Connected (LGR S/N: 20739320)","Stopped (LGR S/N: 20739320)","End Of File (LGR S/N: 20739320)"
90,05/22/21 12:50:00 PM,37159.6,28.94,54841.3,36.3224,54841.3,36.3224,,,,,
91,05/22/21 12:50:30 PM,37143.2,28.96,54796.5,36.2889,54796.5,36.2889,,,,,
92,05/22/21 12:51:00 PM,37149.8,28.93,54837.1,36.3192,54837.1,36.3192,,,,,
93,05/22/21 12:51:30 PM,37097.3,28.94,54749.2,36.2536,54749.2,36.2536,,,,,
94,05/22/21 12:52:00 PM,37100.6,28.94,54754.1,36.2573,54754.1,36.2573,,,,,
95,05/22/21 12:52:30 PM,37094.0,28.96,54723.8,36.2346,54723.8,36.2346,,,,,
96,05/22/21 12:53:00 PM,37064.5,28.94,54700.7,36.2174,54700.7,36.2174,,,,,
97,05/22/21 12:53:30 PM,37090.7,28.94,54739.5,36.2463,54739.5,36.2463,,,,,
98,05/22/21 12:54:00 PM,37071.1,28.97,54679.6,36.2017,54679.6,36.2017,,,,,
99,05/22/21 12:54:30 PM,37103.8,28.97,54727.9,36.2377,54727.9,36.2377,,,,,
100,05/22/21 12:55:00 PM,37110.4,28.97,54737.7,36.2450,54737.7,36.2450,,,,,
101,05/22/21 12:55:30 PM,37143.2,28.97,54786.2,36.2812,54786.2,36.2812,,,,,
102,05/22/21 12:56:00 PM,37123.5,28.98,54746.8,36.2518,54746.8,36.2518,,,,,
103,05/22/21 12:56:30 PM,37136.6,28.97,54776.4,36.2739,54776.4,36.2739,,,,,
104,05/22/21 12:57:00 PM,37107.1,28.96,54743.1,36.2491,54743.1,36.2491,,,,,
105,05/22/21 12:57:30 PM,37123.5,28.96,54767.3,36.2672,54767.3,36.2672,,,,,
106,05/22/21 12:58:00 PM,37107.1,28.96,54743.1,36.2491,54743.1,36.2491,,,,,
107,05/22/21 12:58:30 PM,37169.5,28.94,54855.9,36.3333,54855.9,36.3333,,,,,
108,05/22/21 12:59:00 PM,37288.1,28.93,55041.6,36.4719,55041.6,36.4719,,,,,
109,05/22/21 12:59:30 PM,37281.5,28.92,55042.2,36.4724,55042.2,36.4724,,,,,
110,05/22/21 01:00:00 PM,37268.3,28.93,55012.3,36.4501,55012.3,36.4501,,,,,
111,05/22/21 01:00:30 PM,37294.7,28.93,55051.4,36.4792,55051.4,36.4792,,,,,
112,05/22/21 01:01:00 PM,37274.9,28.93,55022.1,36.4574,55022.1,36.4574,,,,,
113,05/22/21 01:01:30 PM,37281.5,28.92,55042.2,36.4724,55042.2,36.4724,,,,,
114,05/22/21 01:02:00 PM,37261.7,28.92,55012.9,36.4505,55012.9,36.4505,,,,,
115,05/22/21 01:02:30 PM,37274.9,28.91,55042.8,36.4728,55042.8,36.4728,,,,,
116,05/22/21 01:03:00 PM,37241.9,28.92,54983.6,36.4287,54983.6,36.4287,,,,,
117,05/22/21 01:03:30 PM,37238.6,28.92,54978.8,36.4250,54978.8,36.4250,,,,,
118,05/22/21 01:04:00 PM,37271.6,28.93,55017.2,36.4537,55017.2,36.4537,,,,,
119,05/22/21 01:04:30 PM,37255.1,28.93,54992.8,36.4355,54992.8,36.4355,,,,,
120,05/22/21 01:05:00 PM,37245.2,28.93,54978.2,36.4246,54978.2,36.4246,,,,,
121,05/22/21 01:05:30 PM,37222.1,28.94,54933.7,36.3913,54933.7,36.3913,,,,,
122,05/22/21 01:06:00 PM,37268.3,28.93,55012.3,36.4501,55012.3,36.4501,,,,,
123,05/22/21 01:06:30 PM,37278.2,28.94,55016.6,36.4533,55016.6,36.4533,,,,,
124,05/22/21 01:07:00 PM,37271.6,28.93,55017.2,36.4537,55017.2,36.4537,,,,,
125,05/22/21 01:07:30 PM,37255.1,28.93,54992.8,36.4355,54992.8,36.4355,,,,,
126,05/22/21 01:08:00 PM,37278.2,28.93,55027.0,36.4610,55027.0,36.4610,,,,,
127,05/22/21 01:08:30 PM,37241.9,28.93,54973.3,36.4209,54973.3,36.4209,,,,,
128,05/22/21 01:09:00 PM,37255.1,28.93,54992.8,36.4355,54992.8,36.4355,,,,,
129,05/22/21 01:09:30 PM,37225.4,28.93,54948.9,36.4027,54948.9,36.4027,,,,,
130,05/22/21 01:10:00 PM,37235.3,28.93,54963.5,36.4136,54963.5,36.4136,,,,,
131,05/22/21 01:10:30 PM,37284.8,28.94,55026.4,36.4606,55026.4,36.4606,,,,,
132,05/22/21 01:11:00 PM,37241.9,28.93,54973.3,36.4209,54973.3,36.4209,,,,,
133,05/22/21 01:11:30 PM,37284.8,28.94,55026.4,36.4606,55026.4,36.4606,,,,,
134,05/22/21 01:12:00 PM,37278.2,28.94,55016.6,36.4533,55016.6,36.4533,,,,,
135,05/22/21 01:12:30 PM,37235.3,28.96,54932.5,36.3905,54932.5,36.3905,,,,,
136,05/22/21 01:13:00 PM,37251.8,28.96,54956.9,36.4087,54956.9,36.4087,,,,,
137,05/22/21 01:13:30 PM,37258.4,28.96,54966.7,36.4160,54966.7,36.4160,,,,,
138,05/22/21 01:14:00 PM,37241.9,28.97,54932.0,36.3901,54932.0,36.3901,,,,,
139,05/22/21 01:14:30 PM,37268.3,28.98,54960.6,36.4115,54960.6,36.4115,,,,,
140,05/22/21 01:15:00 PM,37281.5,28.98,54980.1,36.4260,54980.1,36.4260,,,,,
141,05/22/21 01:15:30 PM,37255.1,28.97,54951.5,36.4046,54951.5,36.4046,,,,,
142,05/22/21 01:16:00 PM,37248.5,28.98,54931.4,36.3896,54931.4,36.3896,,,,,
143,05/22/21 01:16:30 PM,37251.8,28.97,54946.6,36.4010,54946.6,36.4010,,,,,
144,05/22/21 01:17:00 PM,37238.6,28.98,54916.8,36.3787,54916.8,36.3787,,,,,
145,05/22/21 01:17:30 PM,37265.0,28.98,54955.8,36.4078,54955.8,36.4078,,,,,
146,05/22/21 01:18:00 PM,37278.2,28.98,54975.3,36.4224,54975.3,36.4224,,,,,
147,05/22/21 01:18:30 PM,37288.1,28.97,55000.2,36.4410,55000.2,36.4410,,,,,
148,05/22/21 01:19:00 PM,37278.2,28.98,54975.3,36.4224,54975.3,36.4224,,,,,
149,05/22/21 01:19:30 PM,37278.2,28.98,54975.3,36.4224,54975.3,36.4224,,,,,
150,05/22/21 01:20:00 PM,37265.0,28.98,54955.8,36.4078,54955.8,36.4078,,,,,
151,05/22/21 01:20:30 PM,37251.8,28.98,54936.3,36.3933,54936.3,36.3933,,,,,
152,05/22/21 01:21:00 PM,37251.8,28.98,54936.3,36.3933,54936.3,36.3933,,,,,
153,05/22/21 01:21:30 PM,37255.1,28.98,54941.1,36.3969,54941.1,36.3969,,,,,
154,05/22/21 01:22:00 PM,37261.7,28.98,54950.9,36.4042,54950.9,36.4042,,,,,
155,05/22/21 01:22:30 PM,37248.5,28.98,54931.4,36.3896,54931.4,36.3896,,,,,
156,05/22/21 01:23:00 PM,37238.6,28.97,54927.1,36.3864,54927.1,36.3864,,,,,
157,05/22/21 01:23:30 PM,37268.3,28.98,54960.6,36.4115,54960.6,36.4115,,,,,
158,05/22/21 01:24:00 PM,37261.7,28.98,54950.9,36.4042,54950.9,36.4042,,,,,
159,05/22/21 01:24:30 PM,37241.9,28.97,54932.0,36.3901,54932.0,36.3901,,,,,
160,05/22/21 01:25:00 PM,37235.3,28.97,54922.2,36.3828,54922.2,36.3828,,,,,
161,05/22/21 01:25:30 PM,37235.3,28.97,54922.2,36.3828,54922.2,36.3828,,,,,
162,05/22/21 01:26:00 PM,37268.3,28.97,54971.0,36.4192,54971.0,36.4192,,,,,
163,05/22/21 01:26:30 PM,37238.6,28.97,54927.1,36.3864,54927.1,36.3864,,,,,
164,05/22/21 01:27:00 PM,37215.5,28.96,54903.3,36.3686,54903.3,36.3686,,,,,
165,05/22/21 01:27:30 PM,37228.7,28.97,54912.5,36.3755,54912.5,36.3755,,,,,
166,05/22/21 01:28:00 PM,37281.5,28.98,54980.1,36.4260,54980.1,36.4260,,,,,
167,05/22/21 01:28:30 PM,37281.5,28.97,54990.5,36.4337,54990.5,36.4337,,,,,
168,05/22/21 01:29:00 PM,37235.3,28.98,54911.9,36.3751,54911.9,36.3751,,,,,
169,05/22/21 01:29:30 PM,37261.7,28.97,54961.2,36.4119,54961.2,36.4119,,,,,
170,05/22/21 01:30:00 PM,37265.0,28.97,54966.1,36.4155,54966.1,36.4155,,,,,
171,05/22/21 01:30:30 PM,37251.8,28.97,54946.6,36.4010,54946.6,36.4010,,,,,
172,05/22/21 01:31:00 PM,37278.2,28.96,54995.9,36.4378,54995.9,36.4378,,,,,
173,05/22/21 01:31:30 PM,37265.0,28.97,54966.1,36.4155,54966.1,36.4155,,,,,
174,05/22/21 01:32:00 PM,37251.8,28.97,54946.6,36.4010,54946.6,36.4010,,,,,
175,05/22/21 01:32:30 PM,37248.5,28.97,54941.7,36.3973,54941.7,36.3973,,,,,
176,05/22/21 01:33:00 PM,37232.0,28.97,54917.3,36.3791,54917.3,36.3791,,,,,
177,05/22/21 01:33:30 PM,37261.7,28.97,54961.2,36.4119,54961.2,36.4119,,,,,
178,05/22/21 01:34:00 PM,37232.0,28.98,54907.0,36.3714,54907.0,36.3714,,,,,
179,05/22/21 01:34:30 PM,37258.4,28.97,54956.3,36.4083,54956.3,36.4083,,,,,
180,05/22/21 01:35:00 PM,37278.2,28.97,54985.6,36.4301,54985.6,36.4301,,,,,
181,05/22/21 01:35:30 PM,37245.2,28.97,54936.8,36.3937,54936.8,36.3937,,,,,
182,05/22/21 01:36:00 PM,37232.0,28.97,54917.3,36.3791,54917.3,36.3791,,,,,
183,05/22/21 01:36:30 PM,37265.0,28.97,54966.1,36.4155,54966.1,36.4155,,,,,
184,05/22/21 01:37:00 PM,37251.8,28.98,54936.3,36.3933,54936.3,36.3933,,,,,
185,05/22/21 01:37:30 PM,37248.5,28.98,54931.4,36.3896,54931.4,36.3896,,,,,
186,05/22/21 01:38:00 PM,37248.5,28.98,54931.4,36.3896,54931.4,36.3896,,,,,
187,05/22/21 01:38:30 PM,37228.7,28.98,54902.1,36.3678,54902.1,36.3678,,,,,
188,05/22/21 01:39:00 PM,37251.8,28.97,54946.6,36.4010,54946.6,36.4010,,,,,
189,05/22/21 01:39:30 PM,37261.7,28.99,54940.6,36.3965,54940.6,36.3965,,,,,
190,05/22/21 01:40:00 PM,37265.0,28.99,54945.4,36.4001,54945.4,36.4001,,,,,
191,05/22/21 01:40:30 PM,37258.4,28.98,54946.0,36.4005,54946.0,36.4005,,,,,
192,05/22/21 01:41:00 PM,37241.9,28.98,54921.6,36.3823,54921.6,36.3823,,,,,
193,05/22/21 01:41:30 PM,37238.6,28.98,54916.8,36.3787,54916.8,36.3787,,,,,
194,05/22/21 01:42:00 PM,37212.2,28.98,54877.8,36.3496,54877.8,36.3496,,,,,
195,05/22/21 01:42:30 PM,37258.4,29.01,54915.0,36.3774,54915.0,36.3774,,,,,
196,05/22/21 01:43:00 PM,37258.4,29.01,54915.0,36.3774,54915.0,36.3774,,,,,
197,05/22/21 01:43:30 PM,37232.0,29.02,54865.8,36.3406,54865.8,36.3406,,,,,
198,05/22/21 01:44:00 PM,37261.7,29.01,54919.9,36.3811,54919.9,36.3811,,,,,
199,05/22/21 01:44:30 PM,37258.4,29.02,54904.7,36.3697,54904.7,36.3697,,,,,
200,05/22/21 01:45:00 PM,37245.2,29.02,54885.2,36.3552,54885.2,36.3552,,,,,
201,05/22/21 01:45:30 PM,37238.6,29.03,54865.2,36.3402,54865.2,36.3402,,,,,
202,05/22/21 01:46:00 PM,37274.9,29.03,54918.8,36.3802,54918.8,36.3802,,,,,
203,05/22/21 01:46:30 PM,37258.4,29.04,54884.1,36.3543,54884.1,36.3543,,,,,
204,05/22/21 01:47:00 PM,37245.2,29.04,54864.6,36.3398,54864.6,36.3398,,,,,
205,05/22/21 01:47:30 PM,37248.5,29.05,54859.2,36.3357,54859.2,36.3357,,,,,
206,05/22/21 01:48:00 PM,37271.6,29.04,54903.6,36.3689,54903.6,36.3689,,,,,
207,05/22/21 01:48:30 PM,37281.5,29.04,54918.2,36.3798,54918.2,36.3798,,,,,
208,05/22/21 01:49:00 PM,37261.7,29.04,54889.0,36.3579,54889.0,36.3579,,,,,
209,05/22/21 01:49:30 PM,37281.5,29.05,54907.9,36.3721,54907.9,36.3721,,,,,
210,05/22/21 01:50:00 PM,37245.2,29.05,54854.3,36.3321,54854.3,36.3321,,,,,
211,05/22/21 01:50:30 PM,37271.6,29.05,54893.3,36.3612,54893.3,36.3612,,,,,
212,05/22/21 01:51:00 PM,37294.7,29.04,54937.7,36.3943,54937.7,36.3943,,,,,
213,05/22/21 01:51:30 PM,37271.6,29.04,54903.6,36.3689,54903.6,36.3689,,,,,
214,05/22/21 01:52:00 PM,37245.2,29.04,54864.6,36.3398,54864.6,36.3398,,,,,
215,05/22/21 01:52:30 PM,37288.1,29.04,54927.9,36.3870,54927.9,36.3870,,,,,
216,05/22/21 01:53:00 PM,37241.9,29.03,54870.1,36.3438,54870.1,36.3438,,,,,
217,05/22/21 01:53:30 PM,37271.6,29.04,54903.6,36.3689,54903.6,36.3689,,,,,
218,05/22/21 01:54:00 PM,37255.1,29.04,54879.2,36.3507,54879.2,36.3507,,,,,
219,05/22/21 01:54:30 PM,37268.3,29.04,54898.7,36.3652,54898.7,36.3652,,,,,
220,05/22/21 01:55:00 PM,37232.0,29.04,54845.1,36.3252,54845.1,36.3252,,,,,
221,05/22/21 01:55:30 PM,37261.7,29.05,54878.7,36.3503,54878.7,36.3503,,,,,
222,05/22/21 01:56:00 PM,37271.6,29.04,54903.6,36.3689,54903.6,36.3689,,,,,
223,05/22/21 01:56:30 PM,37225.4,29.05,54825.1,36.3103,54825.1,36.3103,,,,,
224,05/22/21 01:57:00 PM,37251.8,29.07,54843.5,36.3240,54843.5,36.3240,,,,,
225,05/22/21 01:57:30 PM,37209.0,29.05,54800.9,36.2922,54800.9,36.2922,,,,,
226,05/22/21 01:58:00 PM,37241.9,29.05,54849.5,36.3284,54849.5,36.3284,,,,,
227,05/22/21 01:58:30 PM,37241.9,29.03,54870.1,36.3438,54870.1,36.3438,,,,,
228,05/22/21 01:59:00 PM,37245.2,29.07,54833.7,36.3167,54833.7,36.3167,,,,,
229,05/22/21 01:59:30 PM,37274.9,29.05,54898.1,36.3648,54898.1,36.3648,,,,,
230,05/22/21 02:00:00 PM,37268.3,29.04,54898.7,36.3652,54898.7,36.3652,,,,,
231,05/22/21 02:00:30 PM,37251.8,29.03,54884.7,36.3547,54884.7,36.3547,,,,,
232,05/22/21 02:01:00 PM,37218.8,29.02,54846.3,36.3261,54846.3,36.3261,,,,,
233,05/22/21 02:01:30 PM,37238.6,29.02,54875.5,36.3479,54875.5,36.3479,,,,,
234,05/22/21 02:02:00 PM,37255.1,29.01,54910.2,36.3738,54910.2,36.3738,,,,,
235,05/22/21 02:02:30 PM,37222.1,29.01,54861.4,36.3374,54861.4,36.3374,,,,,
236,05/22/21 02:03:00 PM,37261.7,28.98,54950.9,36.4042,54950.9,36.4042,,,,,
237,05/22/21 02:03:30 PM,37268.3,28.97,54971.0,36.4192,54971.0,36.4192,,,,,
238,05/22/21 02:04:00 PM,37209.0,28.97,54883.4,36.3538,54883.4,36.3538,,,,,
239,05/22/21 02:04:30 PM,37218.8,28.96,54908.2,36.3723,54908.2,36.3723,,,,,
240,05/22/21 02:05:00 PM,37245.2,28.93,54978.2,36.4246,54978.2,36.4246,,,,,
241,05/22/21 02:05:30 PM,37255.1,28.93,54992.8,36.4355,54992.8,36.4355,,,,,
242,05/22/21 02:06:00 PM,37222.1,28.92,54954.4,36.4068,54954.4,36.4068,,,,,
243,05/22/21 02:06:30 PM,37228.7,28.92,54964.1,36.4141,54964.1,36.4141,,,,,
244,05/22/21 02:07:00 PM,37222.1,28.92,54954.4,36.4068,54954.4,36.4068,,,,,
245,05/22/21 02:07:30 PM,37209.0,28.92,54935.0,36.3923,54935.0,36.3923,,,,,
246,05/22/21 02:08:00 PM,37238.6,28.92,54978.8,36.4250,54978.8,36.4250,,,,,
247,05/22/21 02:08:30 PM,37195.8,28.91,54925.8,36.3855,54925.8,36.3855,,,,,
248,05/22/21 02:09:00 PM,37232.0,28.91,54979.3,36.4254,54979.3,36.4254,,,,,
249,05/22/21 02:09:30 PM,37209.0,28.91,54945.3,36.4000,54945.3,36.4000,,,,,
250,05/22/21 02:10:00 PM,37225.4,28.90,54979.9,36.4259,54979.9,36.4259,,,,,
251,05/22/21 02:10:30 PM,37238.6,28.90,54999.4,36.4405,54999.4,36.4405,,,,,
252,05/22/21 02:11:00 PM,37225.4,28.90,54979.9,36.4259,54979.9,36.4259,,,,,
253,05/22/21 02:11:30 PM,37209.0,28.88,54976.4,36.4232,54976.4,36.4232,,,,,
254,05/22/21 02:12:00 PM,37199.1,28.88,54961.7,36.4123,54961.7,36.4123,,,,,
255,05/22/21 02:12:30 PM,37222.1,28.87,55006.1,36.4454,55006.1,36.4454,,,,,
256,05/22/21 02:13:00 PM,37185.9,28.88,54942.2,36.3977,54942.2,36.3977,,,,,
257,05/22/21 02:13:30 PM,37199.1,28.90,54941.0,36.3968,54941.0,36.3968,,,,,
258,05/22/21 02:14:00 PM,37218.8,28.88,54990.9,36.4340,54990.9,36.4340,,,,,
259,05/22/21 02:14:30 PM,37189.2,28.88,54947.1,36.4013,54947.1,36.4013,,,,,
260,05/22/21 02:15:00 PM,37238.6,28.88,55020.2,36.4559,55020.2,36.4559,,,,,
261,05/22/21 02:15:30 PM,37209.0,28.90,54955.7,36.4078,54955.7,36.4078,,,,,
262,05/22/21 02:16:00 PM,37202.4,28.90,54945.9,36.4005,54945.9,36.4005,,,,,
263,05/22/21 02:16:30 PM,37199.1,28.92,54920.3,36.3814,54920.3,36.3814,,,,,
264,05/22/21 02:17:00 PM,37192.5,28.92,54910.6,36.3741,54910.6,36.3741,,,,,
265,05/22/21 02:17:30 PM,37232.0,28.92,54969.0,36.4177,54969.0,36.4177,,,,,
