DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.100m);Dir#1(0.100m);Speed#2(0.150m);Dir#2(0.150m);Speed#3(0.200m);Dir#3(0.200m);Speed#4(0.250m);Dir#4(0.250m);Speed#5(0.300m);Dir#5(0.300m);Speed#6(0.350m);Dir#6(0.350m);Speed#7(0.400m);Dir#7(0.400m);Speed#8(0.450m);Dir#8(0.450m);Speed#9(0.500m);Dir#9(0.500m);Speed#10(0.550m);Dir#10(0.550m);Speed#11(0.600m);Dir#11(0.600m);Speed#12(0.650m);Dir#12(0.650m);Speed#13(0.700m);Dir#13(0.700m);Speed#14(0.750m);Dir#14(0.750m);Speed#15(0.800m);Dir#15(0.800m);Speed#16(0.850m);Dir#16(0.850m);Speed#17(0.900m);Dir#17(0.900m);Speed#18(0.950m);Dir#18(0.950m);Speed#19(1.000m);Dir#19(1.000m);Speed#20(1.050m);Dir#20(1.050m);Speed#21(1.100m);Dir#21(1.100m);Speed#22(1.150m);Dir#22(1.150m);Speed#23(1.200m);Dir#23(1.200m);Speed#24(1.250m);Dir#24(1.250m);Speed#25(1.300m);Dir#25(1.300m);Speed#26(1.350m);Dir#26(1.350m);Speed#27(1.400m);Dir#27(1.400m);Speed#28(1.450m);Dir#28(1.450m);
8/3/2021 17:53:00; 11.5;212.9; -0.2;  1.5;  0.746; 27.17;    0;    0;  0.004; 270.00;  0.005; 248.20;  0.006; 231.34;  0.008; 225.00;  0.013; 218.66;  0.014; 219.29;  0.013; 218.66;  0.011; 228.81;  0.009; 215.54;  0.011; 185.19;  0.013; 167.01;  0.025; 156.50;  0.005; 158.20;  0.006; 198.43;  0.010; 216.87;  0.010; 180.00;  0.005; 111.80;  0.006; 231.34;  0.019; 233.75;  0.018; 253.61;  0.013; 212.47;  0.007; 195.95;  0.010;  73.30;  0.109; 119.16;  0.065; 128.11;  0.026; 280.89;  0.102; 303.85;  0.147; 295.35;
8/3/2021 17:54:00; 11.5;213.0; -0.2;  1.5;  0.743; 27.17;    0;    0;  0.028; 117.47;  0.030; 115.71;  0.031; 120.65;  0.031; 123.18;  0.032; 124.70;  0.036; 128.16;  0.040; 128.88;  0.037; 133.92;  0.040; 133.99;  0.043; 131.19;  0.046; 128.85;  0.051; 133.41;  0.038; 125.36;  0.033; 104.04;  0.033; 113.43;  0.036; 117.98;  0.019; 124.51;  0.028; 112.93;  0.027;  92.12;  0.008; 320.19;  0.009;  49.40;  0.034;  79.70;  0.074;  95.40;  0.139; 127.69;  0.071; 156.70;  0.044; 287.20;  0.135; 328.67;  0.196; 327.53;
8/3/2021 17:55:00; 11.5;212.9; -0.2;  1.5;  0.749; 27.17;    0;    0;  0.014; 126.03;  0.014; 111.04;  0.015; 109.65;  0.015; 118.30;  0.016; 119.74;  0.018; 128.16;  0.018; 137.29;  0.020; 143.13;  0.023; 142.13;  0.026; 150.52;  0.028; 152.53;  0.036; 149.86;  0.026; 150.52;  0.022; 147.72;  0.016; 145.30;  0.019; 128.66;  0.019; 128.66;  0.018; 123.69;  0.015; 105.95;  0.007; 105.95;  0.007; 123.69;  0.007; 135.00;  0.007; 123.69;  0.051; 131.82;  0.059; 144.69;  0.018; 250.56;  0.064; 318.81;  0.062; 333.02;
8/3/2021 17:56:00; 11.5;213.0; -0.2;  1.5;  0.755; 27.17;    0;    0;  0.033;  25.02;  0.032;  29.74;  0.034;  29.54;  0.033;  32.74;  0.033;  32.74;  0.032;  32.20;  0.031;  33.18;  0.028;  32.01;  0.021;  45.00;  0.020;  66.04;  0.016;  79.38;  0.021;  87.27;  0.013;  57.53;  0.033;  61.11;  0.027;  34.29;  0.022;  57.72;  0.009; 353.66;  0.031; 350.84;  0.026;  29.48;  0.017; 290.56;  0.029; 323.53;  0.031; 303.18;  0.014; 300.26;  0.154; 114.23;  0.113; 123.13;  0.020; 220.91;  0.098; 310.86;  0.179; 309.11;
8/3/2021 17:57:00; 11.5;212.9; -0.2;  1.5;  0.764; 27.17;    0;    0;  0.013; 288.43;  0.014; 306.03;  0.016; 309.81;  0.013; 308.66;  0.013; 308.66;  0.010; 315.00;  0.008; 277.13;  0.009; 220.60;  0.014; 192.09;  0.021; 188.13;  0.022; 185.19;  0.029; 183.95;  0.022; 182.60;  0.019; 143.75;  0.020; 197.53;  0.009;  20.56;  0.018;  90.00;  0.009; 263.66;  0.002;  63.43;  0.017;  13.24;  0.010;  16.70;  0.013; 341.57;  0.006;  59.04;  0.110; 105.80;  0.125; 125.59;  0.049; 163.41;  0.062; 299.05;  0.159; 317.80;
8/3/2021 17:58:00; 11.5;212.9; -0.2;  1.5;  0.728; 27.17;    0;    0;  0.019; 227.12;  0.021; 225.00;  0.023; 225.00;  0.018; 220.60;  0.017; 208.07;  0.019; 201.25;  0.021; 205.35;  0.024; 199.18;  0.028; 192.53;  0.036; 192.88;  0.040; 188.53;  0.045; 183.81;  0.040; 213.69;  0.036; 175.24;  0.052; 203.63;  0.032; 180.00;  0.016; 227.49;  0.030; 266.19;  0.034; 245.70;  0.052; 238.47;  0.021; 232.59;  0.057; 239.38;  0.158; 116.73;  0.116; 106.56;  0.009; 220.60;  0.121; 271.89;  0.210; 273.81;  0.179; 218.86;
8/3/2021 17:59:00; 11.5;213.0; -0.2;  1.5;  0.719; 27.16;    0;    0;  0.001; 270.00;  0.004; 236.31;  0.004; 236.31;  0.002; 206.57;  0.002; 180.00;  0.004; 135.00;  0.008; 119.74;  0.016; 140.19;  0.020; 143.13;  0.025; 138.18;  0.036; 136.12;  0.035; 137.29;  0.022; 136.85;  0.018;  90.00;  0.024; 126.38;  0.033; 167.66;  0.025; 203.50;  0.027;  38.99;  0.029; 358.03;  0.001;   0.00;  0.012;  30.96;  0.013; 157.38;  0.141; 111.65;  0.076; 132.32;  0.034; 285.26;  0.135; 321.94;  0.209; 313.84;  0.141; 351.01;
8/3/2021 18:00:00; 11.5;213.0; -0.2;  1.5;  0.730; 27.16;    0;    0;  0.017; 290.56;  0.020; 287.53;  0.019; 285.52;  0.015; 277.59;  0.015; 281.31;  0.013; 298.61;  0.009; 319.40;  0.007; 303.69;  0.006; 231.34;  0.010; 203.96;  0.014; 167.91;  0.025; 165.96;  0.007; 195.95;  0.008; 293.20;  0.005; 291.80;  0.009; 302.01;  0.012; 304.99;  0.021; 332.24;  0.037; 325.01;  0.032; 335.85;  0.026; 342.26;  0.010;  23.96;  0.075; 129.61;  0.105; 139.64;  0.023; 180.00;  0.072; 312.17;  0.125; 323.77;  0.113; 327.30;
8/3/2021 18:01:00; 11.5;213.0; -0.2;  1.5;  0.745; 27.16;    0;    0;  0.020; 315.00;  0.022; 320.53;  0.018; 312.71;  0.016; 309.81;  0.011; 307.87;  0.010; 315.00;  0.011; 315.00;  0.016; 309.81;  0.010; 323.13;  0.006; 341.57;  0.009; 251.57;  0.011; 206.57;  0.014; 248.96;  0.008; 270.00;  0.006; 231.34;  0.009; 353.66;  0.013; 288.43;  0.016; 262.87;  0.016; 270.00;  0.030; 315.00;  0.026; 267.80;  0.034; 275.04;  0.010; 253.30;  0.129; 119.14;  0.072; 126.55;  0.029; 273.95;  0.108; 298.69;  0.141; 295.66;
8/3/2021 18:02:00; 11.5;213.0; -0.2;  1.5;  0.749; 27.15;    0;    0;  0.018; 326.31;  0.022; 329.93;  0.026; 329.42;  0.027; 326.89;  0.029; 321.95;  0.029; 319.18;  0.031; 312.40;  0.027; 306.03;  0.024; 294.44;  0.017; 295.02;  0.008; 246.80;  0.011; 206.57;  0.015; 258.69;  0.009; 302.01;  0.030; 340.35;  0.013;   0.00;  0.025; 357.71;  0.009; 327.99;  0.012; 335.56;  0.028; 300.26;  0.024; 315.00;  0.024; 323.62;  0.012; 350.54;  0.124; 112.83;  0.076; 123.69;  0.022; 272.60;  0.100; 308.13;  0.155; 299.70;
8/3/2021 18:03:00; 11.5;212.8; -0.2;  1.5;  0.753; 27.14;    0;    0;  0.017; 353.29;  0.022; 346.61;  0.020; 342.47;  0.021; 351.87;  0.022; 357.40;  0.026;   6.58;  0.028;   8.13;  0.031;  13.13;  0.030;  15.42;  0.024;  14.62;  0.019;  27.90;  0.007; 105.95;  0.015;  47.73;  0.030;  25.71;  0.017;  10.01;  0.020;  32.91;  0.020;  40.91;  0.021; 354.56;  0.022; 327.72;  0.011;  26.57;  0.028; 351.87;  0.021;  43.03;  0.037; 295.87;  0.126; 137.57;  0.134; 133.79;  0.035; 156.37;  0.068; 318.58;  0.151; 320.63;
8/3/2021 18:04:00; 11.5;205.2; 12.6; -7.3;  0.087; 27.05;    0;    0;  0.276; 149.71;  0.260; 181.10;  0.404; 147.21;  0.334; 193.33;  0.234; 149.16;  0.454; 155.41;  0.337; 178.47;  0.422; 147.10;  0.324; 155.97;  0.382; 181.65;  0.338; 152.53;  0.324; 184.07;  0.330; 175.65;  0.498; 182.76;  0.462; 165.45;  0.298; 183.66;  0.417; 192.90;  0.510; 185.62;  0.390; 183.68;  0.413; 148.96;  0.511; 172.47;  0.390; 177.80;  0.371; 164.84;  0.441; 160.95;  0.442; 183.12;  0.312; 197.91;  0.392; 191.91;  0.243; 190.43;
8/3/2021 18:05:00; 11.5;319.5;  9.3;  0.9;  0.089; 26.89;    0;    0;  0.474; 349.78;  0.561; 347.23;  0.442; 359.09;  0.305;   9.06;  0.361; 323.45;  0.382; 344.84;  0.405;   0.85;  0.450; 351.56;  0.430; 343.08;  0.448; 356.80;  0.574;   4.30;  0.453; 347.62;  0.478; 343.61;  0.601; 340.06;  0.377; 353.29;  0.475; 340.46;  0.439; 349.64;  0.578; 350.64;  0.423; 340.67;  0.481;  12.36;  0.598; 357.12;  0.602; 340.00;  0.443; 348.28;  0.447;   6.93;  0.553;  11.47;  0.481; 353.20;  0.370; 354.89;  0.425; 345.96;
8/3/2021 18:06:00; 11.5;168.5;  8.9;-30.3;  0.088; 26.72;    0;    0;  0.282; 289.72;  0.159; 287.98;  0.067; 339.15;  0.127; 306.06;  0.372; 301.94;  0.206; 293.82;  0.204; 344.94;  0.247; 293.14;  0.227; 300.18;  0.361; 311.51;  0.162; 310.49;  0.306; 286.31;  0.163; 315.25;  0.077; 289.60;  0.107; 332.24;  0.272; 316.04;  0.189; 293.72;  0.240; 333.76;  0.196; 326.63;  0.120; 325.91;  0.194;   4.74;  0.205; 358.04;  0.097; 331.06;  0.233; 266.81;  0.124; 317.94;  0.131; 300.29;  0.139; 299.69;  0.359; 300.42;
