Serial,date,time_in,time_out,temp_HL,cond_HL,cond_uS,EC_SC,temp_C
CT_350,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_335,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_336,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_738,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_339,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_317,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_354,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_328,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_340,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_352,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_344,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_740,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_338,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_341,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_739,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_355,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_316,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_351,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_347,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_327,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_337,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_334,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
CT_333,5/23/2021,12:43:00,12:50:00,H,H,60291,EC,29.18
