Entry,Date,Time,Samplers,Site_Number,Sample_ID,Lat,Lon,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes_Field,Notes_Processing
192,8/31/2020,13:20,RS_and_SH,177,177,-17.48383638,-149.8168138,0.17,1.03,1.48,0.48,,
193,8/31/2020,13:45,RS_and_SH,178,178,-17.48728956,-149.8183929,0.18,1.91,1.03,0.42,,
191,8/31/2020,13:05,RS_and_SH,179,179,-17.48120195,-149.8175988,0.23,0.75,1.23,0.36,,
6,9/7/2020,13:01,TA_and_KS,180,180,-17.47707864,-149.8212362,0.18,0.84,0.99,0.28,,
8,9/7/2020,13:23,TA_and_KS,181,181,-17.47477999,-149.8148865,0.18,0.8,1.48,0.72,,
9,9/7/2020,13:34,TA_and_KS,182,182,-17.47831405,-149.8135389,0.21,0.71,1.18,0.77,,
189,8/31/2020,12:30,RS_and_SH,183,183,-17.48034675,-149.8136512,0.23,0.73,1.07,0.47,,
11,9/7/2020,14:08,TA_and_KS,185,185,-17.47691201,-149.8066267,0.2,0.69,1.23,0.84,,
185,8/31/2020,11:10,RS_and_SH,186,186,-17.47711502,-149.8025034,0.22,0.72,1.03,0.49,,
188,8/31/2020,12:05,RS_and_SH,187,187,-17.47899399,-149.8063396,0.21,0.78,1.52,0.41,,
7,9/7/2020,13:20,TA_and_KS,188,188,-17.47806804,-149.8172428,0.21,0.8,1.35,1.53,,
170,9/2/2020,14:50,DB_and_RVT,19,19,-17.597163,-149.83776,0.17,0.75,1.06,0.52,Point 466 on Becky's GPS,
166,9/2/2020,13:46,DB_and_RVT,2,2,-17.59042955,-149.8513141,0.18,0.67,1.53,0.92,,
46,8/22/2020,14:43,DB_BVT_HE,200,200,-17.490438,-149.891764,0.22,0.8,1.98,0.55,Dead acropora probably last bleach,Approximate location
70,8/26/2020,13:08,DB_BVT,201,201,-17.58183,-149.78965,0.3,0.75,1.54,0.4,453 in Becky's GPS,
82,8/26/2020,16:29,DB_BVT,202,202,-17.58791,-149.80488,0.25,6,1.52,0.52,464 in Becky's GPS,
35,8/22/2020,11:34,DB_BVT_HE,203,203,-17.506374,-149.917159,0.22,3.06,1.62,0.72,Lots of staghorn and anemones,Approximate location
103,8/26/2020,15:37,TA_and_KS,204,205,-17.509635,-149.768175,0.23,1.26,0.96,0.46,No Turbinaria,Sample ID for nutrients says 205 but these data are from site 204
83,8/26/2020,10:43,TA_and_KS,205,205,-17.550942,-149.787945,0.23,1.12,2.17,0.55,"297 in GPS; Near site 205; water in 205 tube, sterivex in 205 bag",Approximate location
60,8/26/2020,11:00,DB_BVT,206,206,-17.565944,-149.792587,0.21,0.93,1.43,0.47,,
65,8/26/2020,12:09,DB_BVT,207,207,-17.572476,-149.795439,0.2,1.87,1.03,0.32,,
134,9/2/2020,12:58,KS_HE,208,208,-17.550152,-149.884951,0.24,3.28,1.11,0.83,Marked 208 New in Burkepile 4 GPS,Approximate location
133,9/2/2020,12:43,KS_HE,209,209,-17.552798,-149.883065,0.22,0.82,0.93,0.86,Marked 209 New in Burkepile 4 GPS,Approximate location
81,8/26/2020,16:05,DB_BVT,22,22,-17.60255,-149.80759,0.19,0.65,1.38,0.38,463 in Becky's GPS; beautiful site with bottlebrush Acropora,
79,8/26/2020,15:29,DB_BVT,24,24,-17.59378,-149.81353,0.21,0.72,1.1,0.51,461 in Becky's GPS; Probably 23 or close,
76,8/26/2020,14:40,DB_BVT,25,25,-17.59514,-149.80741,0.17,0.65,1.09,0.52,458 in Becky's GPS,
73,8/26/2020,13:50,DB_BVT,26,26,-17.59317,-149.80337,0.19,0.7,1.15,0.53,455 in Becky's GPS; Huge anemone with clownfish,
75,8/26/2020,14:20,DB_BVT,27,27,-17.59616,-149.79826,0.19,0.67,1.07,0.37,457 in Becky's GPS,
161,9/2/2020,12:29,DB_and_RVT,3,3,-17.59052703,-149.861271,0.16,0.74,1.05,0.69,"Gourgeous site; Little Turbinaria, lots of clams",
80,8/26/2020,15:48,DB_BVT,30,30,-17.59746,-149.80912,0.17,0.55,0.96,0.53,462 in Becky's GPS,
77,8/26/2020,14:52,DB_BVT,31,31,-17.59731,-149.80624,0.19,0.6,1.6,0.44,459 in Becky's GPS,
74,8/26/2020,14:03,DB_BVT,32,32,-17.59475,-149.80159,0.17,0.71,1.4,0.44,456 in Becky's GPS,
72,8/26/2020,13:36,DB_BVT,33,33,-17.58631,-149.79184,0.18,0.68,1.01,0.43,454 in Becky's GPS,
69,8/26/2020,12:51,DB_BVT,34,34,-17.58031,-149.79438,0.18,0.73,1.09,0.49,34 in Becky's GPS,
71,8/26/2020,13:23,DB_BVT,35,35,-17.58383224,-149.7985487,0.17,0.92,1.13,0.53,,
68,8/26/2020,12:41,DB_BVT,36,36,-17.57891,-149.7967,0.2,1.11,1.47,0.47,36 in Becky's GPS,
66,8/26/2020,12:15,DB_BVT,37,37,-17.57349375,-149.7942877,0.19,0.75,1.56,0.41,,
61,8/26/2020,11:03,DB_BVT,38,38,-17.56786983,-149.7925031,0.18,0.81,1.3,0.39,,
63,8/26/2020,11:30,DB_BVT,39,39,-17.57239278,-149.7883265,0.19,0.63,1.45,0.47,,
162,9/2/2020,12:45,DB_and_RVT,4,4,-17.58473849,-149.8584346,0.17,0.75,1.17,0.43,Some staghorn; small colonies,
67,8/26/2020,12:26,DB_BVT,40,40,-17.57566885,-149.7885266,0.16,0.77,1.93,0.45,,
64,8/26/2020,11:42,DB_BVT,41,41,-17.57019438,-149.7873946,0.18,0.66,1.77,0.39,Got close as we could,
62,8/26/2020,11:17,DB_BVT,42,42,-17.56927254,-149.7896573,0.16,0.66,1.74,0.38,,
58,8/26/2020,10:35,DB_BVT,43,43,-17.56248479,-149.7830339,0.21,0.85,1.72,0.37,,
57,8/26/2020,10:25,DB_BVT,44,44,-17.56150126,-149.7854925,0.18,0.72,0.9,0.46,,
59,8/26/2020,10:50,DB_BVT,45,45,-17.56024699,-149.7891006,0.16,1.04,1.5,0.33,,
56,8/26/2020,10:11,DB_BVT,46,46,-17.55798848,-149.7809429,0.21,0.93,1.55,0.47,,
165,9/2/2020,13:28,DB_and_RVT,47,47,-17.59313297,-149.8546619,0.19,0.75,0.94,0.39,,
78,8/26/2020,15:06,DB_BVT,50,50,-17.601,-149.80085,0.15,0.22,0.68,0.42,460 in Becky's GPS,
55,8/26/2020,9:58,DB_BVT,51,51,-17.55479179,-149.7891155,0.24,4.94,1.49,0.45,,
86,8/26/2020,10:59,TA_and_KS,52,52,-17.54829758,-149.780663,0.19,0.72,1.19,0.34,,
87,8/26/2020,12:15,TA_and_KS,53,53,-17.54553717,-149.7782538,0.21,1.56,1.13,0.45,,
90,8/26/2020,13:09,TA_and_KS,54,54,-17.54048841,-149.773951,0.2,0.96,1.2,0.4,,
91,8/26/2020,13:19,TA_and_KS,56,56,-17.54065563,-149.7703816,0.19,0.7,1.43,0.57,,
92,8/26/2020,13:30,TA_and_KS,57,57,-17.54170898,-149.7665665,0.21,0.68,1.49,0.43,,
88,8/26/2020,12:45,TA_and_KS,58,58,-17.54808988,-149.7732428,0.2,0.72,1.51,0.48,Remember to access this site from the N!,
89,8/26/2020,12:59,TA_and_KS,59,59,-17.54354672,-149.7706065,0.21,0.66,1.67,0.44,,
156,9/2/2020,10:41,DB_and_RVT,6,6,-17.57797027,-149.8731899,0.15,0.7,1.6,0.32,,
85,8/26/2020,10:50,TA_and_KS,60,60,-17.55227462,-149.7773983,0.18,0.63,0.93,0.45,Turbinaria collected a bit closer to shore than water sample,
93,8/26/2020,13:45,TA_and_KS,61,61,-17.5352866,-149.7726642,0.22,0.75,1.51,0.5,,
94,8/26/2020,13:53,TA_and_KS,62,62,-17.53598314,-149.7679931,0.21,0.67,1.14,0.52,,
95,8/26/2020,14:07,TA_and_KS,63,63,-17.53573436,-149.7629378,0.21,0.49,1.16,0.49,,
97,8/26/2020,14:37,TA_and_KS,64,64,-17.52938876,-149.7673331,0.2,0.79,1.28,0.6,,
98,8/26/2020,14:42,TA_and_KS,65,65,-17.52484376,-149.7649524,0.21,0.8,1.01,0.41,,
96,8/26/2020,14:27,TA_and_KS,66,66,-17.52840162,-149.773503,0.24,0.83,0.99,0.36,,
107,8/26/2020,16:30,TA_and_KS,67,67,-17.5226684,-149.7793687,0.24,2.55,1.56,0.34,,
106,8/26/2020,16:15,TA_and_KS,68,68,-17.52006574,-149.7738316,0.22,1.22,1.28,0.51,,
100,8/26/2020,15:07,TA_and_KS,69,69,-17.51597897,-149.7687791,0.22,0.77,1.63,0.45,,
159,9/2/2020,11:42,DB_and_RVT,7,7,-17.57851023,-149.8622209,0.14,0.88,1.15,0.42,,
102,8/26/2020,15:27,TA_and_KS,70,70,-17.51029755,-149.7665881,0.22,1.15,1.19,0.51,,
104,8/26/2020,15:44,TA_and_KS,71,71,-17.51072251,-149.7630267,0.22,0.69,1.57,0.43,,
99,8/26/2020,14:57,TA_and_KS,72,72,-17.52172509,-149.7643641,0.22,0.68,0.83,0.37,,
101,8/26/2020,15:17,TA_and_KS,73,73,-17.51638885,-149.7642064,0.21,0.71,1.75,0.44,,
153,8/27/2020,15:25,AB_RH,74,74,-17.50532775,-149.7609331,0.21,0.6,1.15,0.5,Pretty site,
105,8/26/2020,16:07,TA_and_KS,75,75,-17.50326782,-149.7645343,0.21,0.56,1.06,0.5,New 75 waypoint in GPS,Approximate location
150,8/27/2020,14:30,AB_RH,76,76,-17.50094125,-149.7627215,0.21,0.63,1.17,0.55,Only 3 Turbinaria collected here,
152,8/27/2020,15:08,AB_RH,77,77,-17.50258469,-149.7597522,0.18,0.52,0.85,0.22,,
151,8/27/2020,14:49,AB_RH,78,78,-17.50024941,-149.7576461,0.21,0.65,0.92,0.38,,
163,9/2/2020,13:05,DB_and_RVT,8,8,-17.58234638,-149.8545238,0.16,0.65,1.57,1.53,"Beautiful, clear",
124,9/2/2020,10:13,KS_HE,80,80,-17.56380737,-149.8743451,0.17,1.04,1.51,0.36,,
125,9/2/2020,10:25,KS_HE,81,81,-17.56509583,-149.8775593,0.21,0.76,1.26,0.43,,
123,9/2/2020,9:56,KS_HE,82,82,-17.56890935,-149.8785377,0.19,0.6,1.2,0.1,,
126,9/2/2020,10:39,KS_HE,83,83,-17.56706047,-149.8830503,0.21,0.71,1.06,0.42,,
131,9/2/2020,11:54,KS_HE,84,84,-17.56043784,-149.8865255,0.21,0.69,1.19,0.41,,
128,9/2/2020,11:04,KS_HE,85,85,-17.56350797,-149.8812157,0.2,0.71,1.18,0.42,,
130,9/2/2020,11:36,KS_HE,86,86,-17.55850204,-149.8826298,0.21,0.99,1.17,0.41,,
129,9/2/2020,11:20,KS_HE,87,87,-17.55897637,-149.8788434,0.25,0.99,1.24,0.46,,
127,9/2/2020,10:54,KS_HE,88,88,-17.56132901,-149.8766332,0.23,0.85,0.92,0.4,Not at site 88; Marked 88 New in Burkepile 4 GPS,Approximate location
132,9/2/2020,12:31,KS_HE,89,89,-17.55473723,-149.8855922,0.2,0.85,1.77,0.37,,
155,9/2/2020,10:27,DB_and_RVT,9,9,-17.57452698,-149.8740018,0.16,0.6,1.05,0.38,,
135,9/2/2020,13:09,KS_HE,90,90,-17.55573928,-149.8879232,0.23,0.74,1.37,0.35,,
136,9/2/2020,13:36,KS_HE,91,91,-17.55741642,-149.8905109,0.22,0.59,1.03,0.32,,
139,9/2/2020,14:21,KS_HE,92,92,-17.55032935,-149.897047,0.23,0.74,1.2,0.4,Pretty site; lots of Acropora,
137,9/2/2020,14:00,KS_HE,93,93,-17.5463777,-149.8911702,0.21,0.76,2.48,0.47,,
138,9/2/2020,14:08,KS_HE,94,94,-17.54780925,-149.8949618,0.23,0.66,1.26,0.44,,
171,9/4/2020,16:30,TA_and_KK,95,95,-17.54493568,-149.9022286,0.22,0.69,1.24,0.51,,
108,8/22/2020,9:50,TA_and_KS,96,96_8_22_2020,-17.53815631,-149.9044886,0.26,1.8,1.61,0.45,,
172,9/4/2020,15:45,TA_and_KK,96,96_9_02_2020,-17.53815631,-149.9044886,0.21,1.07,0.36,0.73,,
173,9/4/2020,15:55,TA_and_KK,97,97,-17.54097733,-149.9067632,0.2,0.56,0.89,0.55,,
174,9/4/2020,16:15,TA_and_KK,98,98,-17.54181552,-149.8985127,0.23,0.61,1.34,0.81,Use Tahitian boat channel to get to this site,
31,8/22/2020,9:41,DB_BVT_HE,99,99_8_22_2020,-17.53413,-149.905488,0.25,6.26,1.23,0.68,99 New,Approximate location
175,9/4/2020,14:50,TA_and_KK,99,99_9_2_2020,-17.53413,-149.905488,0.22,0.69,0.41,1.02,New 99 in the GPS,Approximate location
12,9/7/2020,14:32,TA_and_KS,Cooks_1,Cook 1,-17.49718255,-149.8180483,0.19,2.4,1.23,0.81,,
149,8/27/2020,12:15,AB_RH,LTER_3_Backreef,LTER 3 back,-17.5138,-149.76415,0.11,0.49,0.88,0.86,,
148,8/27/2020,11:30,AB_RH,LTER_3_Fringe,LTER 3 fringe,-17.51305,-149.766883,0.16,1.11,1.1,0.49,,
141,9/4/2020,13:28,AB_GB,LTER_6_Fringe,LTER 6,-17.515533,-149.914517,0.16,0.94,0.35,2.94,,
27,8/30/2020,15:46,TA_and_KS,Opu_1,OPU 1,-17.50843442,-149.8525883,0.17,3.65,1.1,0.44,,
26,8/30/2020,15:35,TA_and_KS,Opu_2,OPU 2,-17.50653919,-149.8576045,0.18,1.52,1.21,0.58,,
