Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
162,01/15/21 11:56, 21, 01, 15, 11, 56,46,5.5,33.2, 6, 134,12.1550100,7.4969840, 255,08,20,1.59,Sniff,27,17,4.5,2.7,30.5,
163,01/15/21 12:02, 21, 01, 15, 12, 02,38,5.5,33.5, 6, 134,7.8650070,6.3836720, 255,08,21,2.36,Sniff,18,14,2.9,2.3,30.5,
164,01/15/21 12:08, 21, 01, 15, 12, 08,35,5.5,33.8, 5, 134,7.8650070,6.5859460, 255,08,22,1.58,Sniff,18,15,3.0,2.4,30.6,
165,01/15/21 12:14, 21, 01, 15, 12, 14,37,5.5,33.8, 6, 134,15.0150200,8.1373030, 255,08,23,0.762,Sniff,34,18,5.5,3.0,30.6,
166,01/15/21 12:20, 21, 01, 15, 12, 20,30,5.5,34.2, 6, 134,7.8650070,6.3836720, 255,08,24,1.45,Sniff,18,14,2.9,2.3,30.8,
167,01/15/21 12:26, 21, 01, 15, 12, 26,32,5.5,34.5, 6, 134,9.2950090,6.7805780, 255,08,25,1.39,Sniff,21,15,3.4,2.5,31.0,
168,01/15/21 12:32, 21, 01, 15, 12, 32,44,5.5,34.8, 5, 134,12.8700100,7.6632350, 255,08,26,1.39,Sniff,29,17,4.6,2.8,30.9,
169,01/15/21 12:38, 21, 01, 15, 12, 38,41,5.5,35.1, 5, 134,9.2950090,6.7805780, 255,08,27,1.92,Sniff,21,15,3.3,2.4,31.0,
170,01/15/21 12:44, 21, 01, 15, 12, 44,35,5.5,35.1, 5, 134,10.0100100,6.9683720, 255,08,28,1.43,Sniff,22,16,3.5,2.5,31.1,
171,01/15/21 12:50, 21, 01, 15, 12, 50,41,5.5,35.7, 6, 134,10.0100100,6.9683720, 255,08,29,1.71,Sniff,22,16,3.6,2.5,31.1,
172,01/15/21 12:56, 21, 01, 15, 12, 56,23,5.5,36.3, 6, 134,4.2900040,5.2134300, 255,08,30,2.83,Sniff,10,12,1.5,1.9,31.2,
173,01/15/21 13:02, 21, 01, 15, 13, 02,35,5.5,36.9, 6, 134,8.5800080,6.5859460, 255,08,31,1.83,Sniff,19,15,3.1,2.4,31.0,
174,01/15/21 13:08, 21, 01, 15, 13, 08,31,5.5,37.2, 6, 134,9.2950090,6.7805780, 255,08,32,1.39,Sniff,21,15,3.3,2.4,30.9,
175,01/15/21 13:14, 21, 01, 15, 13, 14,29,5.5,37.5, 6, 134,5.0050060,5.7200070, 255,08,33,2.25,Sniff,12,13,1.9,2.1,30.7,
176,01/15/21 13:20, 21, 01, 15, 13, 20,22,5.5,37.8, 6, 134,7.1500080,6.1727810, 255,08,34,1.20,Sniff,16,14,2.6,2.2,31.1,
177,01/15/21 13:26, 21, 01, 15, 13, 26,30,5.5,38.4, 6, 134,5.0050060,5.4746560, 255,08,35,3.29,Sniff,11,12,1.8,2.0,31.0,
178,01/15/21 13:32, 21, 01, 15, 13, 32,22,5.5,39.0, 5, 134,2.1450020,4.2900040, 255,08,36,5.68,Sniff,4.8,9.6,0.8,1.5,31.0,
179,01/15/21 13:38, 21, 01, 15, 13, 38,19,5.5,39.3, 6, 134,2.8600030,4.6275820, 255,08,37,3.24,Sniff,10,10,1.0,1.7,31.0,
180,01/15/21 13:44, 21, 01, 15, 13, 44,17,5.5,39.3, 5, 134,3.5750040,4.9327760, 255,08,38,2.20,Sniff,8,11,1.3,1.8,31.2,
181,01/15/21 13:50, 21, 01, 15, 13, 50,13,5.5,39.9, 6, 134,3.5750040,4.9327760, 255,08,39,1.40,Sniff,8,11,1.3,1.8,32.4,
182,01/15/21 13:51, 21, 01, 15, 13, 51,3,0.3,39.9, 6, 134,24.4200300,66.7167500, 255,08,40,0.499,Sniff,60,160,9,26,33.0,
