Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Thoron In Water [Dpm/L],Thoron In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),
169,05/15/21 10:51, 21, 05, 15, 10, 51,3,4.6,0.0,0.0,66.7,0.0, 2218, 9,34.5, 5, 2,6.30, 50, 134,0.0000000,3.5300600, 255,13,16,N/A,Sniff,0.0,7.9,0,16,0.0,1.3,0,27,28.5,0.435,1.65,0,0,2,0,1,0.00,0.00,0.435,0.00,0.217,
170,05/15/21 10:56, 21, 05, 15, 10, 56,7,4.6,14.3,0.0,85.7,0.0, 2218, 9,34.8, 5, 2,6.30, 50, 134,0.8825151,4.2611600, 255,13,17,5.99,Sniff,2.0,9.5,0,16,0.3,1.6,0,27,28.6,0.754,2.84,1,0,6,0,0,0.218,0.00,1.30,0.00,0.00,
171,05/15/21 11:01, 21, 05, 15, 11, 01,1,4.6,0.0,100.0,0.0,0.0, 2201, 9,35.1, 5, 2,6.30, 50, 134,0.0000000,3.5300600, 255,13,18,N/A,Sniff,0.0,7.9,4,19,0.0,1.3,7,33,28.5,0.00,0.00,0,1,0,0,0,0.00,0.217,0.00,0.00,0.00,
172,05/15/21 11:06, 21, 05, 15, 11, 06,1,4.6,100.0,0.0,0.0,0.0, 2218, 9,35.4, 5, 2,6.30, 50, 134,0.8825151,4.2611600, 255,13,19,0.00,Sniff,2.0,9.5,0,16,0.3,1.6,0,27,28.5,0.00,0.00,1,0,0,0,0,0.217,0.00,0.00,0.00,0.00,
173,05/15/21 11:11, 21, 05, 15, 11, 11,8,4.6,50.0,0.0,12.5,12.5, 2218, 8,35.4, 5, 2,6.33, 50, 134,3.5300600,5.7117580, 255,13,20,0.250,Sniff,7,13,0,16,1.2,2.2,0,27,28.5,0.308,1.16,4,0,1,1,2,0.870,0.00,0.217,0.217,0.435,
174,05/15/21 11:16, 21, 05, 15, 11, 16,9,4.6,55.6,0.0,33.3,0.0, 2218, 9,35.7, 5, 2,6.30, 50, 134,4.4125770,6.0884540, 255,13,21,0.599,Sniff,10,14,0,16,1.7,2.3,0,27,28.8,0.533,2.00,5,0,3,0,1,1.09,0.00,0.652,0.00,0.217,
175,05/15/21 11:21, 21, 05, 15, 11, 21,12,4.6,75.0,8.3,8.3,0.0, 2218, 8,35.7, 5, 2,6.30, 50, 134,7.9426370,7.3465470, 255,13,22,0.111,Sniff,18,16,4,19,3.0,2.8,7,32,29.0,0.308,1.15,9,1,1,0,1,1.96,0.217,0.217,0.00,0.219,
176,05/15/21 11:26, 21, 05, 15, 11, 26,14,4.6,92.9,0.0,7.2,0.0, 2218, 9,36.0, 5, 2,6.30, 50, 134,11.4727000,8.3691680, 255,13,23,0.0775,Sniff,26,19,0,16,4.3,3.1,0,27,29.1,0.308,1.15,13,0,1,0,0,2.83,0.00,0.219,0.00,0.00,
177,05/15/21 11:31, 21, 05, 15, 11, 31,8,4.6,87.5,0.0,12.5,0.0, 2218, 9,36.0, 5, 2,6.30, 50, 134,6.1776060,6.7572900, 255,13,24,0.143,Sniff,14,15,0,16,2.3,2.5,0,27,29.0,0.308,1.15,7,0,1,0,0,1.52,0.00,0.217,0.00,0.00,
178,05/15/21 11:36, 21, 05, 15, 11, 36,6,4.6,0.0,0.0,100.0,0.0, 2218, 9,36.3, 5, 2,6.30, 50, 134,0.0000000,3.5300600, 255,13,25,N/A,Sniff,0.0,7.9,0,16,0.0,1.3,0,27,29.0,0.754,2.82,0,0,6,0,0,0.00,0.00,1.30,0.00,0.00,
179,05/15/21 11:41, 21, 05, 15, 11, 41,8,4.6,75.0,0.0,25.0,0.0, 2218, 9,36.6, 5, 2,6.30, 50, 134,5.2950900,6.4348620, 255,13,26,0.333,Sniff,12,14,0,16,2.0,2.4,0,27,29.0,0.435,1.63,6,0,2,0,0,1.30,0.00,0.435,0.00,0.00,
180,05/15/21 11:46, 21, 05, 15, 11, 46,9,4.6,66.7,0.0,22.2,0.0, 2218, 9,36.6, 5, 2,6.30, 50, 134,5.2950900,6.4348620, 255,13,27,0.333,Sniff,12,14,0,16,2.0,2.4,0,27,29.0,0.435,1.63,6,0,2,0,1,1.31,0.00,0.434,0.00,0.217,
181,05/15/21 11:51, 21, 05, 15, 11, 51,8,4.6,37.5,12.5,50.0,0.0, 2236, 9,36.9, 5, 2,6.30, 50, 134,2.6475450,5.2950900, 255,13,28,1.33,Sniff,6,12,4,19,1.0,2.0,6,32,29.1,0.616,2.29,3,1,4,0,0,0.652,0.217,0.870,0.00,0.00,
182,05/15/21 11:56, 21, 05, 15, 11, 56,10,4.6,40.0,0.0,60.0,0.0, 2218, 9,37.2, 5, 2,6.30, 50, 134,3.5300600,5.7117580, 255,13,29,1.50,Sniff,8,13,0,16,1.3,2.1,0,26,29.3,0.754,2.80,4,0,6,0,0,0.870,0.00,1.30,0.00,0.00,
183,05/15/21 12:01, 21, 05, 15, 12, 01,5,4.6,40.0,0.0,60.0,0.0, 2218, 9,37.2, 5, 2,6.30, 50, 134,1.7650300,4.8221520, 255,13,30,1.50,Sniff,4,11,0,16,0.7,1.8,0,26,29.5,0.533,1.97,2,0,3,0,0,0.435,0.00,0.652,0.00,0.00,
184,05/15/21 12:06, 21, 05, 15, 12, 06,11,4.6,27.3,9.1,63.6,0.0, 2201, 8,37.5, 5, 2,6.30, 50, 134,2.6475450,5.2950900, 255,13,31,2.33,Sniff,6,12,4,19,1.0,2.0,6,32,29.5,0.814,3.01,3,1,7,0,0,0.653,0.218,1.52,0.00,0.00,
185,05/15/21 12:11, 21, 05, 15, 12, 11,10,4.6,50.0,0.0,50.0,0.0, 2218, 9,37.5, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,32,1.00,Sniff,10,14,0,16,1.6,2.2,0,26,30.0,0.688,2.51,5,0,5,0,0,1.09,0.00,1.09,0.00,0.00,
186,05/15/21 12:16, 21, 05, 15, 12, 16,6,4.6,83.3,0.0,16.7,0.0, 2218, 9,37.8, 5, 2,6.30, 50, 134,4.4125770,6.0884540, 255,13,33,0.200,Sniff,10,14,0,16,1.6,2.2,0,26,29.9,0.308,1.13,5,0,1,0,0,1.09,0.00,0.218,0.00,0.00,
187,05/15/21 12:21, 21, 05, 15, 12, 21,12,4.6,41.7,0.0,58.3,0.0, 2218, 9,38.1, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,34,1.40,Sniff,10,14,0,16,1.6,2.2,0,26,30.0,0.814,2.97,5,0,7,0,0,1.09,0.00,1.52,0.00,0.00,
188,05/15/21 12:26, 21, 05, 15, 12, 26,8,4.6,100.0,0.0,0.0,0.0, 2236, 9,38.1, 5, 2,6.30, 50, 134,7.0601210,7.0601210, 255,13,35,0.00,Sniff,16,16,0,16,2.6,2.6,0,26,29.9,0.00,0.00,8,0,0,0,0,1.74,0.00,0.00,0.00,0.00,
189,05/15/21 12:31, 21, 05, 15, 12, 31,10,4.6,20.0,0.0,80.0,0.0, 2218, 9,38.4, 5, 2,6.30, 50, 134,1.7650300,4.8221520, 255,13,36,4.00,Sniff,4,11,0,16,0.6,1.8,0,26,29.9,0.871,3.19,2,0,8,0,0,0.435,0.00,1.74,0.00,0.00,
190,05/15/21 12:36, 21, 05, 15, 12, 36,6,4.6,50.0,0.0,50.0,0.0, 2218, 9,38.7, 5, 2,6.30, 50, 134,2.6475450,5.2950900, 255,13,37,1.00,Sniff,6,12,0,16,1.0,2.0,0,26,29.8,0.533,1.96,3,0,3,0,0,0.652,0.00,0.652,0.00,0.00,
191,05/15/21 12:41, 21, 05, 15, 12, 41,5,4.6,40.0,0.0,60.0,0.0, 2218, 9,38.7, 5, 2,6.30, 50, 134,1.7650300,4.8221520, 255,13,38,1.50,Sniff,4,11,0,16,0.6,1.8,0,26,30.1,0.533,1.94,2,0,3,0,0,0.435,0.00,0.652,0.00,0.00,
192,05/15/21 12:46, 21, 05, 15, 12, 46,11,4.6,54.6,0.0,36.4,0.0, 2218, 9,38.7, 5, 2,6.27, 50, 134,5.2950900,6.4348620, 255,13,39,0.667,Sniff,12,14,0,16,1.9,2.4,0,26,30.0,0.616,2.25,6,0,4,0,1,1.31,0.00,0.870,0.00,0.215,
193,05/15/21 12:51, 21, 05, 15, 12, 51,14,4.6,42.9,0.0,57.2,0.0, 2218, 9,38.4, 5, 2,6.27, 50, 134,5.2950900,6.4348620, 255,13,40,1.33,Sniff,12,14,0,16,1.9,2.3,0,26,30.4,0.871,3.15,6,0,8,0,0,1.31,0.00,1.74,0.00,0.00,
194,05/15/21 12:56, 21, 05, 15, 12, 56,10,4.6,70.0,0.0,30.0,0.0, 2218, 9,38.4, 5, 2,6.30, 50, 134,6.1776060,6.7572900, 255,13,41,0.429,Sniff,14,15,0,16,2.2,2.5,0,26,30.5,0.533,1.92,7,0,3,0,0,1.52,0.00,0.652,0.00,0.00,
195,05/15/21 13:01, 21, 05, 15, 13, 01,4,4.6,50.0,0.0,25.0,25.0, 2218, 9,38.1, 5, 2,6.30, 50, 134,1.7650300,4.8221520, 255,13,42,0.500,Sniff,3,11,0,16,0.5,1.7,0,26,30.5,0.308,1.11,2,0,1,1,0,0.435,0.00,0.217,0.217,0.00,
196,05/15/21 13:06, 21, 05, 15, 13, 06,14,4.6,35.7,0.0,64.3,0.0, 2218, 9,38.1, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,43,1.80,Sniff,10,14,0,16,1.6,2.2,0,26,30.5,0.923,3.33,5,0,9,0,0,1.09,0.00,1.96,0.00,0.00,
197,05/15/21 13:11, 21, 05, 15, 13, 11,12,4.6,41.7,0.0,58.3,0.0, 2218, 8,37.8, 5, 2,6.30, 50, 134,4.4125770,6.0884540, 255,13,44,1.40,Sniff,10,14,0,16,1.6,2.2,0,26,30.5,0.814,2.94,5,0,7,0,0,1.09,0.00,1.52,0.00,0.00,
198,05/15/21 13:16, 21, 05, 15, 13, 16,21,4.6,52.4,4.8,33.3,0.0, 2218, 9,37.5, 5, 2,6.27, 50, 134,9.7076650,7.8792730, 255,13,45,0.635,Sniff,22,18,4,19,3.5,2.9,6,31,30.4,0.814,2.95,11,1,7,0,2,2.39,0.219,1.52,0.00,0.434,
199,05/15/21 13:21, 21, 05, 15, 13, 21,8,4.6,37.5,0.0,62.5,0.0, 2218, 9,37.2, 5, 2,6.30, 50, 134,2.6475450,5.2950900, 255,13,46,1.67,Sniff,6,12,0,16,1.0,1.9,0,26,30.4,0.688,2.49,3,0,5,0,0,0.652,0.00,1.09,0.00,0.00,
200,05/15/21 13:26, 21, 05, 15, 13, 26,12,4.6,58.3,8.3,25.0,0.0, 2218, 9,36.9, 5, 2,6.30, 50, 134,6.1776060,6.7572900, 255,13,47,0.429,Sniff,14,15,4,19,2.2,2.5,6,31,30.5,0.533,1.92,7,1,3,0,1,1.52,0.217,0.652,0.00,0.219,
201,05/15/21 13:31, 21, 05, 15, 13, 31,10,4.6,40.0,10.0,40.0,0.0, 2218, 9,36.9, 5, 2,6.27, 50, 134,3.5300600,5.7117580, 255,13,48,1.00,Sniff,8,13,4,19,1.3,2.1,6,31,30.5,0.616,2.22,4,1,4,0,1,0.870,0.217,0.870,0.00,0.217,
202,05/15/21 13:36, 21, 05, 15, 13, 36,9,4.6,44.5,0.0,55.6,0.0, 2218, 9,36.6, 5, 2,6.30, 50, 134,3.5300600,5.7117580, 255,13,49,1.25,Sniff,8,13,0,16,1.3,2.1,0,26,30.5,0.688,2.48,4,0,5,0,0,0.871,0.00,1.09,0.00,0.00,
203,05/15/21 13:41, 21, 05, 15, 13, 41,16,4.6,50.0,6.3,37.5,0.0, 2218, 9,36.6, 5, 2,6.30, 50, 134,7.0601210,7.0601210, 255,13,50,0.750,Sniff,16,16,4,19,2.6,2.6,6,31,30.5,0.754,2.72,8,1,6,0,1,1.74,0.219,1.30,0.00,0.216,
204,05/15/21 13:46, 21, 05, 15, 13, 46,11,4.6,27.3,0.0,54.6,0.0, 2218, 9,36.6, 5, 2,6.30, 50, 134,2.6475450,5.2950900, 255,13,51,2.00,Sniff,6,12,0,16,1.0,1.9,0,26,30.5,0.754,2.72,3,0,6,0,2,0.653,0.00,1.31,0.00,0.433,
205,05/15/21 13:51, 21, 05, 15, 13, 51,13,4.6,53.9,0.0,30.8,7.7, 2201, 8,36.6, 5, 2,6.27, 50, 134,6.1776060,6.7572900, 255,13,52,0.571,Sniff,13,15,0,16,2.1,2.4,0,26,30.8,0.616,2.21,7,0,4,1,1,1.52,0.00,0.870,0.218,0.215,
206,05/15/21 13:56, 21, 05, 15, 13, 56,8,4.6,50.0,0.0,50.0,0.0, 2218, 9,36.6, 5, 2,6.27, 50, 134,3.5300600,5.7117580, 255,13,53,1.00,Sniff,8,13,0,16,1.3,2.1,0,26,30.5,0.616,2.22,4,0,4,0,0,0.870,0.00,0.870,0.00,0.00,
207,05/15/21 14:01, 21, 05, 15, 14, 01,12,4.6,83.3,8.3,8.3,0.0, 2218, 9,36.9, 5, 2,6.27, 50, 134,8.8251530,7.6189740, 255,13,54,0.0996,Sniff,20,17,4,19,3.2,2.8,6,31,30.5,0.308,1.11,10,1,1,0,0,2.17,0.217,0.217,0.00,0.00261,
208,05/15/21 14:06, 21, 05, 15, 14, 06,9,4.6,55.6,0.0,44.5,0.0, 2218, 9,36.6, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,55,0.800,Sniff,10,14,0,16,1.6,2.2,0,26,30.5,0.616,2.22,5,0,4,0,0,1.09,0.00,0.871,0.00,0.00,
209,05/15/21 14:11, 21, 05, 15, 14, 11,18,4.6,44.5,0.0,55.6,0.0, 2218, 9,36.6, 5, 2,6.27, 50, 134,7.0601210,7.0601210, 255,13,56,1.25,Sniff,16,16,0,16,2.6,2.6,0,26,30.5,0.973,3.51,8,0,10,0,0,1.74,0.00,2.18,0.00,0.00,
210,05/15/21 14:16, 21, 05, 15, 14, 16,14,4.6,42.9,0.0,57.2,0.0, 2218, 8,36.6, 5, 2,6.27, 50, 134,5.2950900,6.4348620, 255,13,57,1.33,Sniff,12,14,0,16,1.9,2.3,0,26,30.6,0.871,3.13,6,0,8,0,0,1.31,0.00,1.74,0.00,0.00,
211,05/15/21 14:21, 21, 05, 15, 14, 21,14,4.6,35.7,0.0,64.3,0.0, 2218, 8,36.3, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,58,1.80,Sniff,10,14,0,16,1.6,2.2,0,25,30.9,0.923,3.30,5,0,9,0,0,1.09,0.00,1.96,0.00,0.00,
212,05/15/21 14:26, 21, 05, 15, 14, 26,12,4.6,41.7,0.0,58.3,0.0, 2218, 9,36.3, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,59,1.40,Sniff,10,14,0,16,1.6,2.2,0,26,30.5,0.814,2.94,5,0,7,0,0,1.09,0.00,1.52,0.00,0.00,
213,05/15/21 14:32, 21, 05, 15, 14, 32,13,4.6,38.5,0.0,61.6,0.0, 2218, 9,36.0, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,60,1.60,Sniff,10,14,0,16,1.6,2.2,0,26,30.6,0.871,3.13,5,0,8,0,0,1.09,0.00,1.74,0.00,0.00,
214,05/15/21 14:37, 21, 05, 15, 14, 37,8,4.6,75.0,0.0,25.0,0.0, 2218, 9,35.7, 5, 2,6.27, 50, 134,5.2950900,6.4348620, 255,13,61,0.333,Sniff,12,14,0,16,1.9,2.3,0,26,30.6,0.435,1.57,6,0,2,0,0,1.30,0.00,0.435,0.00,0.00,
215,05/15/21 14:42, 21, 05, 15, 14, 42,14,4.6,57.2,7.2,35.7,0.0, 2218, 8,35.4, 5, 2,6.27, 50, 134,7.0601210,7.0601210, 255,13,62,0.624,Sniff,16,16,4,19,2.5,2.5,6,31,30.8,0.688,2.47,8,1,5,0,0,1.74,0.219,1.09,0.00,0.00,
216,05/15/21 14:47, 21, 05, 15, 14, 47,13,4.6,38.5,7.7,46.2,0.0, 2218, 9,35.1, 5, 2,6.27, 50, 134,4.4125770,6.0884540, 255,13,63,1.20,Sniff,10,14,4,19,1.6,2.2,6,31,30.5,0.754,2.72,5,1,6,0,1,1.09,0.218,1.31,0.00,0.215,
217,05/15/21 14:52, 21, 05, 15, 14, 52,13,4.6,76.9,0.0,23.1,0.0, 2218, 9,35.1, 5, 2,6.27, 50, 134,8.8251530,7.6189740, 255,13,64,0.300,Sniff,20,17,0,16,3.2,2.8,0,26,30.3,0.533,1.93,10,0,3,0,0,2.17,0.00,0.653,0.00,0.00,
218,05/15/21 14:57, 21, 05, 15, 14, 57,15,4.6,53.3,0.0,33.3,0.0, 2218, 8,34.8, 5, 2,6.27, 50, 134,7.0601210,7.0601210, 255,13,65,0.625,Sniff,16,16,0,16,2.6,2.6,0,26,29.8,0.688,2.53,8,0,5,0,2,1.74,0.00,1.09,0.00,0.437,
219,05/15/21 15:02, 21, 05, 15, 15, 02,13,4.6,53.9,0.0,46.2,0.0, 2236, 9,34.8, 5, 2,6.27, 50, 134,6.1776060,6.7572900, 255,13,66,0.857,Sniff,14,15,0,16,2.3,2.5,0,26,29.4,0.754,2.79,7,0,6,0,0,1.52,0.00,1.31,0.00,0.00,
220,05/15/21 15:07, 21, 05, 15, 15, 07,16,4.6,68.8,0.0,31.3,0.0, 2218, 8,34.5, 5, 2,6.27, 50, 134,9.7076650,7.8792730, 255,13,67,0.455,Sniff,22,18,0,16,3.6,2.9,0,26,29.5,0.688,2.54,11,0,5,0,0,2.39,0.00,1.09,0.00,0.00,
221,05/15/21 15:11, 21, 05, 15, 15, 11,9,3.8,0.0,0.0,100.0,0.0, 2218, 9,34.2, 5, 2,6.27, 50, 134,0.0000000,4.2683750, 255,13,68,N/A,Sniff,0.0,9.5,0,19,0.0,1.6,0,32,29.3,1.12,4.15,0,0,9,0,0,0.00,0.00,2.37,0.00,0.00,
