date,E_Conductivity,TempInSitu,Serial,AbsPressure_bar,Sp_Conductance,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-11T10:27:00Z,39918.4,27.71,319,0,52733.126530612244,52.733126530612246,32.76418002196194
2021-01-11T10:27:10Z,39914.5,27.74,319,0,52729.22653061224,52.729226530612245,32.74055243596128
2021-01-11T10:27:20Z,39890.9,27.74,319,0,52705.626530612244,52.70562653061224,32.72409768681067
2021-01-11T10:27:30Z,39957.8,27.73,319,0,52772.526530612246,52.77252653061225,32.77771899160478
2021-01-11T10:27:40Z,39898.8,27.74,319,0,52713.526530612246,52.71352653061225,32.72960570091548
2021-01-11T10:27:50Z,39942.1,27.73,319,0,52756.82653061224,52.756826530612244,32.7667682940994
2021-01-11T10:28:00Z,39926.3,27.74,319,0,52741.026530612246,52.741026530612245,32.74878029365212
2021-01-11T10:28:10Z,39890.9,27.74,319,0,52705.626530612244,52.70562653061224,32.72409768681067
2021-01-11T10:28:20Z,39918.4,27.75,319,0,52733.126530612244,52.733126530612246,32.736307337304304
2021-01-11T10:28:30Z,39946,27.73,319,0,52760.72653061224,52.760726530612246,32.7694884778219
2021-01-11T10:28:40Z,39906.6,27.74,319,0,52721.32653061224,52.721326530612245,32.735044134957484
2021-01-11T10:28:50Z,39930.2,27.74,319,0,52744.92653061224,52.74492653061224,32.75149974116053
2021-01-11T10:29:00Z,39902.7,27.74,319,0,52717.42653061224,52.717426530612244,32.732324900345034
2021-01-11T10:29:10Z,39930.2,27.73,319,0,52744.92653061224,52.74492653061224,32.75846846384232
2021-01-11T10:29:20Z,39918.4,27.73,319,0,52733.126530612244,52.733126530612246,32.75023870358925
2021-01-11T10:29:30Z,39930.2,27.73,319,0,52744.92653061224,52.74492653061224,32.75846846384232
2021-01-11T10:29:40Z,39918.4,27.74,319,0,52733.126530612244,52.733126530612246,32.74327177702292
2021-01-11T10:29:50Z,39930.2,27.74,319,0,52744.92653061224,52.74492653061224,32.75149974116053
2021-01-11T10:30:00Z,39934.2,27.75,319,0,52748.92653061224,52.74892653061224,32.747322110811
2021-01-11T10:30:10Z,39918.4,27.75,319,0,52733.126530612244,52.733126530612246,32.736307337304304
2021-01-11T10:30:20Z,39914.5,27.73,319,0,52729.22653061224,52.729226530612245,32.747518768918475
2021-01-11T10:30:30Z,39938.1,27.75,319,0,52752.82653061224,52.75282653061224,32.75004103613621
2021-01-11T10:30:40Z,39906.6,27.75,319,0,52721.32653061224,52.721326530612245,32.728081490593816
2021-01-11T10:30:50Z,39949.9,27.76,319,0,52764.626530612244,52.76462653061225,32.751300996863655
2021-01-11T10:31:00Z,39863.4,27.75,319,0,52678.126530612244,52.678126530612246,32.69796927354964
2021-01-11T10:31:10Z,39938.1,27.76,319,0,52752.82653061224,52.75282653061224,32.743076085636694
2021-01-11T10:31:20Z,39922.4,27.75,319,0,52737.126530612244,52.737126530612244,32.7390958329885
2021-01-11T10:31:30Z,39906.6,27.77,319,0,52721.32653061224,52.721326530612245,32.71416365574029
2021-01-11T10:31:40Z,39926.3,27.76,319,0,52741.026530612246,52.741026530612245,32.734851496267396
2021-01-11T10:31:50Z,39910.6,27.76,319,0,52725.32653061224,52.72532653061224,32.72390910942602
2021-01-11T10:32:00Z,39894.8,27.77,319,0,52709.526530612246,52.709526530612244,32.705941719539304
2021-01-11T10:32:10Z,39910.6,27.8,319,0,52725.32653061224,52.72532653061224,32.69609086754031
2021-01-11T10:32:20Z,39918.4,27.79,319,0,52733.126530612244,52.733126530612246,32.70847442344949
2021-01-11T10:32:30Z,39922.4,27.79,319,0,52737.126530612244,52.737126530612244,32.711260486894886
2021-01-11T10:32:40Z,39922.4,27.76,319,0,52737.126530612244,52.737126530612244,32.73213327054971
2021-01-11T10:32:50Z,39890.9,27.79,319,0,52705.626530612244,52.70562653061224,32.689321237554495
2021-01-11T10:33:00Z,39910.6,27.76,319,0,52725.32653061224,52.72532653061224,32.72390910942602
2021-01-11T10:33:10Z,39922.4,27.79,319,0,52737.126530612244,52.737126530612244,32.711260486894886
2021-01-11T10:33:20Z,39930.2,27.81,319,0,52744.92653061224,52.74492653061224,32.70278826690468
2021-01-11T10:33:30Z,39938.1,27.8,319,0,52752.82653061224,52.75282653061224,32.71524112792927
2021-01-11T10:33:40Z,39883.1,27.81,319,0,52697.82653061224,52.69782653061224,32.66999816863229
2021-01-11T10:33:50Z,39910.6,27.8,319,0,52725.32653061224,52.72532653061224,32.69609086754031
2021-01-11T10:34:00Z,39898.8,27.8,319,0,52713.526530612246,52.71352653061225,32.68787420022554
2021-01-11T10:34:10Z,39898.8,27.82,319,0,52713.526530612246,52.71352653061225,32.67398354228548
2021-01-11T10:34:20Z,39914.5,27.82,319,0,52729.22653061224,52.729226530612245,32.68491119250813
2021-01-11T10:34:30Z,39898.8,27.81,319,0,52713.526530612246,52.71352653061225,32.6809276324769
2021-01-11T10:34:40Z,39894.8,27.81,319,0,52709.526530612246,52.709526530612244,32.67814300169144
2021-01-11T10:34:50Z,39883.1,27.81,319,0,52697.82653061224,52.69782653061224,32.66999816863229
2021-01-11T10:35:00Z,39898.8,27.8,319,0,52713.526530612246,52.71352653061225,32.68787420022554
2021-01-11T10:35:10Z,39902.7,27.81,319,0,52717.42653061224,52.717426530612244,32.68364268304869
2021-01-11T10:35:20Z,39898.8,27.76,319,0,52713.526530612246,52.71352653061225,32.715685270176984
2021-01-11T10:35:30Z,39918.4,27.79,319,0,52733.126530612244,52.733126530612246,32.70847442344949
2021-01-11T10:35:40Z,39910.6,27.79,319,0,52725.32653061224,52.72532653061224,32.70304170601173
2021-01-11T10:35:50Z,39883.1,27.77,319,0,52697.82653061224,52.69782653061224,32.697789778468184
2021-01-11T10:36:00Z,39887,27.76,319,0,52701.72653061224,52.70172653061224,32.70746175280992
2021-01-11T10:36:10Z,39938.1,27.75,319,0,52752.82653061224,52.75282653061224,32.75004103613621
2021-01-11T10:36:20Z,39906.6,27.75,319,0,52721.32653061224,52.721326530612245,32.728081490593816
2021-01-11T10:36:30Z,39890.9,27.79,319,0,52705.626530612244,52.70562653061224,32.689321237554495
2021-01-11T10:36:40Z,39934.2,27.76,319,0,52748.92653061224,52.74892653061224,32.74035775354073
2021-01-11T10:36:50Z,39883.1,27.76,319,0,52697.82653061224,52.69782653061224,32.70474388140342
2021-01-11T10:37:00Z,39930.2,27.77,319,0,52744.92653061224,52.74492653061224,32.730608493463066
2021-01-11T10:37:10Z,39926.3,27.77,319,0,52741.026530612246,52.741026530612245,32.72789082557536
2021-01-11T10:37:20Z,39926.3,27.77,319,0,52741.026530612246,52.741026530612245,32.72789082557536
2021-01-11T10:37:30Z,39890.9,27.81,319,0,52705.626530612244,52.70562653061224,32.67542802223187
2021-01-11T10:37:40Z,39906.6,27.77,319,0,52721.32653061224,52.721326530612245,32.71416365574029
2021-01-11T10:37:50Z,39902.7,27.81,319,0,52717.42653061224,52.717426530612244,32.68364268304869
2021-01-11T10:38:00Z,39926.3,27.81,319,0,52741.026530612246,52.741026530612245,32.70007296879886
2021-01-11T10:38:10Z,39859.5,27.82,319,0,52674.22653061224,52.674226530612245,32.64663210900803
2021-01-11T10:38:20Z,39875.2,27.81,319,0,52689.92653061224,52.68992653061224,32.66449884466499
2021-01-11T10:38:30Z,39902.7,27.82,319,0,52717.42653061224,52.717426530612244,32.676698001032626
2021-01-11T10:38:40Z,39847.7,27.82,319,0,52662.42653061224,52.662426530612244,32.63842041505815
2021-01-11T10:38:50Z,39867.3,27.82,319,0,52682.026530612246,52.68202653061225,32.652060354278426
2021-01-11T10:39:00Z,39867.3,27.85,319,0,52682.026530612246,52.68202653061225,32.631257266012945
2021-01-11T10:39:10Z,39906.6,27.83,319,0,52721.32653061224,52.721326530612245,32.67246969784591
2021-01-11T10:39:20Z,39906.6,27.87,319,0,52721.32653061224,52.721326530612245,32.64472325462249
2021-01-11T10:39:30Z,39902.7,27.86,319,0,52717.42653061224,52.717426530612244,32.64894402735882
2021-01-11T10:39:40Z,39906.6,27.86,319,0,52721.32653061224,52.721326530612245,32.65165615602719
2021-01-11T10:39:50Z,39902.7,27.83,319,0,52717.42653061224,52.717426530612244,32.66975579562274
2021-01-11T10:40:00Z,39902.7,27.86,319,0,52717.42653061224,52.717426530612244,32.64894402735882
2021-01-11T10:40:10Z,39875.2,27.88,319,0,52689.92653061224,52.68992653061224,32.6159672165503
2021-01-11T10:40:20Z,39918.4,27.87,319,0,52733.126530612244,52.733126530612246,32.65292760837721
2021-01-11T10:40:30Z,39859.5,27.86,319,0,52674.22653061224,52.674226530612245,32.618904331235534
2021-01-11T10:40:40Z,39887,27.86,319,0,52701.72653061224,52.70172653061224,32.63802632548936
2021-01-11T10:40:50Z,39855.6,27.88,319,0,52670.32653061224,52.67032653061224,32.60234473993263
2021-01-11T10:41:00Z,39910.6,27.88,319,0,52725.32653061224,52.72532653061224,32.64057331945004
2021-01-11T10:41:10Z,39887,27.87,319,0,52701.72653061224,52.70172653061224,32.63109639287902
2021-01-11T10:41:20Z,39906.6,27.88,319,0,52721.32653061224,52.721326530612245,32.63779282420992
2021-01-11T10:41:30Z,39890.9,27.87,319,0,52705.626530612244,52.70562653061224,32.633807789737176
2021-01-11T10:41:40Z,39890.9,27.86,319,0,52705.626530612244,52.70562653061224,32.64073831305489
2021-01-11T10:41:50Z,39835.9,27.88,319,0,52650.626530612244,52.65062653061224,32.58865365246929
