date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-15T10:01:50Z,44957,29.36,318,54854.20481553601,104.718,29.452,0.293,876,1.04718,0.25671321160042965,54854.46152874761,54.85446152874761,33.07967057380163
2021-01-15T10:02:00Z,44914.7,29.36,318,54802.59254461719,104.615,29.452,0.283,876,1.04615,0.257250268528464,54802.84979488572,54.80284979488572,33.04468186990131
2021-01-15T10:02:10Z,44918.2,29.36,318,54806.863063487544,104.288,29.452,0.25,876,1.04288,0.2577873254564984,54807.120850813,54.807120850813,33.04757800635099
2021-01-15T10:02:20Z,44939.4,29.38,318,54832.73020635939,104.735,29.452,0.295,876,1.04735,0.25832438238453276,54832.98853074177,54.83298853074177,33.05135674358543
2021-01-15T10:02:30Z,44851.2,29.38,318,54725.11313082653,104.305,29.452,0.252,876,1.04305,0.2588614393125671,54725.37199226584,54.72537199226584,32.97844459519191
2021-01-15T10:02:40Z,44921.7,29.37,318,54811.13358235789,104.305,29.452,0.252,876,1.04305,0.2593984962406015,54811.392980854136,54.81139298085414,33.043597916216704
2021-01-15T10:02:50Z,44900.6,29.42,318,54785.38845431092,103.909,29.452,0.213,876,1.03909,0.25993555316863587,54785.648389864094,54.78564838986409,32.99182598570761
2021-01-15T10:03:00Z,44868.8,29.38,318,54746.58774000316,104.15,29.452,0.237,876,1.0415,0.2604726100966702,54746.84821261326,54.74684821261326,32.99299375446374
2021-01-15T10:03:10Z,44844.2,29.41,318,54716.57209308583,104.115,29.452,0.233,876,1.04115,0.26100966702470463,54716.833102752855,54.71683310275286,32.95209542695301
2021-01-15T10:03:20Z,44830.1,29.41,318,54699.36800277956,104.167,29.452,0.238,876,1.04167,0.261546723952739,54699.629549503516,54.69962954950352,32.94044951600413
2021-01-15T10:03:30Z,44833.6,29.43,318,54703.63852164991,104.305,29.452,0.252,876,1.04305,0.2620837808807734,54703.90060543079,54.70390060543079,32.929645796552144
2021-01-15T10:03:40Z,44802,29.41,318,54665.081836991885,104.253,29.452,0.247,876,1.04253,0.26262083780880774,54665.34445782969,54.66534445782969,32.91724227112559
2021-01-15T10:03:50Z,44819.6,29.38,318,54686.556446168506,104.649,29.452,0.286,876,1.04649,0.2631578947368421,54686.81960406325,54.686819604063245,32.952329466884805
2021-01-15T10:04:00Z,44823.1,29.4,318,54690.82696503886,104.408,29.452,0.262,876,1.0440800000000001,0.2636949516648765,54691.09065999053,54.69109065999053,32.94151780269752
2021-01-15T10:04:10Z,44823.1,29.41,318,54690.82696503886,104.563,29.452,0.278,876,1.04563,0.26423200859291085,54691.091197047455,54.691091197047456,32.93466872809883
2021-01-15T10:04:20Z,44826.6,29.43,318,54695.09748390921,104.46,29.452,0.267,876,1.0446,0.2647690655209452,54695.36225297473,54.69536225297473,32.9238680526557
2021-01-15T10:04:30Z,44759.9,29.38,318,54613.71359572281,104.873,29.452,0.309,876,1.0487300000000002,0.2653061224489796,54613.97890184526,54.61397890184526,32.902997712948604
2021-01-15T10:04:40Z,44770.4,29.43,318,54626.52515233386,104.753,29.452,0.297,876,1.04753,0.26584317937701396,54626.790995513235,54.62679099551323,32.877475532740426
2021-01-15T10:04:50Z,44840.7,29.4,318,54712.30157421548,104.77,29.452,0.298,876,1.0477,0.2663802363050483,54712.567954451784,54.712567954451785,32.95605845493973
2021-01-15T10:05:00Z,44791.5,29.43,318,54652.270280380835,104.512,29.452,0.273,876,1.04512,0.2669172932330827,54652.53719767407,54.65253719767407,32.894893514813354
2021-01-15T10:05:10Z,44770.4,29.43,318,54626.52515233386,104.477,29.452,0.269,876,1.04477,0.26745435016111707,54626.79260668402,54.62679260668402,32.87747737246962
2021-01-15T10:05:20Z,44749.4,29.46,318,54600.90203911175,104.615,29.452,0.283,876,1.04615,0.2679914070891514,54601.17003051884,54.601170030518844,32.83966542360645
2021-01-15T10:05:30Z,44784.4,29.43,318,54643.607227815264,104.494,29.452,0.271,876,1.04494,0.26852846401718583,54643.87575627928,54.643875756279286,32.88903392957472
2021-01-15T10:05:40Z,44724.8,29.44,318,54570.88639219443,104.253,29.452,0.247,876,1.04253,0.2690655209452202,54571.15545771537,54.57115545771537,32.83301985190827
2021-01-15T10:05:50Z,44745.8,29.48,318,54596.509505416536,104.322,29.452,0.254,876,1.04322,0.2696025778732546,54596.77910799441,54.59677910799441,32.82305839106824
2021-01-15T10:06:00Z,44763.4,29.43,318,54617.98411459316,104.408,29.452,0.262,876,1.0440800000000001,0.27013963480128894,54618.254254227955,54.618254254227956,32.87170167731896
2021-01-15T10:06:10Z,44724.8,29.44,318,54570.88639219443,104.667,29.452,0.288,876,1.04667,0.2706766917293233,54571.15706888616,54.571157068886166,32.83301981831079
2021-01-15T10:06:20Z,44738.8,29.44,318,54587.96846767583,104.322,29.452,0.254,876,1.04322,0.2712137486573577,54588.23968142449,54.5882396814245,32.84457245047956
2021-01-15T10:06:30Z,44735.3,29.46,318,54583.697948805486,104.374,29.452,0.259,876,1.04374,0.27175080558539205,54583.96969961107,54.583969699611075,32.828039255384915
2021-01-15T10:06:40Z,44738.8,29.51,318,54587.96846767583,104.512,29.452,0.273,876,1.04512,0.2722878625134264,54588.24075553835,54.58824075553835,32.79685083123739
2021-01-15T10:06:50Z,44742.3,29.47,318,54592.23898654619,104.133,29.452,0.235,876,1.0413299999999999,0.2728249194414608,54592.51181146563,54.59251181146563,32.826993589016574
2021-01-15T10:07:00Z,44731.8,29.46,318,54579.42742993513,104.46,29.452,0.267,876,1.0446,0.27336197636949516,54579.7007919115,54.5797007919115,32.82515349013764
2021-01-15T10:07:10Z,44700.3,29.49,318,54540.99276010197,104.239,29.552,0.245,876,1.0423900000000001,0.2738990332975295,54541.26665913527,54.54126665913527,32.77874475453237
2021-01-15T10:07:20Z,44654.8,29.46,318,54485.47601478741,104.686,29.552,0.29,876,1.0468600000000001,0.2744360902255639,54485.75045087764,54.48575045087764,32.76165802088499
2021-01-15T10:07:30Z,44689.8,29.48,318,54528.181203490916,104.669,29.552,0.288,876,1.04669,0.2749731471535983,54528.45617663807,54.52845617663807,32.776897707627946
2021-01-15T10:07:40Z,44630.3,29.44,318,54455.58238269495,104.48,29.552,0.269,876,1.0448,0.2755102040816326,54455.85789289903,54.45585789289903,32.7550687829859
2021-01-15T10:07:50Z,44644.3,29.47,318,54472.664458176354,104.29,29.552,0.251,876,1.0429000000000002,0.27604726100966703,54472.940505437364,54.472940505437364,32.746200014207766
2021-01-15T10:08:00Z,44668.8,29.44,318,54502.558090268816,104.618,29.552,0.283,876,1.0461799999999999,0.2765843179377014,54502.83467458675,54.50283467458675,32.78682499358277
2021-01-15T10:08:10Z,44654.8,29.46,318,54485.47601478741,104.48,29.552,0.269,876,1.0448,0.2771213748657358,54485.753136162275,54.48575313616227,32.76166039288403
2021-01-15T10:08:20Z,44714.3,29.47,318,54558.07483558338,104.325,29.552,0.254,876,1.04325,0.27765843179377014,54558.35249401517,54.55835249401517,32.803908768982275
2021-01-15T10:08:30Z,44700.3,29.47,318,54540.99276010197,104.686,29.552,0.29,876,1.0468600000000001,0.2781954887218045,54541.2709555907,54.5412709555907,32.792365327295364
2021-01-15T10:08:40Z,44637.3,29.48,318,54464.12342043565,104.893,29.552,0.31,876,1.04893,0.2787325456498389,54464.4021529813,54.46440215298131,32.733630739595384
2021-01-15T10:08:50Z,44661.8,29.48,318,54494.017052528114,104.618,29.552,0.283,876,1.0461799999999999,0.27926960257787325,54494.29632213069,54.494296322130694,32.75382288487062
2021-01-15T10:09:00Z,44661.8,29.48,318,54494.017052528114,104.6,29.552,0.281,876,1.046,0.2798066595059076,54494.29685918762,54.49429685918762,32.75382329631046
2021-01-15T10:09:10Z,44598.9,29.49,318,54417.26972768665,104.566,29.552,0.278,876,1.04566,0.280343716433942,54417.550071403086,54.417550071403085,32.69519984310004
2021-01-15T10:09:20Z,44668.8,29.49,318,54502.558090268816,104.549,29.552,0.276,876,1.04549,0.28088077336197637,54502.838971042176,54.50283897104218,32.75279067462999
2021-01-15T10:09:30Z,44609.4,29.49,318,54430.08128429771,104.376,29.552,0.259,876,1.04376,0.2814178302900107,54430.362702128,54.430362702128,32.70385098950138
2021-01-15T10:09:40Z,44644.3,29.48,318,54472.664458176354,104.066,29.552,0.228,876,1.0406600000000001,0.2819548872180451,54472.946413063575,54.472946413063575,32.7394038206919
