KorDSS MEASUREMENT DATA FILE EXPORT

FILE CREATED:,5/22/2021 7:20:33 AM


DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),pH,pH (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L)
5/21/2021,4:50:03 PM,<None>,,-17.54042 °,-149.89926 °,757.2,59766.8,55243.8,36.50,54746.4,35908,84.7,23.1,23.1,12.13,-459.4,136.7,8.55,1.21,0
5/21/2021,4:50:51 PM,<None>,,-17.54037 °,-149.89935 °,757.3,59718.6,55208.9,36.47,54713.0,35886,84.7,23.1,23.1,12.14,-459.8,138.3,8.66,1.04,0
5/21/2021,4:51:03 PM,<None>,,-17.54038 °,-149.89938 °,757.3,59772.1,55240.4,36.50,54742.0,35906,84.7,23.1,23.1,12.13,-459.5,138.0,8.63,0.96,0
5/21/2021,4:51:15 PM,<None>,,-17.54038 °,-149.89941 °,757.3,56445.9,52335.5,34.34,51884.5,34018,84.4,21.5,21.5,12.18,-461.7,129.4,8.21,1.17,0
5/21/2021,4:51:20 PM,<None>,,-17.54038 °,-149.89940 °,757.3,56888.6,52808.7,34.70,52361.4,34326,84.3,21.8,21.8,12.19,-462.1,130.1,8.26,1.18,0
5/21/2021,4:51:26 PM,<None>,,-17.54038 °,-149.89941 °,757.3,57014.0,52887.0,34.75,52434.3,34377,84.3,21.8,21.8,12.19,-461.8,131.2,8.31,1.14,0
5/21/2021,4:51:32 PM,<None>,,-17.54038 °,-149.89941 °,757.3,55666.9,51721.3,33.89,51289.1,33619,84.2,21.2,21.2,12.22,-463.5,126.1,8.04,1.19,0
5/21/2021,4:51:35 PM,<None>,,-17.54037 °,-149.89941 °,757.3,55072.3,51210.5,33.52,50787.7,33287,84.1,21.0,21.0,12.24,-464.0,126.3,8.08,1.23,0
5/21/2021,4:51:39 PM,<None>,,-17.54037 °,-149.89941 °,757.3,54975.8,51121.3,33.45,50699.3,33229,84.1,20.9,20.9,12.23,-463.7,126.6,8.10,1.27,0
5/21/2021,4:53:04 PM,<None>,,-17.54037 °,-149.89944 °,757.3,58275.7,53982.9,35.56,53511.5,35089,84.5,22.4,22.4,12.15,-460.3,134.1,8.45,1.10,0
5/21/2021,4:54:00 PM,<None>,,-17.54034 °,-149.89944 °,757.3,58123.0,53857.6,35.47,53389.4,35007,84.5,22.4,22.4,12.13,-459.4,133.2,8.40,1.15,0
5/21/2021,4:54:19 PM,<None>,,-17.54033 °,-149.89944 °,757.3,58870.7,54514.3,35.96,54035.8,35434,84.5,22.7,22.7,12.11,-458.2,134.7,8.47,1.44,0
5/21/2021,4:54:45 PM,<None>,,-17.54029 °,-149.89944 °,757.3,58679.4,54324.3,35.82,53845.9,35311,84.6,22.6,22.6,12.10,-457.8,134.5,8.46,1.10,0
5/21/2021,4:55:10 PM,<None>,,-17.54026 °,-149.89943 °,757.3,56343.7,52303.4,34.32,51860.5,33997,84.3,21.5,21.5,12.11,-458.4,132.1,8.39,1.02,0
5/21/2021,4:55:50 PM,<None>,,-17.54025 °,-149.89941 °,757.4,57684.2,53415.1,35.14,52946.2,34720,84.5,22.1,22.1,12.05,-455.7,133.2,8.41,1.44,0
5/21/2021,4:56:23 PM,<None>,,-17.54021 °,-149.89946 °,757.3,57256.7,53075.2,34.89,52616.3,34499,84.4,21.9,21.9,12.06,-455.9,131.7,8.34,1.34,0
5/21/2021,4:56:44 PM,<None>,,-17.54021 °,-149.89946 °,757.3,55847.9,52013.4,34.11,51594.0,33809,83.9,21.4,21.4,12.13,-459.1,124.9,7.98,4.06,0
5/21/2021,4:56:56 PM,<None>,,-17.54021 °,-149.89946 °,757.4,55859.8,51903.3,34.03,51469.9,33737,84.2,21.3,21.3,12.10,-457.6,127.1,8.10,1.41,0
5/21/2021,4:57:13 PM,<None>,,-17.54019 °,-149.89948 °,757.3,55457.1,51587.9,33.80,51164.4,33532,84.1,21.2,21.2,12.11,-458.0,126.5,8.08,1.29,0
5/21/2021,4:57:23 PM,<None>,,-17.54019 °,-149.89948 °,757.3,55352.6,51524.6,33.75,51105.8,33491,84.0,21.2,21.2,12.11,-458.2,125.2,8.01,1.33,0
5/21/2021,4:57:30 PM,<None>,,-17.54019 °,-149.89949 °,757.3,55331.9,51502.7,33.74,51083.7,33477,84.0,21.2,21.2,12.11,-458.2,124.5,7.96,1.36,0
5/21/2021,4:57:40 PM,<None>,,-17.54021 °,-149.89951 °,757.3,55275.1,51479.9,33.72,51064.8,33462,83.9,21.2,21.2,12.12,-458.6,123.8,7.92,1.15,0
5/21/2021,4:57:48 PM,<None>,,-17.54023 °,-149.89952 °,757.4,55416.7,51598.0,33.81,51180.3,33539,84.0,21.2,21.2,12.11,-458.1,124.2,7.94,1.19,0
5/21/2021,4:58:02 PM,<None>,,-17.54025 °,-149.89954 °,757.3,56037.8,52119.7,34.19,51690.8,33878,84.1,21.5,21.5,12.09,-457.1,126.9,8.09,1.24,0
5/21/2021,4:58:22 PM,<None>,,-17.54024 °,-149.89955 °,757.3,56174.8,52253.7,34.29,51824.5,33965,84.1,21.6,21.6,12.08,-456.9,123.8,7.89,3.12,0
5/21/2021,4:58:32 PM,<None>,,-17.54024 °,-149.89955 °,757.3,56210.2,52254.5,34.29,51821.3,33965,84.1,21.5,21.5,12.05,-455.5,126.8,8.07,1.78,0
5/21/2021,4:58:54 PM,<None>,,-17.54021 °,-149.89960 °,757.3,57899.2,53644.2,35.31,53177.0,34869,84.5,22.2,22.2,11.99,-452.6,131.9,8.32,1.24,0
5/21/2021,4:59:17 PM,<None>,,-17.54020 °,-149.89963 °,757.3,57126.2,53006.5,34.84,52554.7,34454,84.3,21.9,21.9,12.01,-453.5,131.3,8.31,1.07,0
5/21/2021,4:59:24 PM,<None>,,-17.54020 °,-149.89964 °,757.3,56609.9,52594.4,34.54,52154.5,34186,84.2,21.7,21.7,12.03,-454.4,129.2,8.21,1.06,0
5/21/2021,4:59:38 PM,<None>,,-17.54018 °,-149.89966 °,757.3,56412.0,52465.4,34.45,52033.4,34103,84.1,21.7,21.7,12.05,-455.4,128.0,8.14,1.09,0
5/21/2021,5:00:00 PM,<None>,,-17.54016 °,-149.89972 °,757.4,57286.2,53206.7,34.99,52759.6,34584,84.2,22.1,22.1,12.02,-454.1,130.4,8.26,1.01,0
5/21/2021,5:00:32 PM,<None>,,-17.54015 °,-149.89975 °,757.4,59343.6,54895.0,36.24,54406.0,35682,84.6,22.9,22.9,11.95,-451.1,134.1,8.41,1.38,0
5/21/2021,5:00:50 PM,<None>,,-17.54013 °,-149.89980 °,757.5,58653.9,54323.1,35.82,53847.5,35310,84.5,22.6,22.6,11.97,-451.9,134.1,8.44,1.00,0
5/21/2021,5:01:07 PM,<None>,,-17.54011 °,-149.89986 °,757.3,58649.4,54348.7,35.84,53876.6,35327,84.5,22.6,22.6,11.99,-452.7,133.9,8.43,0.98,0
5/21/2021,5:01:18 PM,<None>,,-17.54009 °,-149.89987 °,757.3,59142.1,54754.7,36.14,54272.8,35591,84.6,22.9,22.9,11.98,-452.3,134.6,8.45,0.87,0
5/21/2021,5:02:04 PM,<None>,,-17.54008 °,-149.89989 °,757.3,58008.4,53845.2,35.46,53388.7,34999,84.3,22.4,22.4,12.05,-455.2,132.6,8.38,0.78,0
5/21/2021,5:02:29 PM,<None>,,-17.54006 °,-149.89990 °,757.5,58480.3,54281.8,35.79,53821.5,35283,84.3,22.6,22.6,12.06,-455.9,129.7,8.18,0.97,0
5/21/2021,5:02:46 PM,<None>,,-17.54004 °,-149.89992 °,757.4,59065.1,54709.6,36.10,54231.4,35561,84.5,22.8,22.8,11.99,-452.7,133.8,8.41,1.12,0
5/21/2021,5:03:20 PM,<None>,,-17.54003 °,-149.89995 °,757.5,59356.7,54955.7,36.29,54472.2,35721,84.5,23.0,23.0,11.95,-451.1,134.8,8.46,0.59,0
5/21/2021,5:04:05 PM,<None>,,-17.53997 °,-149.89998 °,757.3,59477.8,55048.7,36.36,54562.1,35782,84.6,23.0,23.0,11.96,-451.5,135.5,8.50,0.90,0
5/21/2021,5:05:12 PM,<None>,,-17.53999 °,-149.90005 °,757.4,59494.0,55090.3,36.39,54606.6,35809,84.5,23.0,23.0,11.96,-451.3,134.0,8.40,0.75,0
5/21/2021,5:05:50 PM,<None>,,-17.53995 °,-149.90007 °,757.4,59569.1,55136.1,36.42,54649.0,35838,84.6,23.1,23.1,11.96,-451.3,135.1,8.47,0.74,0
5/21/2021,5:06:08 PM,<None>,,-17.53993 °,-149.90009 °,757.4,59572.2,55126.7,36.41,54638.2,35832,84.6,23.0,23.0,11.95,-451.0,135.2,8.47,0.76,0
5/21/2021,5:06:52 PM,<None>,,-17.53994 °,-149.90015 °,757.4,59557.6,55127.6,36.41,54640.9,35833,84.6,23.1,23.1,11.96,-451.5,135.0,8.46,0.65,0
5/21/2021,5:07:29 PM,<None>,,-17.53993 °,-149.90019 °,757.6,59547.6,55133.9,36.42,54649.1,35837,84.5,23.1,23.1,11.95,-451.0,134.8,8.45,0.54,0
5/21/2021,5:08:36 PM,<None>,,-17.53996 °,-149.90019 °,757.6,59344.9,55017.1,36.33,54542.2,35761,84.4,23.0,23.0,11.96,-451.4,133.1,8.36,0.42,0
5/21/2021,5:09:02 PM,<None>,,-17.53999 °,-149.90021 °,757.5,59322.2,55021.0,36.34,54549.2,35764,84.4,23.0,23.0,11.96,-451.4,132.8,8.34,0.33,0
5/21/2021,5:09:27 PM,<None>,,-17.54000 °,-149.90024 °,757.5,59341.4,55035.3,36.35,54562.9,35773,84.4,23.0,23.0,11.96,-451.1,132.3,8.31,0.30,0
5/21/2021,5:10:43 PM,<None>,,-17.53998 °,-149.90027 °,757.5,59342.2,55047.3,36.36,54576.3,35781,84.3,23.1,23.1,11.96,-451.5,131.7,8.27,0.32,0
5/21/2021,5:11:11 PM,<None>,,-17.53996 °,-149.90031 °,757.4,59353.3,55044.2,36.36,54571.5,35779,84.4,23.1,23.1,11.94,-450.5,124.8,7.84,0.46,0
5/21/2021,5:12:40 PM,<None>,,-17.54001 °,-149.90025 °,757.6,59337.1,55059.8,36.37,54590.7,35789,84.3,23.1,23.1,11.90,-448.6,129.4,8.13,0.31,0
5/21/2021,5:13:15 PM,<None>,,-17.54003 °,-149.90021 °,757.4,59304.7,55026.5,36.34,54557.3,35767,84.3,23.0,23.0,11.91,-449.0,131.3,8.25,0.29,0
5/21/2021,5:13:44 PM,<None>,,-17.54004 °,-149.90016 °,757.6,59342.6,55049.0,36.36,54578.1,35782,84.3,23.1,23.1,11.91,-449.0,131.9,8.29,0.41,0
5/21/2021,5:14:14 PM,<None>,,-17.54008 °,-149.90016 °,757.4,59448.0,55160.7,36.44,54690.6,35854,84.3,23.1,23.1,11.90,-448.3,131.2,8.24,0.27,0
5/21/2021,5:14:36 PM,<None>,,-17.54009 °,-149.90018 °,757.5,59578.6,55300.6,36.55,54831.6,35945,84.3,23.2,23.2,11.89,-448.1,129.9,8.16,0.18,0
5/21/2021,5:16:41 PM,<None>,,-17.54010 °,-149.90021 °,757.6,59651.2,55395.9,36.62,54929.6,36007,84.2,23.3,23.3,11.90,-448.7,125.5,7.88,0.43,0
5/21/2021,5:17:31 PM,<None>,,-17.54015 °,-149.90024 °,757.5,59745.1,55499.8,36.70,55034.6,36075,84.2,23.3,23.3,11.93,-449.7,126.4,7.94,0.07,0
5/21/2021,5:17:59 PM,<None>,,-17.54016 °,-149.90027 °,757.4,59713.1,55475.0,36.68,55010.7,36059,84.2,23.3,23.3,11.92,-449.3,127.0,7.98,0.07,0
5/21/2021,5:18:11 PM,<None>,,-17.54014 °,-149.90028 °,757.6,59735.5,55500.8,36.70,55036.9,36076,84.2,23.3,23.3,11.92,-449.3,127.0,7.97,0.03,0
5/21/2021,5:18:48 PM,<None>,,-17.54019 °,-149.90030 °,757.5,59825.4,55585.5,36.76,55121.0,36131,84.2,23.4,23.4,11.90,-448.7,125.1,7.86,-0.01,0
5/21/2021,5:19:14 PM,<None>,,-17.54018 °,-149.90036 °,757.6,59832.6,55587.0,36.76,55121.9,36132,84.2,23.4,23.4,11.88,-447.7,124.8,7.83,-0.04,0
5/21/2021,5:19:37 PM,<None>,,-17.54020 °,-149.90041 °,757.5,59837.2,55593.6,36.77,55128.7,36136,84.2,23.4,23.4,11.88,-447.5,123.6,7.76,0.03,0
5/21/2021,5:20:01 PM,<None>,,-17.54018 °,-149.90045 °,757.5,59829.6,55591.2,36.77,55126.9,36134,84.2,23.4,23.4,11.88,-447.4,123.2,7.74,-0.07,0
5/21/2021,5:20:28 PM,<None>,,-17.54020 °,-149.90048 °,757.6,59853.0,55617.3,36.79,55153.3,36151,84.2,23.4,23.4,11.86,-446.6,123.4,7.75,-0.01,0
5/21/2021,5:20:54 PM,<None>,,-17.54016 °,-149.90051 °,757.6,59825.5,55593.1,36.77,55129.5,36136,84.2,23.4,23.4,11.85,-446.4,123.2,7.73,-0.02,0
5/21/2021,5:21:22 PM,<None>,,-17.54013 °,-149.90050 °,757.6,59799.9,55564.1,36.75,55100.1,36117,84.2,23.4,23.4,11.85,-446.2,123.7,7.76,-0.02,0
5/21/2021,5:22:17 PM,<None>,,-17.54006 °,-149.90048 °,757.6,59704.7,55466.9,36.67,55002.6,36053,84.2,23.3,23.3,11.84,-445.8,124.0,7.78,-0.01,0
5/21/2021,5:22:59 PM,<None>,,-17.54011 °,-149.90053 °,757.6,59798.3,55564.0,36.75,55100.1,36117,84.2,23.4,23.4,11.84,-445.7,123.3,7.74,0.05,0
5/21/2021,5:23:36 PM,<None>,,-17.54015 °,-149.90053 °,757.6,59840.5,55618.4,36.79,55156.0,36152,84.1,23.4,23.4,11.84,-445.6,123.0,7.72,0.01,0
5/21/2021,5:23:56 PM,<None>,,-17.54017 °,-149.90051 °,757.4,59857.4,55622.7,36.79,55158.8,36155,84.2,23.4,23.4,11.84,-445.7,123.6,7.76,-0.01,0
5/21/2021,5:24:42 PM,<None>,,-17.54023 °,-149.90047 °,757.6,59889.2,55630.9,36.80,55164.3,36160,84.2,23.4,23.4,11.83,-445.1,124.1,7.79,0.06,0
5/21/2021,5:24:58 PM,<None>,,-17.54024 °,-149.90045 °,757.6,59891.2,55630.4,36.80,55163.6,36160,84.2,23.4,23.4,11.84,-445.5,124.3,7.80,0.04,0
5/21/2021,5:25:28 PM,<None>,,-17.54023 °,-149.90042 °,757.6,59861.4,55624.1,36.79,55159.9,36156,84.2,23.4,23.4,11.83,-445.2,123.5,7.75,-0.03,0
5/21/2021,5:26:02 PM,<None>,,-17.54024 °,-149.90038 °,757.6,59866.5,55625.7,36.79,55161.1,36157,84.2,23.4,23.4,11.82,-444.5,123.8,7.77,0.04,0
5/21/2021,5:26:24 PM,<None>,,-17.54023 °,-149.90036 °,757.6,59846.3,55618.6,36.79,55155.5,36152,84.2,23.4,23.4,11.80,-443.7,122.6,7.70,0.00,0
5/21/2021,5:26:39 PM,<None>,,-17.54022 °,-149.90033 °,757.6,59840.8,55611.9,36.78,55148.6,36148,84.2,23.4,23.4,11.79,-443.2,122.6,7.70,-0.02,0
5/21/2021,5:27:03 PM,<None>,,-17.54022 °,-149.90030 °,757.6,59828.4,55604.4,36.78,55141.8,36143,84.2,23.4,23.4,11.78,-442.8,123.2,7.74,0.01,0
5/21/2021,5:27:20 PM,<None>,,-17.54021 °,-149.90027 °,757.6,59808.3,55604.5,36.78,55144.2,36143,84.1,23.4,23.4,11.79,-443.5,123.3,7.75,-0.02,0
5/21/2021,5:27:32 PM,<None>,,-17.54020 °,-149.90025 °,757.6,59807.2,55596.8,36.77,55135.7,36138,84.1,23.4,23.4,11.79,-443.4,123.7,7.77,0.00,0
5/21/2021,5:27:45 PM,<None>,,-17.54020 °,-149.90024 °,757.6,59784.2,55565.3,36.75,55103.2,36117,84.1,23.4,23.4,11.79,-443.2,124.6,7.83,0.03,0
5/21/2021,5:28:09 PM,<None>,,-17.54017 °,-149.90019 °,757.6,59705.9,55495.5,36.70,55034.4,36072,84.1,23.4,23.4,11.78,-443.1,125.2,7.86,0.09,0
5/21/2021,5:28:38 PM,<None>,,-17.54015 °,-149.90015 °,757.6,59719.5,55508.1,36.71,55046.9,36080,84.1,23.4,23.4,11.78,-442.7,125.2,7.86,0.03,0
5/21/2021,5:28:56 PM,<None>,,-17.54012 °,-149.90012 °,757.6,59588.4,55379.5,36.61,54918.5,35997,84.2,23.3,23.3,11.78,-442.7,125.9,7.91,0.19,0
5/21/2021,5:29:15 PM,<None>,,-17.54009 °,-149.90009 °,757.7,59457.8,55220.1,36.49,54755.7,35893,84.2,23.2,23.2,11.75,-441.6,127.8,8.03,0.24,0
5/21/2021,5:29:28 PM,<None>,,-17.54007 °,-149.90009 °,757.6,59420.9,55159.8,36.44,54692.7,35854,84.3,23.1,23.1,11.74,-441.3,128.7,8.08,0.29,0
5/21/2021,5:29:59 PM,<None>,,-17.54005 °,-149.90004 °,757.6,59520.7,55223.6,36.49,54752.3,35895,84.3,23.2,23.2,11.75,-441.5,129.2,8.12,0.29,0
5/21/2021,5:30:35 PM,<None>,,-17.54009 °,-149.90002 °,757.6,59400.0,55147.9,36.44,54681.8,35846,84.3,23.1,23.1,11.75,-441.6,128.7,8.09,0.30,0
5/21/2021,5:30:58 PM,<None>,,-17.54013 °,-149.90005 °,757.6,59613.0,55405.4,36.63,54944.5,36013,84.2,23.3,23.3,11.77,-442.5,126.0,7.92,0.07,0
5/21/2021,5:31:13 PM,<None>,,-17.54015 °,-149.90009 °,757.6,59754.3,55536.0,36.73,55074.0,36098,84.2,23.4,23.4,11.78,-442.7,124.9,7.85,0.04,0
5/21/2021,5:32:06 PM,<None>,,-17.54011 °,-149.89995 °,757.6,59477.0,55238.7,36.50,54774.2,35905,84.2,23.2,23.2,11.76,-442.0,127.7,8.02,0.24,0
5/21/2021,5:32:19 PM,<None>,,-17.54013 °,-149.89993 °,757.6,59569.2,55332.4,36.57,54868.2,35966,84.2,23.2,23.2,11.76,-442.1,127.2,7.99,0.19,0
5/21/2021,5:33:04 PM,<None>,,-17.54016 °,-149.89996 °,757.6,59493.2,55275.0,36.53,54812.9,35929,84.2,23.2,23.2,11.75,-441.7,126.8,7.97,0.21,0
5/21/2021,5:33:46 PM,<None>,,-17.54022 °,-149.89996 °,757.6,59750.9,55538.4,36.73,55077.0,36100,84.1,23.4,23.4,11.75,-441.3,124.9,7.85,0.05,0
5/21/2021,5:33:58 PM,<None>,,-17.54023 °,-149.89998 °,757.6,59805.4,55586.8,36.76,55124.7,36131,84.1,23.4,23.4,11.75,-441.3,124.5,7.82,0.03,0
5/21/2021,5:34:51 PM,<None>,,-17.54027 °,-149.89993 °,757.6,59799.0,55580.3,36.76,55118.3,36127,84.1,23.4,23.4,11.76,-442.0,124.4,7.81,0.00,0
5/21/2021,5:35:25 PM,<None>,,-17.54030 °,-149.89989 °,757.6,59802.5,55593.0,36.77,55132.0,36135,84.1,23.4,23.4,11.77,-442.3,124.5,7.82,0.04,0
5/21/2021,5:35:42 PM,<None>,,-17.54029 °,-149.89986 °,757.6,59796.3,55585.0,36.76,55123.7,36130,84.1,23.4,23.4,11.76,-442.1,124.6,7.82,0.04,0
5/21/2021,5:35:54 PM,<None>,,-17.54026 °,-149.89987 °,757.6,59783.5,55563.8,36.75,55101.6,36116,84.2,23.4,23.4,11.76,-442.1,125.0,7.85,0.06,0
5/21/2021,5:36:29 PM,<None>,,-17.54022 °,-149.89986 °,757.7,59428.5,55253.5,36.52,54796.4,35915,84.1,23.2,23.2,11.78,-442.9,126.0,7.93,0.18,0
5/21/2021,5:36:36 PM,<None>,,-17.54022 °,-149.89986 °,757.6,59173.4,55033.3,36.35,54580.1,35772,84.1,23.1,23.1,11.79,-443.2,125.9,7.93,0.19,0
5/21/2021,5:36:53 PM,<None>,,-17.54022 °,-149.89986 °,757.6,58822.5,54747.0,36.14,54301.1,35586,84.0,23.0,23.0,11.80,-443.6,125.4,7.91,0.22,0
5/21/2021,5:37:42 PM,<None>,,-17.54018 °,-149.89983 °,757.6,58625.8,54533.6,35.98,54085.7,35447,84.1,22.8,22.8,11.77,-442.4,127.7,8.06,0.58,0
5/21/2021,5:38:16 PM,<None>,,-17.54017 °,-149.89978 °,757.6,58271.2,54290.9,35.80,53855.8,35289,83.9,22.7,22.7,11.80,-443.8,112.5,7.12,0.93,0
5/21/2021,5:38:23 PM,<None>,,-17.54016 °,-149.89977 °,757.6,57496.0,53747.5,35.41,53338.7,34936,83.6,22.5,22.5,11.87,-446.8,123.3,7.84,0.79,0
5/21/2021,5:38:30 PM,<None>,,-17.54016 °,-149.89977 °,757.7,57794.9,53821.1,35.45,53386.6,34984,84.0,22.4,22.4,11.80,-443.9,126.9,8.05,0.92,0
5/21/2021,5:39:15 PM,<None>,,-17.54018 °,-149.89977 °,757.6,57815.6,53927.4,35.53,53502.7,35053,83.8,22.5,22.5,11.81,-444.2,125.9,7.98,0.61,0
5/21/2021,5:39:41 PM,<None>,,-17.54021 °,-149.89978 °,757.6,58932.5,54767.3,36.15,54311.0,35599,84.2,22.9,22.9,11.76,-441.9,129.0,8.12,0.56,0
5/21/2021,5:40:16 PM,<None>,,-17.54024 °,-149.89980 °,757.7,59696.8,55521.2,36.72,55064.1,36089,84.1,23.4,23.4,11.77,-442.2,124.8,7.84,0.07,0
5/21/2021,5:40:45 PM,<None>,,-17.54028 °,-149.89978 °,757.6,59770.4,55587.4,36.77,55129.5,36132,84.1,23.4,23.4,11.77,-442.3,123.2,7.74,0.06,0
5/21/2021,5:41:06 PM,<None>,,-17.54027 °,-149.89977 °,757.6,59677.9,55478.3,36.68,55018.4,36061,84.1,23.3,23.3,11.73,-440.6,125.1,7.86,0.13,0
5/21/2021,5:41:23 PM,<None>,,-17.54027 °,-149.89975 °,757.6,59017.4,54882.9,36.24,54430.3,35674,84.1,23.0,23.0,11.75,-441.5,125.8,7.93,0.19,0
5/21/2021,5:41:40 PM,<None>,,-17.54027 °,-149.89975 °,757.6,54595.5,51025.5,33.39,50636.1,33167,83.6,21.0,21.0,11.84,-445.5,119.2,7.66,0.53,0
5/21/2021,5:42:58 PM,<None>,,-17.54024 °,-149.89972 °,757.6,57819.7,53884.6,35.50,53454.5,35025,83.9,22.5,22.5,11.79,-443.3,125.4,7.95,0.72,0
5/21/2021,5:43:19 PM,<None>,,-17.54022 °,-149.89970 °,757.7,57046.1,53373.1,35.13,52972.8,34692,83.5,22.3,22.3,11.85,-445.8,116.6,7.43,0.67,0
5/21/2021,5:43:23 PM,<None>,,-17.54023 °,-149.89970 °,757.7,56334.7,52830.8,34.73,52449.6,34340,83.2,22.0,22.0,11.88,-447.2,117.2,7.50,0.61,0
5/21/2021,5:43:29 PM,<None>,,-17.54023 °,-149.89970 °,757.7,55924.4,52405.6,34.42,52022.6,34064,83.3,21.8,21.8,11.85,-445.6,121.7,7.80,0.59,0
5/21/2021,5:44:04 PM,<None>,,-17.54018 °,-149.89967 °,757.6,58549.4,54446.9,35.92,53997.7,35390,84.1,22.8,22.8,11.74,-440.8,127.5,8.05,1.14,0
5/21/2021,5:44:59 PM,<None>,,-17.54024 °,-149.89966 °,757.7,57155.7,53393.1,35.14,52982.6,34706,83.6,22.3,22.3,11.84,-445.4,120.7,7.68,0.86,0
5/21/2021,5:45:15 PM,<None>,,-17.54025 °,-149.89966 °,757.6,56332.2,52803.8,34.71,52419.9,34322,83.3,22.0,22.0,11.88,-447.1,121.4,7.77,0.56,0
5/21/2021,5:45:25 PM,<None>,,-17.54026 °,-149.89967 °,757.6,57864.1,54045.2,35.62,53628.4,35129,83.7,22.6,22.6,11.83,-445.1,124.3,7.89,0.44,0
5/21/2021,5:45:38 PM,<None>,,-17.54028 °,-149.89967 °,757.6,57863.0,54111.2,35.68,53702.2,35172,83.5,22.7,22.7,11.86,-446.6,124.0,7.88,0.48,0
5/21/2021,5:45:53 PM,<None>,,-17.54030 °,-149.89969 °,757.7,58107.3,54239.8,35.77,53817.6,35256,83.7,22.7,22.7,11.80,-443.5,124.9,7.92,0.33,0
5/21/2021,5:46:17 PM,<None>,,-17.54031 °,-149.89970 °,757.7,59623.4,55433.0,36.65,54974.1,36031,84.1,23.3,23.3,11.72,-439.9,122.3,7.69,0.16,0
5/21/2021,5:46:31 PM,<None>,,-17.54032 °,-149.89972 °,757.7,59634.3,55498.2,36.70,55045.7,36074,84.0,23.4,23.4,11.73,-440.4,123.5,7.77,0.01,0
5/21/2021,5:46:58 PM,<None>,,-17.54035 °,-149.89973 °,757.6,59736.6,55609.1,36.78,55157.6,36146,84.0,23.4,23.4,11.78,-442.6,122.4,7.69,0.03,0
