CowTagID,Tide,Day_Night,SeepCode,Date,M_C,HIX,MarineHumic_Like,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,Lignin_Like
CSEEP,High,Night,C,8/9/2021,0.932930358,0.828228827,0.015941573,0.017087634,0.065364568,0.051513856,0.078877896
CSEEP,Mid,Night,D,8/9/2021,1.052802378,1.352640195,0.016527168,0.015698262,0.024223435,0.004018766,0.036586038
CSEEP,Low,Day,E,8/9/2021,0.996724034,1.242134063,0.0196825,0.019747191,0.046505646,0.039776609,0.058596012
C1,High,Day,NA,8/9/2021,1.456839083,1.025186201,0.022270027,0.015286538,0.064168747,0.124826237,0.017423717
C2,High,Day,NA,8/9/2021,1.698394628,1.130932691,0.025764517,0.015169924,0.06283024,0.122995781,0.028232023
C3,High,Day,NA,8/9/2021,2.202718779,1.095745052,0.027980473,0.012702699,0.070294673,0.143140982,0.036892478
C4,High,Day,NA,8/9/2021,1.520841131,0.952465267,0.017945096,0.011799455,0.057744048,0.110619065,0.016179014
C5,High,Day,NA,8/9/2021,0.973499345,1.634855214,0.02194684,0.022544278,0.046163883,0.069683716,0.021960544
C6,High,Day,NA,8/9/2021,1.454751803,0.893511662,0.010468598,0.00719614,0.037517109,0.068410235,0.035950026
C7,High,Day,NA,8/9/2021,1.654983006,1.126514303,0.009722184,0.005874492,0.034037924,0.064843324,0.032693006
C8,High,Day,NA,8/9/2021,1.939118781,1.844056959,0.027096722,0.01397373,0.039340918,0.074998247,0.024015363
C9,High,Day,NA,8/9/2021,1.45824982,0.919004007,0.011878156,0.008145488,0.033301691,0.067307165,0.014498599
C10,High,Day,NA,8/9/2021,1.555222497,1.680526471,0.020625508,0.013262094,0.033714826,0.063496032,0.020083135
C11,High,Day,NA,8/9/2021,1.697842188,0.837211443,0.022719977,0.013381678,0.061477571,0.142505934,0.029293717
C12,High,Day,NA,8/9/2021,1.540224633,0.84380757,0.01732996,0.01125158,0.052552856,0.12912595,0.017884427
C13,High,Day,NA,8/9/2021,1.734690307,1.551069413,0.039242098,0.022621962,0.055773007,0.119786188,0.032873918
C14,High,Day,NA,8/9/2021,2.064977023,0.832488568,0.021071067,0.01020402,0.060535303,0.145435648,0.027079214
C15,High,Day,NA,8/9/2021,2.08705195,1.081288209,0.019716285,0.009446955,0.038662495,0.119416764,0
C16,High,Day,NA,8/9/2021,1.889553822,1.814194983,0.02580305,0.013655631,0.026355581,0.087699877,0.011402757
C17,High,Day,NA,8/9/2021,1.681510825,1.777235432,0.031167956,0.018535686,0.030720546,0.096272871,0.019760866
C18,High,Day,NA,8/9/2021,1.528996937,1.352085124,0.018001377,0.011773324,0.024545572,0.08890736,0.014685447
C19,High,Day,NA,8/9/2021,1.712136285,1.330779083,0.018176046,0.010616004,0.027607974,0.098633627,0.004654522
C20,High,Day,NA,8/9/2021,1.594623748,1.450774189,0.021823499,0.013685673,0.026937769,0.091010511,0.002415642
CSEEP,Mid,Day,F,8/9/2021,1.138369854,0.761453144,0.01970637,0.017311044,0.088908658,0.02475958,0.123248187
CSPRING,High,Day,NA,8/9/2021,2.129185893,1.827709795,0.077419166,0.036360924,0.060373121,0.159860407,0.06047257
CSEEP,High,Day,G,8/9/2021,0.94103674,0.989583732,0.012330992,0.013103624,0.047397185,0.03975238,0.048720631
CSEEP,High,Night,K,8/10/2021,1.231309738,0.961182423,0.023475062,0.019065115,0.060200181,0.03566088,0.100600436
CSEEP,Low,Night,I,8/9/2021,0.889248162,0.914909295,0.018134688,0.020393281,0.083448085,0.057490341,0.098460646
CSEEP,Mid,Day,H,8/9/2021,1.016868929,0.844586269,0.018167522,0.017866139,0.067002836,0.043303671,0.088987822
CSEEP,Mid,Night,L,8/10/2021,1.061942934,1.136567985,0.026768781,0.025207363,0.066334387,0.055316076,0.078394299
C20,High,Night,NA,8/9/2021,0.988432127,13.00549861,0.015147398,0.015324672,0,0,0
CSEEP,Mid,Night,J,8/9/2021,1.184431568,1.06397904,0.022984832,0.019405792,0.055583815,0.051226283,0.066747499
C19,High,Night,NA,8/9/2021,1.236032538,1.112293318,0.010686506,0.008645813,0.017222339,0.020750023,0.017605539
CSEEP,Low,Day,M,8/10/2021,1.85098884,2.799359557,0.058757869,0.031744043,0.036863618,0.067953889,0.015471036
C1,High,Night,NA,8/9/2021,1.171972337,1.431553252,0.019334968,0.016497803,0.023627086,0.028249944,0.044302548
C2,High,Night,NA,8/9/2021,1.196536267,1.103149958,0.017386785,0.01453093,0.03174076,0.035519587,0.059916246
C3,High,Night,NA,8/9/2021,1.16125778,1.257666738,0.01302918,0.011219886,0.020940073,0.022198775,0.032037706
C4,High,Night,NA,8/9/2021,1.234668861,0.95713001,0.022802199,0.018468271,0.058444268,0.051806659,0.067319708
C5,High,Night,NA,8/9/2021,1.279039205,0.957105752,0.014566727,0.011388804,0.03674966,0.025571969,0.030486767
C6,High,Night,NA,8/9/2021,1.401753541,0.808702614,0.010023478,0.007150671,0.022613975,0.01691481,0.035939619
C8,High,Night,NA,8/9/2021,1.268656147,1.217249387,0.014337828,0.011301587,0.024516544,0.019256152,0.045868808
C9,High,Night,NA,8/9/2021,1.22109431,1.353918776,0.012299935,0.010072879,0.018595052,0.016929215,0.031629913
C10,High,Night,NA,8/9/2021,1.070411728,1.362377425,0.016048845,0.014993152,0.034012387,0.023170583,0.036872776
C11,High,Night,NA,8/9/2021,1.125432568,1.247953063,0.010500572,0.009330254,0.018233763,0.016068014,0.026650974
C12,High,Night,NA,8/9/2021,1.409364361,1.218172597,0.011314305,0.008027949,0.016072964,0.011095542,0.03616115
C13,High,Night,NA,8/9/2021,1.052219675,1.903463037,0.01542606,0.014660493,0.022115558,0.013730342,0.015698313
C16,High,Night,NA,8/9/2021,1.148007773,1.242483503,0.014364025,0.012512133,0.019960594,0.019362165,0.029078272
C17,High,Night,NA,8/9/2021,1.065980376,1.915385954,0.016384768,0.01537061,0.017415372,0.016955649,0.009523182
C18,High,Night,NA,8/9/2021,1.09694295,1.345504304,0.01023412,0.009329674,0.016327368,0.013629059,0.016043707
V1,High,Night,NA,8/5/2021,1.52837812,0.935062012,0.017017791,0.011134542,0.028069819,0.01878488,0.02184783
V2,High,Night,NA,8/5/2021,1.228273596,1.289987532,0.010751201,0.008753099,0.015103301,0.016072899,0.013723082
V3,High,Night,NA,8/5/2021,1.625867931,0.981796367,0.011666954,0.007175831,0.0214734,0.05343416,0.009010092
V4,High,Night,NA,8/5/2021,1.409983858,0.919738621,0.010426799,0.007394978,0.01772721,0.016268222,0.03453515
V5,High,Night,NA,8/5/2021,1.494864704,0.44089073,0.011973572,0.008009803,0.03786053,0.028092611,0.042929329
V6,High,Night,NA,8/5/2021,1.373676741,0.987275461,0.013468593,0.009804776,0.021956547,0.016679308,0.035594724
V7,High,Night,NA,8/5/2021,1.552680305,1.019145321,0.014831362,0.009552103,0.024843472,0.051916732,0.034044839
V8,High,Night,NA,8/5/2021,1.346476089,0.638370804,0.01353706,0.010053695,0.037892793,0.03264814,0.048315636
V9,High,Night,NA,8/5/2021,1.271206005,1.0095658,0.011560786,0.009094345,0.017050919,0.021583978,0.030448666
V10,High,Night,NA,8/5/2021,1.417113161,0.880459996,0.011381773,0.008031661,0.016985235,0.026951035,0.015420618
V11,High,Night,NA,8/5/2021,1.41454055,0.85612735,0.011716139,0.008282646,0.017209305,0.024493523,0.021257588
V12,High,Night,NA,8/5/2021,1.220547419,1.051097717,0.009897489,0.008109058,0.01533125,0.018396842,0.016046046
VSEEP,Low,Night,A,8/4/2021,1.24062286,0.590968416,0.020538271,0.016554806,0.092004154,0.115255157,0.129671081
V14,High,Night,NA,8/5/2021,1.247032385,1.180063499,0.012385933,0.009932327,0.018903598,0.021629762,0.012156475
V15,High,Night,NA,8/5/2021,1.197810136,0.955374895,0.009400002,0.007847656,0.017893266,0.015976805,0
V16,High,Night,NA,8/5/2021,1.447438117,0.808535059,0.009795584,0.006767532,0.01595428,0.019412742,0.037096285
V17,High,Night,NA,8/5/2021,1.315364979,0.914628223,0.012763835,0.009703645,0.019711691,0.026145082,0.019068129
V18,High,Night,NA,8/5/2021,1.517061889,0.814512272,0.013641037,0.008991747,0.019875169,0.021383666,0.021091682
V19,High,Night,NA,8/5/2021,1.41895702,0.8691698,0.010022835,0.007063523,0.015183383,0.017624914,0.02115109
V20,High,Night,NA,8/5/2021,1.300730194,1.055198812,0.011787135,0.009061937,0.017133361,0.022222069,0.023419443
VSEEP,High,Night,B,8/4/2021,1.232210549,0.636240959,0.016250699,0.013188249,0.071753492,0.042096001,0.087730948
VSEEP,Mid,Night,C,8/5/2021,1.179425794,0.611799309,0.014965175,0.012688526,0.042175185,0.073793202,0.050843366
V1,Low,Day,NA,8/8/2021,1.589781489,0.637080298,0.023092398,0.014525517,0.09829493,0.208416064,0.052009506
V2,Low,Day,NA,8/8/2021,2.175318354,0.815434825,0.028232375,0.012978503,0.080698238,0.186930911,0.026435201
V3,Low,Day,NA,8/8/2021,2.090177389,0.867233513,0.022133335,0.010589214,0.069997599,0.162614428,0.032374726
V4,Low,Day,NA,8/8/2021,2.008484641,0.754337072,0.020210937,0.010062779,0.070038984,0.162528997,0.037496624
V5,Low,Day,NA,8/8/2021,2.371370349,0.553699175,0.028198568,0.011891254,0.120762872,0.265873203,0.049064649
V6,Low,Day,NA,8/8/2021,1.802952156,0.606004684,0.02052147,0.011382149,0.091840431,0.221335883,0.03677976
V7,Low,Day,NA,8/8/2021,1.740258828,0.625425117,0.024268715,0.013945463,0.102023191,0.257089965,0.057045333
V8,Low,Day,NA,8/8/2021,2.213546012,0.711166276,0.028271018,0.012771823,0.088466478,0.230293006,0.045692044
V9,Low,Day,NA,8/8/2021,2.160899504,0.580085007,0.022209779,0.010278025,0.075029142,0.205488379,0.023875145
V10,Low,Day,NA,8/8/2021,2.490372694,0.811943713,0.024584742,0.009871913,0.062482747,0.172610166,0.045644016
V11,Low,Day,NA,8/8/2021,1.56160307,0.614996815,0.017949841,0.011494496,0.075195109,0.203995812,0.050176744
V12,Low,Day,NA,8/8/2021,1.554339948,0.57176654,0.017441521,0.011221175,0.0768341,0.207021455,0.03147445
V13,Low,Day,NA,8/8/2021,2.000585438,0.600674017,0.021697327,0.010845489,0.069755626,0.196349479,0.048355273
V14,Low,Day,NA,8/8/2021,1.833160885,0.634885885,0.024000458,0.01309239,0.080197719,0.218383297,0.029484757
V15,Low,Day,NA,8/8/2021,2.079560419,0.605945325,0.021620408,0.010396624,0.068866392,0.202194234,0.021082981
V16,Low,Day,NA,8/8/2021,2.771005698,0.811665332,0.030256433,0.010918936,0.073149533,0.202283118,0.041785414
V17,Low,Day,NA,8/8/2021,2.472934781,0.660344616,0.031598477,0.012777723,0.079111752,0.240831641,0.039809398
V18,Low,Day,NA,8/8/2021,1.821678089,0.481185134,0.018688717,0.010259067,0.079158781,0.225824577,0.039984258
V19,Low,Day,NA,8/8/2021,1.781130751,0.597586142,0.019468076,0.010930178,0.073283634,0.22299129,0.032750595
V20,Low,Day,NA,8/8/2021,2.264358254,0.583608704,0.025299781,0.011173047,0.072470915,0.216782414,0.031003672
VSEEP,Low,Day,D,8/5/2021,1.122091425,1.089745732,0.01826277,0.016275653,0.037677104,0.044851785,0.046655552
VSEEP,Mid,Day,E,8/5/2021,1.119891841,0.98953413,0.013652507,0.012190915,0.033283475,0.019369924,0.041457822
VSEEP,High,Day,F,8/5/2021,1.112584302,0.705555007,0.014986192,0.013469713,0.083147047,0.057296468,0.123388441
V1,High,Day,NA,8/5/2021,1.185099417,0.907290817,0.010681489,0.009013159,0.019077179,0.016755293,0.031499208
V2,High,Day,NA,8/5/2021,1.297024168,1.116117878,0.01196997,0.009228795,0.019125993,0.02426196,0.024518042
V3,High,Day,NA,8/5/2021,1.389091122,1.162769077,0.01320969,0.009509592,0.024943247,0.048753233,0.027068341
V4,High,Day,NA,8/5/2021,1.224375862,0.957502472,0.008112201,0.006625581,0.011803696,0.017178169,0.032217266
V5,High,Day,NA,8/5/2021,1.258483424,0.621678871,0.00856146,0.006802997,0.032830997,0.028985754,0.06608151
V6,High,Day,NA,8/5/2021,1.158443115,0.974673795,0.011309068,0.009762299,0.024520971,0.028481338,0.039907185
V7,High,Day,NA,8/5/2021,1.367860544,1.331952877,0.013709869,0.010022856,0.021462661,0.044869412,0.027912181
V8,High,Day,NA,8/5/2021,1.196935539,0.956642163,0.009580852,0.008004485,0.017713338,0.021027037,0.014568106
VSEEP,Mid,Day,G,8/6/2021,1.715520358,0.602443225,0.022905334,0.013351829,0.058838899,0.218519677,0.040213512
V10,High,Day,NA,8/5/2021,1.404851927,0.956533091,0.009320394,0.006634432,0.016456198,0.024559381,0.034827562
V11,High,Day,NA,8/5/2021,1.249524726,0.79708875,0.009337141,0.007472554,0.021933344,0.023632386,0.039605683
V12,High,Day,NA,8/5/2021,1.276082203,1.010332664,0.007687157,0.00602403,0.016634224,0.018109768,0.029234285
V13,High,Day,NA,8/5/2021,1.145337574,1.151916363,0.009905373,0.008648431,0.015352756,0.019141076,0.016892954
V14,High,Day,NA,8/5/2021,1.26817516,1.362954781,0.010880284,0.008579481,0.017483767,0.020414453,0.028217149
V15,High,Day,NA,8/5/2021,1.259699972,1.216317761,0.010613314,0.008425271,0.016015341,0.01689377,0.021501793
V16,High,Day,NA,8/5/2021,1.323041074,0.840076132,0.007631433,0.0057681,0.01450784,0.018363288,0.017124867
V17,High,Day,NA,8/5/2021,1.188061897,1.14229981,0.011265667,0.00948239,0.017551844,0.025572462,0.027471622
V18,High,Day,NA,8/5/2021,1.135419816,1.150810638,0.008210556,0.007231295,0.015240176,0.021049432,0.035155424
V19,High,Day,NA,8/5/2021,1.345040311,0.933006592,0.007657529,0.005693159,0.014386242,0.01558453,0.001731917
V20,High,Day,NA,8/5/2021,1.264505195,1.145796317,0.010889194,0.008611427,0.016409964,0.01870176,0.02493983
VSEEP,Low,Night,H,8/6/2021,1.995887904,2.029799863,0.025656848,0.012854854,0.018434385,0.044163766,0.039399165
V1,Low,Night,NA,8/8/2021,2.754412529,2.128530089,0.035972555,0.013059974,0.039321432,0.070947096,0.028518597
V2,Low,Night,NA,8/8/2021,1.615649189,1.337764548,0.03640255,0.022531222,0.054071251,0.111169588,0.039611635
V3,Low,Night,NA,8/8/2021,2.637901428,1.221763919,0.034331476,0.013014693,0.053474632,0.094369739,0.029406257
V4,Low,Night,NA,8/8/2021,1.617243898,1.349167743,0.024082185,0.01489088,0.046861748,0.084944537,0.017607641
V5,Low,Night,NA,8/8/2021,1.39766217,1.440397641,0.016105247,0.01152299,0.021805307,0.031946161,0.032471409
V6,Low,Night,NA,8/8/2021,2.12866465,1.195996653,0.027879767,0.013097303,0.059585795,0.10243097,0.046302986
V7,Low,Night,NA,8/8/2021,1.811538995,1.190012818,0.022473074,0.012405515,0.051235693,0.103948914,0.039610815
V8,Low,Night,NA,8/8/2021,1.821153334,1.483817535,0.025616251,0.01406595,0.052907474,0.078594957,0.034501472
V9,Low,Night,NA,8/8/2021,1.77736362,0.964804811,0.018882694,0.01062399,0.04895334,0.104505399,0.015384526
V10,Low,Night,NA,8/8/2021,1.346338697,1.639078577,0.0126503,0.009396076,0.017216239,0.037621888,0.029029551
V11,Low,Night,NA,8/8/2021,1.813311761,1.179346188,0.022315176,0.01230631,0.051296246,0.089774296,0.032995772
V12,Low,Night,NA,8/8/2021,1.856272241,1.227312444,0.019330354,0.010413534,0.038158053,0.077249426,0.038640175
V13,Low,Night,NA,8/8/2021,1.984553449,1.61107823,0.022200206,0.011186499,0.039340803,0.056020791,0.034427794
V14,Low,Night,NA,8/8/2021,2.630905795,2.207360452,0.034820762,0.013235275,0.037008302,0.059677157,0.045290901
V15,Low,Night,NA,8/8/2021,2.076372629,1.544297526,0.019104125,0.009200721,0.031616288,0.049575765,0.027178196
V16,Low,Night,NA,8/8/2021,1.878607236,1.724238393,0.023615941,0.012570984,0.04527247,0.066873275,0.037033074
V17,Low,Night,NA,8/8/2021,1.896457809,1.715735979,0.024051568,0.012682364,0.03780173,0.062886604,0.03046699
V18,Low,Night,NA,8/8/2021,2.231542494,1.466412087,0.027790545,0.012453514,0.042225202,0.082021269,0.034285325
V19,Low,Night,NA,8/8/2021,2.022733439,1.174045422,0.016943714,0.008376642,0.037981879,0.087997918,0.031175297
V20,Low,Night,NA,8/8/2021,1.906718677,1.327944744,0.024221976,0.012703487,0.041743717,0.089989611,0.013251867
VSEEP,Low,Day,I,8/8/2021,1.847050053,1.153078248,0.047551595,0.025744617,0.085316275,0.218288265,0.079533536
VSEEP,Low,Night,J,8/8/2021,1.627021638,2.302147814,0.053969258,0.033170584,0.065352268,0.111834813,0.05415009
V1,Low,Day,NA,8/6/2021,1.400191622,1.072341541,0.00788777,0.00563335,0.009355282,0.012991505,0.026389112
V2,Low,Day,NA,8/6/2021,1.744711483,0.573887086,0.015861776,0.009091346,0.058838051,0.197535192,0.046059377
V3,Low,Day,NA,8/6/2021,2.068590173,0.476692118,0.016821611,0.00813192,0.054496422,0.194597325,0.041174587
V4,Low,Day,NA,8/6/2021,1.410055099,0.821767533,0.006230967,0.004418953,0.013598767,0.007150657,0
V5,Low,Day,NA,8/6/2021,1.400620664,0.663889765,0.007476344,0.00533788,0.024604189,0.016642854,0.019777034
V6,Low,Day,NA,8/6/2021,1.488436675,1.058939713,0.008757901,0.005883959,0.013169584,0.004520669,0.024743734
V7,Low,Day,NA,8/6/2021,2.052307962,0.453994651,0.019892115,0.009692559,0.066651265,0.214861286,0.014147095
V8,Low,Day,NA,8/6/2021,1.33518977,0.978150884,0.009152343,0.006854713,0.018092596,0.004904895,0.022073475
V9,Low,Day,NA,8/6/2021,1.850859378,0.55671294,0.017570695,0.009493263,0.054027823,0.17632724,0.035520534
V10,Low,Day,NA,8/6/2021,1.349388181,0.855556731,0.0067023,0.004966918,0.01344582,0.005800807,0.001616076
V11,Low,Day,NA,8/6/2021,1.330857056,1.042656963,0.006613251,0.004969167,0.009935946,0.003863342,0.009645288
V12,Low,Day,NA,8/6/2021,1.806669196,0.453892882,0.018386372,0.010176945,0.063500307,0.213719739,0.032875127
V13,Low,Day,NA,8/6/2021,1.402060522,1.175143245,0.008638926,0.006161592,0.010699065,0,0.02407684
V14,Low,Day,NA,8/6/2021,1.217055826,1.235279863,0.008403645,0.006904897,0.011854015,0,0.019309564
V15,Low,Day,NA,8/6/2021,1.32171311,0.957228196,0.008299649,0.006279463,0.018063388,0.011543927,0.029205378
V16,Low,Day,NA,8/6/2021,1.512440982,0.808689897,0.007699868,0.005091021,0.015445394,0.016228205,0.012258182
V17,Low,Day,NA,8/6/2021,1.244976915,1.210505305,0.008229436,0.006610111,0.011135991,0.000468437,0.009232639
V18,Low,Day,NA,8/6/2021,1.471335048,0.9814641,0.008680683,0.005899868,0.012401301,0.020703745,0.023302061
V19,Low,Day,NA,8/6/2021,1.514519979,0.902033858,0.007364835,0.004862818,0.011502241,0.011653405,0.011009082
V20,Low,Day,NA,8/6/2021,1.340645078,1.065102528,0.009542482,0.007117828,0.014255655,0.018653614,0.02767878
Offshore,NA,NA,NA,8/10/2021,3.615176375,0.944566925,0.012432685,0.003439026,0.032404908,0.069225254,0.014778204
