Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,Notes
8/8/2021,V16,NA,Low,Day,07:30:00,36.59,8.047359459915647,27.21,2362.729916,Bottle
8/8/2021,V10,NA,Low,Day,07:30:00,36.28,8.037549314461437,27.2,2363.270608,Bottle
8/8/2021,V9,NA,Low,Day,07:30:00,36.38,8.034552341814091,27.34,2372.370084,Bottle
8/8/2021,V14,NA,Low,Day,07:30:00,36.35,8.023751142472964,27.05,2382.973932,Bottle
8/8/2021,V18,NA,Low,Day,07:30:00,36.57,8.026428758568187,27.23,2365.935001,Bottle
8/8/2021,V11,NA,Low,Day,07:30:00,36.53,8.030577582844687,27.24,2360.976262,Bottle
8/8/2021,V4,NA,Low,Day,07:30:00,36.53,8.044605893390623,27.39,2362.8142,Bottle
8/8/2021,V2,NA,Low,Day,07:30:00,36.34,8.014612800858368,27.36,2365.03174,Bottle
8/8/2021,V7,NA,Low,Day,07:30:00,36.48,8.01812400991907,27.08,2371.959181,Bottle
8/8/2021,V3,NA,Low,Day,07:30:00,36.52,8.029250889241016,27.27,2380.835159,Bottle
8/8/2021,V1,NA,Low,Day,07:30:00,36.52,8.014044470618156,27.26,2377.029989,Bottle
8/8/2021,VSEEP,I,Low,Day,07:30:00,34.06,7.894333337752248,26.55,2570.178384,Bottle
8/8/2021,V12,NA,Low,Night,18:30:00,36.28,8.058605818414089,28.35,2343.323603,Bottle
8/8/2021,V10,NA,Low,Night,18:30:00,36.33,8.073040793958357,28.21,2320.743508,Bottle
8/8/2021,V11,NA,Low,Night,18:30:00,36.12,8.052527751697522,28.25,2348.0235,Bottle
8/8/2021,V6,NA,Low,Night,18:30:00,36.31,8.059424218921583,28.52,2337.707262,Bottle
8/8/2021,V8,NA,Low,Night,18:30:00,36.04,8.054498219191254,28.31,2351.074413,Bottle
8/8/2021,V9,NA,Low,Night,18:30:00,36.47,8.069159867538033,28.44,2357.074012,Bottle
8/8/2021,V7,NA,Low,Night,18:30:00,36.26,8.077050143338493,28.34,2337.447513,Bottle
8/8/2021,V4,NA,Low,Night,18:30:00,36.4,8.070973742992923,28.4,2325.926623,Bottle
8/8/2021,V5,NA,Low,Night,18:30:00,36.23,8.061337258650727,28.28,2360.225293,Bottle
8/8/2021,V17,NA,Low,Night,18:30:00,37.05,8.075424710541673,28.31,2355.897908,Bottle
8/8/2021,V18,NA,Low,Night,18:30:00,36.13,8.06491147928196,28.3,2358.4544,Bottle
8/8/2021,V2,NA,Low,Night,18:30:00,36.09,8.05555174101946,28.47,2346.594909,Bottle
8/8/2021,V15,NA,Low,Night,18:30:00,36.15,8.062723405526853,28.17,2340.611163,Bottle
8/8/2021,V13,NA,Low,Night,18:30:00,36.52,8.070331980923482,28.36,2332.892346,Bottle
8/8/2021,V1,NA,Low,Night,18:30:00,36.22,8.065993322640152,28.44,2339.396163,Bottle
8/8/2021,V14,NA,Low,Night,18:30:00,36.28,8.093790972368412,28.32,2316.281087,Bottle
8/8/2021,V3,NA,Low,Night,18:30:00,36.35,8.069751700432176,28.31,2345.266347,Bottle
8/8/2021,V19,NA,Low,Night,18:30:00,36.52,8.09779178367134,27.95,2317.13505,Bottle
8/8/2021,V16,NA,Low,Night,18:30:00,36.4,8.088842451372694,28.16,2340.260957,Bottle
8/9/2021,C11,NA,High,Night,01:10:00,36.25,7.991038799858116,27.84,2333.809095,NA
8/9/2021,C13,NA,High,Night,01:10:00,36.23,7.9293172226649835,27.37,2332.698308,NA
8/9/2021,C4,NA,High,Night,01:10:00,36.04,7.971014831621915,28.22,2332.179498,NA
8/9/2021,C6,NA,High,Night,01:10:00,36.27,8.032833184158036,27.33,2349.526066,NA
8/9/2021,C1,NA,High,Night,01:10:00,36.17,7.946312442860403,27.2,2362.354403,NA
8/9/2021,C20,NA,High,Night,01:10:00,36.03,7.958090590304035,27.4,2358.638678,NA
