#,Date-Time (French Polynesia Standard Time),Ch: 1 - Temperature   (°C ),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,Stopped,End of File
115,02/26/2023 18:24:00,28.35,16.72,,,,,
116,02/26/2023 18:26:00,28.35,12.58,,,,,
117,02/26/2023 18:28:00,28.31,9.59,,,,,
118,02/26/2023 18:30:00,28.27,7.32,,,,,
119,02/26/2023 18:32:00,28.18,5.69,,,,,
120,02/26/2023 18:34:00,28.18,3.87,,,,,
121,02/26/2023 18:36:00,28.18,2.27,,,,,
122,02/26/2023 18:38:00,28.10,1.13,,,,,
123,02/26/2023 18:40:00,28.10,0.45,,,,,
124,02/26/2023 18:42:00,28.05,0.00,,,,,
125,02/26/2023 18:44:00,28.01,0.00,,,,,
126,02/26/2023 18:46:00,27.97,0.00,,,,,
127,02/26/2023 18:48:00,27.93,0.00,,,,,
128,02/26/2023 18:50:00,27.84,0.00,,,,,
129,02/26/2023 18:52:00,27.80,0.00,,,,,
130,02/26/2023 18:54:00,27.80,0.00,,,,,
131,02/26/2023 18:56:00,27.80,14.41,,,,,
132,02/26/2023 18:58:00,27.75,13.72,,,,,
133,02/26/2023 19:00:00,27.71,13.50,,,,,
134,02/26/2023 19:02:00,27.67,13.70,,,,,
135,02/26/2023 19:04:00,27.63,13.24,,,,,
136,02/26/2023 19:06:00,27.58,13.24,,,,,
137,02/26/2023 19:08:00,27.54,13.01,,,,,
138,02/26/2023 19:10:00,27.54,12.78,,,,,
139,02/26/2023 19:12:00,27.50,12.78,,,,,
140,02/26/2023 19:14:00,27.50,12.78,,,,,
141,02/26/2023 19:16:00,27.45,12.78,,,,,
142,02/26/2023 19:18:00,27.37,12.56,,,,,
143,02/26/2023 19:20:00,27.45,12.56,,,,,
144,02/26/2023 19:22:00,27.41,12.56,,,,,
145,02/26/2023 19:24:00,27.37,12.56,,,,,
146,02/26/2023 19:26:00,27.37,12.56,,,,,
147,02/26/2023 19:28:00,27.28,12.56,,,,,
148,02/26/2023 19:30:00,27.24,12.56,,,,,
149,02/26/2023 19:32:00,27.28,12.56,,,,,
150,02/26/2023 19:34:00,27.32,12.56,,,,,
151,02/26/2023 19:36:00,27.28,12.56,,,,,
152,02/26/2023 19:38:00,27.24,12.33,,,,,
153,02/26/2023 19:40:00,27.20,12.56,,,,,
154,02/26/2023 19:42:00,27.15,12.56,,,,,
155,02/26/2023 19:44:00,27.15,12.33,,,,,
156,02/26/2023 19:46:00,27.11,12.33,,,,,
157,02/26/2023 19:48:00,27.11,12.56,,,,,
158,02/26/2023 19:50:00,27.07,12.33,,,,,
159,02/26/2023 19:52:00,27.11,12.33,,,,,
160,02/26/2023 19:54:00,27.15,12.56,,,,,
161,02/26/2023 19:56:00,27.07,12.33,,,,,
162,02/26/2023 19:58:00,27.07,12.33,,,,,
163,02/26/2023 20:00:00,27.07,12.33,,,,,
164,02/26/2023 20:02:00,27.07,12.33,,,,,
165,02/26/2023 20:04:00,27.07,12.33,,,,,
166,02/26/2023 20:06:00,26.98,12.56,,,,,
167,02/26/2023 20:08:00,26.98,12.33,,,,,
168,02/26/2023 20:10:00,26.98,12.33,,,,,
169,02/26/2023 20:12:00,26.94,12.33,,,,,
170,02/26/2023 20:14:00,26.98,12.33,,,,,
171,02/26/2023 20:16:00,26.98,12.33,,,,,
172,02/26/2023 20:18:00,26.90,12.33,,,,,
173,02/26/2023 20:20:00,26.90,12.33,,,,,
174,02/26/2023 20:22:00,26.85,12.33,,,,,
175,02/26/2023 20:24:00,26.90,12.56,,,,,
176,02/26/2023 20:26:00,26.90,12.33,,,,,
177,02/26/2023 20:28:00,26.90,12.33,,,,,
178,02/26/2023 20:30:00,26.90,12.33,,,,,
179,02/26/2023 20:32:00,26.90,12.33,,,,,
180,02/26/2023 20:34:00,26.90,12.56,,,,,
181,02/26/2023 20:36:00,26.85,12.33,,,,,
182,02/26/2023 20:38:00,26.90,12.33,,,,,
183,02/26/2023 20:40:00,26.90,12.33,,,,,
184,02/26/2023 20:42:00,26.90,12.33,,,,,
185,02/26/2023 20:44:00,26.90,12.33,,,,,
186,02/26/2023 20:46:00,26.81,12.33,,,,,
187,02/26/2023 20:48:00,26.90,12.33,,,,,
188,02/26/2023 20:50:00,26.81,12.33,,,,,
189,02/26/2023 20:52:00,26.90,12.33,,,,,
190,02/26/2023 20:54:00,26.85,12.33,,,,,
191,02/26/2023 20:56:00,26.81,12.33,,,,,
192,02/26/2023 20:58:00,26.85,12.33,,,,,
193,02/26/2023 21:00:00,26.81,12.33,,,,,
194,02/26/2023 21:02:00,26.85,12.33,,,,,
195,02/26/2023 21:04:00,26.85,12.33,,,,,
196,02/26/2023 21:06:00,26.85,12.33,,,,,
197,02/26/2023 21:08:00,26.85,12.33,,,,,
198,02/26/2023 21:10:00,26.85,12.33,,,,,
199,02/26/2023 21:12:00,26.85,12.33,,,,,
200,02/26/2023 21:14:00,26.90,12.33,,,,,
201,02/26/2023 21:16:00,26.90,0.00,,,,,
202,02/26/2023 21:18:00,26.90,0.00,,,,,
203,02/26/2023 21:20:00,26.90,0.00,,,,,
204,02/26/2023 21:22:00,26.90,0.00,,,,,
205,02/26/2023 21:24:00,26.90,0.00,,,,,
206,02/26/2023 21:26:00,26.90,0.00,,,,,
207,02/26/2023 21:28:00,26.90,0.00,,,,,
208,02/26/2023 21:30:00,26.85,0.00,,,,,
209,02/26/2023 21:32:00,26.90,0.00,,,,,
210,02/26/2023 21:34:00,26.90,0.00,,,,,
211,02/26/2023 21:36:00,26.85,0.00,,,,,
212,02/26/2023 21:38:00,26.90,0.00,,,,,
213,02/26/2023 21:40:00,26.94,0.00,,,,,
214,02/26/2023 21:42:00,26.94,0.00,,,,,
215,02/26/2023 21:44:00,26.90,0.00,,,,,
216,02/26/2023 21:46:00,26.90,0.00,,,,,
217,02/26/2023 21:48:00,26.90,0.00,,,,,
218,02/26/2023 21:50:00,26.94,0.00,,,,,
219,02/26/2023 21:52:00,26.85,0.00,,,,,
220,02/26/2023 21:54:00,26.94,0.00,,,,,
221,02/26/2023 21:56:00,26.94,0.00,,,,,
222,02/26/2023 21:58:00,26.94,0.00,,,,,
223,02/26/2023 22:00:00,26.90,0.00,,,,,
224,02/26/2023 22:02:00,26.90,0.00,,,,,
225,02/26/2023 22:04:00,26.94,0.00,,,,,
226,02/26/2023 22:06:00,26.90,0.00,,,,,
227,02/26/2023 22:08:00,26.90,0.00,,,,,
228,02/26/2023 22:10:00,26.90,0.00,,,,,
229,02/26/2023 22:12:00,26.90,0.00,,,,,
230,02/26/2023 22:14:00,26.85,0.00,,,,,
231,02/26/2023 22:16:00,26.90,0.00,,,,,
232,02/26/2023 22:18:00,26.85,0.00,,,,,
233,02/26/2023 22:20:00,26.85,0.00,,,,,
234,02/26/2023 22:22:00,26.85,0.00,,,,,
235,02/26/2023 22:24:00,26.85,0.00,,,,,
236,02/26/2023 22:26:00,26.81,0.00,,,,,
237,02/26/2023 22:28:00,26.81,0.00,,,,,
238,02/26/2023 22:30:00,26.77,0.00,,,,,
239,02/26/2023 22:32:00,26.85,0.00,,,,,
240,02/26/2023 22:34:00,26.85,0.00,,,,,
241,02/26/2023 22:36:00,26.85,0.00,,,,,
242,02/26/2023 22:38:00,26.85,0.00,,,,,
243,02/26/2023 22:40:00,26.81,0.00,,,,,
244,02/26/2023 22:42:00,26.81,0.00,,,,,
245,02/26/2023 22:44:00,26.77,0.00,,,,,
246,02/26/2023 22:46:00,26.77,0.00,,,,,
247,02/26/2023 22:48:00,26.77,0.00,,,,,
248,02/26/2023 22:50:00,26.81,0.00,,,,,
249,02/26/2023 22:52:00,26.85,0.00,,,,,
250,02/26/2023 22:54:00,26.85,0.00,,,,,
251,02/26/2023 22:56:00,26.81,0.00,,,,,
252,02/26/2023 22:58:00,26.81,0.00,,,,,
253,02/26/2023 23:00:00,26.81,0.00,,,,,
254,02/26/2023 23:02:00,26.77,0.00,,,,,
255,02/26/2023 23:04:00,26.77,0.00,,,,,
256,02/26/2023 23:06:00,26.77,0.00,,,,,
257,02/26/2023 23:08:00,26.72,0.00,,,,,
258,02/26/2023 23:10:00,26.68,0.00,,,,,
259,02/26/2023 23:12:00,26.68,0.00,,,,,
260,02/26/2023 23:14:00,26.68,0.00,,,,,
261,02/26/2023 23:16:00,26.64,0.00,,,,,
262,02/26/2023 23:18:00,26.64,0.00,,,,,
263,02/26/2023 23:20:00,26.68,0.00,,,,,
264,02/26/2023 23:22:00,26.68,0.00,,,,,
265,02/26/2023 23:24:00,26.68,0.00,,,,,
266,02/26/2023 23:26:00,26.64,0.00,,,,,
267,02/26/2023 23:28:00,26.68,0.00,,,,,
268,02/26/2023 23:30:00,26.68,0.00,,,,,
269,02/26/2023 23:32:00,26.72,0.00,,,,,
270,02/26/2023 23:34:00,26.68,0.00,,,,,
271,02/26/2023 23:36:00,26.68,0.00,,,,,
272,02/26/2023 23:38:00,26.68,0.00,,,,,
273,02/26/2023 23:40:00,26.64,0.00,,,,,
274,02/26/2023 23:42:00,26.68,0.00,,,,,
275,02/26/2023 23:44:00,26.72,0.00,,,,,
276,02/26/2023 23:46:00,26.68,0.00,,,,,
277,02/26/2023 23:48:00,26.72,0.00,,,,,
278,02/26/2023 23:50:00,26.77,0.00,,,,,
279,02/26/2023 23:52:00,26.72,0.00,,,,,
280,02/26/2023 23:54:00,26.68,0.00,,,,,
281,02/26/2023 23:56:00,26.68,0.00,,,,,
282,02/26/2023 23:58:00,26.77,0.00,,,,,
283,02/27/2023 00:00:00,26.72,0.00,,,,,
284,02/27/2023 00:02:00,26.77,0.00,,,,,
285,02/27/2023 00:04:00,26.77,0.00,,,,,
286,02/27/2023 00:06:00,26.81,0.00,,,,,
287,02/27/2023 00:08:00,26.81,0.00,,,,,
288,02/27/2023 00:10:00,26.81,0.00,,,,,
289,02/27/2023 00:12:00,26.90,0.00,,,,,
290,02/27/2023 00:14:00,26.94,0.00,,,,,
291,02/27/2023 00:16:00,26.94,0.00,,,,,
292,02/27/2023 00:18:00,26.98,0.00,,,,,
293,02/27/2023 00:20:00,26.98,0.00,,,,,
294,02/27/2023 00:22:00,26.98,0.00,,,,,
295,02/27/2023 00:24:00,27.02,0.00,,,,,
296,02/27/2023 00:26:00,27.02,0.00,,,,,
297,02/27/2023 00:28:00,27.07,0.00,,,,,
298,02/27/2023 00:30:00,27.11,0.00,,,,,
299,02/27/2023 00:32:00,27.11,0.00,,,,,
300,02/27/2023 00:34:00,27.11,0.00,,,,,
301,02/27/2023 00:36:00,27.07,0.00,,,,,
302,02/27/2023 00:38:00,27.11,0.00,,,,,
303,02/27/2023 00:40:00,27.20,0.00,,,,,
304,02/27/2023 00:42:00,27.15,0.00,,,,,
305,02/27/2023 00:44:00,27.20,0.00,,,,,
306,02/27/2023 00:46:00,27.20,0.00,,,,,
307,02/27/2023 00:48:00,27.20,0.00,,,,,
308,02/27/2023 00:50:00,27.24,0.00,,,,,
309,02/27/2023 00:52:00,27.28,0.00,,,,,
310,02/27/2023 00:54:00,27.24,0.00,,,,,
311,02/27/2023 00:56:00,27.15,0.00,,,,,
312,02/27/2023 00:58:00,27.20,0.00,,,,,
313,02/27/2023 01:00:00,27.20,0.00,,,,,
314,02/27/2023 01:02:00,27.20,0.00,,,,,
315,02/27/2023 01:04:00,27.11,0.00,,,,,
316,02/27/2023 01:06:00,27.07,0.00,,,,,
317,02/27/2023 01:08:00,27.11,0.00,,,,,
318,02/27/2023 01:10:00,27.15,0.00,,,,,
319,02/27/2023 01:12:00,27.15,0.00,,,,,
320,02/27/2023 01:14:00,27.11,0.00,,,,,
321,02/27/2023 01:16:00,27.11,0.00,,,,,
322,02/27/2023 01:18:00,27.15,0.00,,,,,
323,02/27/2023 01:20:00,27.11,0.00,,,,,
324,02/27/2023 01:22:00,27.11,0.00,,,,,
325,02/27/2023 01:24:00,27.15,0.00,,,,,
326,02/27/2023 01:26:00,27.07,0.00,,,,,
327,02/27/2023 01:28:00,27.07,0.00,,,,,
328,02/27/2023 01:30:00,27.07,0.00,,,,,
329,02/27/2023 01:32:00,27.11,0.00,,,,,
330,02/27/2023 01:34:00,27.20,0.00,,,,,
331,02/27/2023 01:36:00,27.20,0.00,,,,,
332,02/27/2023 01:38:00,27.24,0.00,,,,,
333,02/27/2023 01:40:00,27.20,0.00,,,,,
334,02/27/2023 01:42:00,27.20,0.00,,,,,
335,02/27/2023 01:44:00,27.20,0.00,,,,,
336,02/27/2023 01:46:00,27.20,0.00,,,,,
337,02/27/2023 01:48:00,27.15,0.00,,,,,
338,02/27/2023 01:50:00,27.15,0.00,,,,,
339,02/27/2023 01:52:00,27.15,0.00,,,,,
340,02/27/2023 01:54:00,27.15,0.00,,,,,
341,02/27/2023 01:56:00,27.15,0.00,,,,,
342,02/27/2023 01:58:00,27.11,0.00,,,,,
343,02/27/2023 02:00:00,27.07,0.00,,,,,
344,02/27/2023 02:02:00,27.07,0.00,,,,,
345,02/27/2023 02:04:00,27.02,0.00,,,,,
346,02/27/2023 02:06:00,27.07,0.00,,,,,
347,02/27/2023 02:08:00,27.07,0.00,,,,,
348,02/27/2023 02:10:00,27.11,0.00,,,,,
349,02/27/2023 02:12:00,27.11,0.00,,,,,
350,02/27/2023 02:14:00,27.07,0.00,,,,,
351,02/27/2023 02:16:00,27.02,0.00,,,,,
352,02/27/2023 02:18:00,27.02,0.00,,,,,
353,02/27/2023 02:20:00,27.02,0.00,,,,,
354,02/27/2023 02:22:00,26.94,0.00,,,,,
355,02/27/2023 02:24:00,26.98,0.00,,,,,
356,02/27/2023 02:26:00,26.98,0.00,,,,,
357,02/27/2023 02:28:00,26.98,0.00,,,,,
358,02/27/2023 02:30:00,27.02,0.00,,,,,
359,02/27/2023 02:32:00,27.02,0.00,,,,,
360,02/27/2023 02:34:00,27.02,0.00,,,,,
361,02/27/2023 02:36:00,26.98,0.00,,,,,
362,02/27/2023 02:38:00,27.02,0.00,,,,,
363,02/27/2023 02:40:00,27.02,0.00,,,,,
364,02/27/2023 02:42:00,27.02,0.00,,,,,
365,02/27/2023 02:44:00,27.07,0.00,,,,,
366,02/27/2023 02:46:00,27.02,0.00,,,,,
367,02/27/2023 02:48:00,27.02,0.00,,,,,
368,02/27/2023 02:50:00,26.98,0.00,,,,,
369,02/27/2023 02:52:00,27.02,0.00,,,,,
370,02/27/2023 02:54:00,27.02,0.00,,,,,
371,02/27/2023 02:56:00,27.07,0.00,,,,,
372,02/27/2023 02:58:00,26.94,0.00,,,,,
373,02/27/2023 03:00:00,26.98,0.00,,,,,
374,02/27/2023 03:02:00,26.98,0.00,,,,,
375,02/27/2023 03:04:00,26.90,0.00,,,,,
376,02/27/2023 03:06:00,26.90,0.00,,,,,
377,02/27/2023 03:08:00,26.98,0.00,,,,,
378,02/27/2023 03:10:00,26.90,0.00,,,,,
379,02/27/2023 03:12:00,26.90,0.00,,,,,
380,02/27/2023 03:14:00,26.85,0.00,,,,,
381,02/27/2023 03:16:00,26.90,0.00,,,,,
382,02/27/2023 03:18:00,26.90,0.00,,,,,
383,02/27/2023 03:20:00,26.81,0.00,,,,,
384,02/27/2023 03:22:00,26.81,0.00,,,,,
385,02/27/2023 03:24:00,26.81,0.00,,,,,
386,02/27/2023 03:26:00,26.81,0.00,,,,,
387,02/27/2023 03:28:00,26.81,0.00,,,,,
388,02/27/2023 03:30:00,26.81,0.00,,,,,
389,02/27/2023 03:32:00,26.77,0.00,,,,,
390,02/27/2023 03:34:00,26.81,0.00,,,,,
391,02/27/2023 03:36:00,26.81,0.00,,,,,
392,02/27/2023 03:38:00,26.81,0.00,,,,,
393,02/27/2023 03:40:00,26.77,0.00,,,,,
394,02/27/2023 03:42:00,26.77,0.00,,,,,
395,02/27/2023 03:44:00,26.77,0.00,,,,,
396,02/27/2023 03:46:00,26.72,0.00,,,,,
397,02/27/2023 03:48:00,26.68,0.00,,,,,
398,02/27/2023 03:50:00,26.68,0.00,,,,,
399,02/27/2023 03:52:00,26.60,0.00,,,,,
400,02/27/2023 03:54:00,26.60,0.00,,,,,
401,02/27/2023 03:56:00,26.60,0.00,,,,,
402,02/27/2023 03:58:00,26.60,0.00,,,,,
403,02/27/2023 04:00:00,26.51,0.00,,,,,
404,02/27/2023 04:02:00,26.51,0.00,,,,,
405,02/27/2023 04:04:00,26.55,0.00,,,,,
406,02/27/2023 04:06:00,26.55,0.00,,,,,
407,02/27/2023 04:08:00,26.55,0.00,,,,,
408,02/27/2023 04:10:00,26.55,0.00,,,,,
409,02/27/2023 04:12:00,26.51,0.00,,,,,
410,02/27/2023 04:14:00,26.55,0.00,,,,,
411,02/27/2023 04:16:00,26.51,0.00,,,,,
412,02/27/2023 04:18:00,26.60,0.00,,,,,
413,02/27/2023 04:20:00,26.60,0.00,,,,,
414,02/27/2023 04:22:00,26.64,0.00,,,,,
415,02/27/2023 04:24:00,26.64,0.00,,,,,
416,02/27/2023 04:26:00,26.72,0.00,,,,,
417,02/27/2023 04:28:00,26.68,0.00,,,,,
418,02/27/2023 04:30:00,26.72,0.00,,,,,
419,02/27/2023 04:32:00,26.77,0.00,,,,,
420,02/27/2023 04:34:00,26.81,0.00,,,,,
421,02/27/2023 04:36:00,26.81,0.00,,,,,
422,02/27/2023 04:38:00,26.85,0.00,,,,,
423,02/27/2023 04:40:00,26.85,0.00,,,,,
424,02/27/2023 04:42:00,26.81,0.00,,,,,
425,02/27/2023 04:44:00,26.85,0.00,,,,,
426,02/27/2023 04:46:00,26.90,0.00,,,,,
427,02/27/2023 04:48:00,26.90,0.00,,,,,
428,02/27/2023 04:50:00,26.85,0.00,,,,,
429,02/27/2023 04:52:00,26.85,0.00,,,,,
430,02/27/2023 04:54:00,26.90,0.00,,,,,
431,02/27/2023 04:56:00,26.85,0.00,,,,,
432,02/27/2023 04:58:00,26.90,0.00,,,,,
433,02/27/2023 05:00:00,26.85,0.00,,,,,
434,02/27/2023 05:02:00,26.85,0.00,,,,,
435,02/27/2023 05:04:00,26.90,0.00,,,,,
436,02/27/2023 05:06:00,26.90,0.00,,,,,
437,02/27/2023 05:08:00,26.90,0.00,,,,,
438,02/27/2023 05:10:00,26.85,0.00,,,,,
439,02/27/2023 05:12:00,26.85,0.00,,,,,
440,02/27/2023 05:14:00,26.90,0.00,,,,,
441,02/27/2023 05:16:00,26.90,0.00,,,,,
442,02/27/2023 05:18:00,26.90,0.00,,,,,
443,02/27/2023 05:20:00,26.90,0.00,,,,,
444,02/27/2023 05:22:00,26.85,0.00,,,,,
445,02/27/2023 05:24:00,26.90,0.00,,,,,
446,02/27/2023 05:26:00,26.90,0.00,,,,,
447,02/27/2023 05:28:00,26.85,0.00,,,,,
448,02/27/2023 05:30:00,26.90,0.00,,,,,
449,02/27/2023 05:32:00,26.90,0.00,,,,,
450,02/27/2023 05:34:00,26.90,0.00,,,,,
451,02/27/2023 05:36:00,26.90,0.00,,,,,
452,02/27/2023 05:38:00,26.90,0.00,,,,,
453,02/27/2023 05:40:00,26.94,0.00,,,,,
454,02/27/2023 05:42:00,26.90,0.00,,,,,
455,02/27/2023 05:44:00,27.02,0.00,,,,,
456,02/27/2023 05:46:00,26.98,0.00,,,,,
457,02/27/2023 05:48:00,27.02,0.00,,,,,
458,02/27/2023 05:50:00,27.02,0.22,,,,,
459,02/27/2023 05:52:00,26.98,0.68,,,,,
460,02/27/2023 05:54:00,26.98,0.91,,,,,
461,02/27/2023 05:56:00,27.02,1.36,,,,,
462,02/27/2023 05:58:00,27.07,1.82,,,,,
463,02/27/2023 06:00:00,27.02,2.50,,,,,
464,02/27/2023 06:02:00,27.07,3.19,,,,,
465,02/27/2023 06:04:00,27.07,4.32,,,,,
466,02/27/2023 06:06:00,26.98,5.69,,,,,
467,02/27/2023 06:08:00,26.98,6.86,,,,,
468,02/27/2023 06:10:00,26.98,8.45,,,,,
469,02/27/2023 06:12:00,26.98,9.62,,,,,
470,02/27/2023 06:14:00,26.98,12.36,,,,,
471,02/27/2023 06:16:00,27.02,13.95,,,,,
472,02/27/2023 06:18:00,27.07,15.35,,,,,
473,02/27/2023 06:20:00,27.07,19.25,,,,,
474,02/27/2023 06:22:00,27.07,22.44,,,,,
475,02/27/2023 06:24:00,27.02,24.95,,,,,
476,02/27/2023 06:26:00,27.07,26.80,,,,,
477,02/27/2023 06:28:00,27.07,27.25,,,,,
478,02/27/2023 06:30:00,27.11,28.39,,,,,
479,02/27/2023 06:32:00,27.11,30.93,,,,,
480,02/27/2023 06:34:00,27.11,40.10,,,,,
481,02/27/2023 06:36:00,27.07,46.28,,,,,
482,02/27/2023 06:38:00,27.07,52.94,,,,,
483,02/27/2023 06:40:00,27.11,60.74,,,,,
484,02/27/2023 06:42:00,27.11,62.12,,,,,
485,02/27/2023 06:44:00,27.11,69.70,,,,,
486,02/27/2023 06:46:00,27.20,85.28,,,,,
487,02/27/2023 06:48:00,27.20,90.72,,,,,
488,02/27/2023 06:50:00,27.15,102.68,,,,,
489,02/27/2023 06:52:00,27.20,109.60,,,,,
490,02/27/2023 06:54:00,27.20,115.52,,,,,
491,02/27/2023 06:56:00,27.20,121.48,,,,,
492,02/27/2023 06:58:00,27.15,131.24,,,,,
493,02/27/2023 07:00:00,27.15,144.00,,,,,
494,02/27/2023 07:02:00,27.11,151.40,,,,,
