"","DateTime","Battery","Heading","Pitch","Roll","Pressure","Temperature","AnalogIn1","AnalogIn2","Speed.1.0.150m.","Dir.1.0.150m.","Speed.2.0.200m.","Dir.2.0.200m.","Speed.3.0.250m.","Dir.3.0.250m.","Speed.4.0.300m.","Dir.4.0.300m.","Speed.5.0.350m.","Dir.5.0.350m.","Speed.6.0.400m.","Dir.6.0.400m.","Speed.7.0.450m.","Dir.7.0.450m.","Speed.8.0.500m.","Dir.8.0.500m.","Speed.9.0.550m.","Dir.9.0.550m.","Speed.10.0.600m.","Dir.10.0.600m.","Speed.11.0.650m.","Dir.11.0.650m.","Speed.12.0.700m.","Dir.12.0.700m.","Speed.13.0.750m.","Dir.13.0.750m.","Speed.14.0.800m.","Dir.14.0.800m.","Speed.15.0.850m.","Dir.15.0.850m.","Speed.16.0.900m.","Dir.16.0.900m.","Speed.17.0.950m.","Dir.17.0.950m.","X"
"26",2022-03-29 14:26:00,11.9,139.2,3.3,5.5,2.524,28.98,0,0,0.002,243.43,0.002,243.43,0.002,243.43,0.001,315,0.003,270,0.004,303.69,0.004,326.31,0.006,308.66,0.009,305.54,0.009,305.54,0.01,306.87,0.01,315,0.012,329.04,0.012,318.37,0.012,329.04,0.013,327.53,0.012,335.56,NA
"27",2022-03-29 14:28:00,11.9,139.3,3.3,5.5,2.52,28.99,0,0,0.023,74.74,0.021,75.96,0.021,75.96,0.019,81.03,0.017,76.76,0.015,70.35,0.013,63.43,0.013,57.53,0.014,45,0.013,57.53,0.013,51.34,0.014,50.71,0.014,50.71,0.016,55.3,0.017,59.04,0.021,62.24,0.021,48.81,NA
"28",2022-03-29 14:30:00,11.9,139.1,3.3,5.5,2.522,28.99,0,0,0.022,76.61,0.025,78.23,0.024,77.74,0.022,76.61,0.023,77.2,0.022,79.7,0.02,75.26,0.017,66.37,0.019,64.8,0.021,52.59,0.019,51.34,0.021,48.81,0.019,47.12,0.021,45,0.024,45,0.025,41.82,0.021,52.59,NA
"29",2022-03-29 14:32:00,11.9,139.1,3.3,5.5,2.52,29,0,0,0.004,33.69,0.002,63.43,0,0,0.002,333.43,0.001,0,0.002,296.57,0.002,296.57,0.002,0,0.004,345.96,0.008,352.87,0.007,326.31,0.004,326.31,0,0,0.004,45,0.008,50.19,0.006,350.54,0.008,345.96,NA
"30",2022-03-29 14:34:00,11.9,139.2,3.3,5.5,2.517,29.01,0,0,0.007,296.57,0.006,270,0.005,258.69,0.008,255.96,0.009,263.66,0.005,258.69,0.007,254.05,0.007,254.05,0.005,270,0.007,285.95,0.007,285.95,0.007,303.69,0.008,284.04,0.009,305.54,0.007,303.69,0.009,324.46,0.007,333.43,NA
"31",2022-03-29 14:36:00,11.9,139.2,3.3,5.5,2.511,29.02,0,0,0.011,243.43,0.013,237.53,0.013,231.34,0.013,231.34,0.013,237.53,0.013,251.57,0.008,270,0.008,284.04,0.006,308.66,0.009,296.57,0.006,350.54,0.006,308.66,0.006,300.96,0.007,303.69,0.006,308.66,0.007,285.95,0.007,278.13,NA
"32",2022-03-29 14:38:00,11.9,139.2,3.3,5.5,2.509,29.01,0,0,0.008,60.26,0.009,63.43,0.011,52.13,0.016,45,0.016,37.57,0.014,33.69,0.016,45,0.017,40.24,0.017,32.74,0.014,33.69,0.017,32.74,0.014,39.29,0.014,36.03,0.014,39.29,0.014,39.29,0.013,51.34,0.013,41.99,NA
"33",2022-03-29 14:40:00,11.9,139.1,3.3,5.5,2.516,29.01,0,0,0.001,315,0.002,333.43,0.004,345.96,0.006,350.54,0.004,14.04,0.004,26.57,0.007,26.57,0.007,15.95,0.006,350.54,0.006,350.54,0.008,345.96,0.007,0,0.006,350.54,0.009,0,0.009,347.47,0.012,355.24,0.014,347.91,NA
"34",2022-03-29 14:42:00,11.9,139.3,3.3,5.5,2.512,29.01,0,0,0.011,48.81,0.011,48.81,0.011,48.81,0.011,41.19,0.011,48.81,0.011,48.81,0.011,52.13,0.011,45,0.016,60.26,0.016,50.19,0.016,52.43,0.016,50.19,0.016,50.19,0.017,45,0.016,45,0.017,35.54,0.02,36.87,NA
"35",2022-03-29 14:44:00,11.9,139.2,3.3,5.5,2.507,29.01,0,0,0.003,270,0.002,243.43,0.002,243.43,0,0,0.001,90,0.005,53.13,0.006,38.66,0.009,54.46,0.008,23.2,0.008,45,0.009,32.01,0.01,23.96,0.013,28.61,0.014,24.78,0.014,30.26,0.014,45,0.013,28.61,NA
"36",2022-03-29 14:46:00,11.9,139.2,3.3,5.5,2.527,29.01,0,0,0.007,15.95,0.01,23.96,0.011,33.69,0.011,41.19,0.011,41.19,0.009,32.01,0.01,23.96,0.01,16.7,0.008,14.04,0.01,16.7,0.01,16.7,0.008,29.74,0.008,29.74,0.011,26.57,0.013,22.62,0.012,19.98,0.014,17.1,NA
"37",2022-03-29 14:48:00,11.9,139.2,3.3,5.5,2.508,29.01,0,0,0.008,29.74,0.01,23.96,0.011,26.57,0.007,26.57,0.006,38.66,0.008,50.19,0.009,32.01,0.008,50.19,0.005,53.13,0.008,50.19,0.009,54.46,0.008,39.81,0.011,41.19,0.011,41.19,0.014,36.03,0.013,41.99,0.014,39.29,NA
"38",2022-03-29 14:50:00,11.9,139.3,3.3,5.5,2.507,29.01,0,0,0.007,26.57,0.008,39.81,0.008,39.81,0.008,45,0.011,41.19,0.011,37.87,0.011,37.87,0.014,30.26,0.013,28.61,0.013,41.99,0.014,36.03,0.011,41.19,0.011,41.19,0.008,60.26,0.008,50.19,0.011,48.81,0.009,63.43,NA
"39",2022-03-29 14:52:00,11.9,139.3,3.3,5.4,2.506,29.02,0,0,0.006,251.57,0.006,279.46,0.003,270,0.001,315,0.001,315,0.004,296.57,0.006,279.46,0.008,293.2,0.006,270,0.007,278.13,0.007,278.13,0.006,279.46,0.006,270,0.005,233.13,0.006,225,0.01,240.95,0.012,239.04,NA
"40",2022-03-29 14:54:00,11.9,139.2,3.3,5.5,2.499,29.02,0,0,0,0,0.001,315,0.002,333.43,0.002,333.43,0,0,0,0,0.002,63.43,0.001,90,0,0,0.002,63.43,0.005,53.13,0.006,38.66,0.006,59.04,0.008,75.96,0.005,68.2,0.01,60.95,0.008,50.19,NA
"41",2022-03-29 14:56:00,11.9,139.2,3.3,5.5,2.498,29.03,0,0,0.006,198.43,0.008,187.13,0.006,198.43,0.006,189.46,0.006,210.96,0.005,201.8,0.004,236.31,0.004,255.96,0.002,243.43,0.002,206.57,0.002,243.43,0,0,0.001,315,0.003,270,0.001,0,0.004,90,0.005,143.13,NA
"42",2022-03-29 14:58:00,11.9,139.2,3.3,5.4,2.487,29.05,0,0,0.004,146.31,0.004,135,0.004,104.04,0.004,104.04,0.005,101.31,0.005,101.31,0.003,90,0.003,90,0.001,0,0.002,63.43,0.003,18.43,0.004,33.69,0.002,63.43,0.001,0,0.002,63.43,0.001,0,0.007,8.13,NA
"43",2022-03-29 15:00:00,11.9,139.3,3.3,5.4,2.49,29.06,0,0,0.008,225,0.008,225,0.006,210.96,0.006,225,0.007,236.31,0.007,243.43,0.007,243.43,0.007,254.05,0.007,243.43,0.005,258.69,0.003,270,0.003,315,0.003,270,0.003,270,0.005,270,0.002,296.57,0.003,161.57,NA
"44",2022-03-29 15:02:00,11.9,139.2,3.3,5.4,2.49,29.06,0,0,0.003,251.57,0.004,270,0.001,315,0.002,333.43,0.005,53.13,0.006,38.66,0.007,26.57,0.007,8.13,0.006,350.54,0.008,0,0.009,0,0.007,8.13,0.007,8.13,0.007,8.13,0.004,14.04,0.005,348.69,0.009,341.57,NA
"45",2022-03-29 15:04:00,11.9,139.2,3.3,5.4,2.491,29.07,0,0,0.007,326.31,0.006,300.96,0.006,329.04,0.004,326.31,0.008,345.96,0.009,347.47,0.008,352.87,0.008,352.87,0.008,352.87,0.009,0,0.011,0,0.011,0,0.011,0,0.008,7.13,0.008,7.13,0.007,8.13,0.007,15.95,NA
"46",2022-03-29 15:06:00,11.9,139.3,3.3,5.4,2.49,29.08,0,0,0.005,68.2,0.004,104.04,0.004,135,0.005,111.8,0.005,111.8,0.008,90,0.007,98.13,0.009,71.57,0.009,63.43,0.009,54.46,0.009,63.43,0.009,63.43,0.008,75.96,0.009,71.57,0.008,60.26,0.006,71.57,0.005,68.2,NA
