DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),ODO (% Sat),ODO (mg/L),pH,pH (mV),Turbidity (FNU),TSS (mg/L),Temp (°C),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
3/31/2022,7:57:11 AM,Cabral,PitProfile_8AM_0342,0.00000 °,0.00000 °,758.9,87.1,5.62,7.84,-66.9,0.86,0,28.1,55199.3,52111.4,34.21,51777.2,33872,18.1,21.8,21.8,0.152,0.105,0.022
3/31/2022,7:57:12 AM,Cabral,PitProfile_8AM_0343,0.00000 °,0.00000 °,758.8,86.8,5.61,7.84,-67,0.86,0,28.1,55216.4,52121,34.22,51786,33879,18.1,21.8,21.8,0.139,0.096,-0.003
3/31/2022,7:57:13 AM,Cabral,PitProfile_8AM_0344,0.00000 °,0.00000 °,758.8,86.5,5.59,7.85,-67.1,0.85,0,28.1,55239.9,52131.4,34.22,51794.9,33885,18.1,21.8,21.8,0.126,0.087,0.022
3/31/2022,7:57:14 AM,Cabral,PitProfile_8AM_0345,0.00000 °,0.00000 °,758.8,86.3,5.57,7.85,-67.3,0.84,0,28.1,55261.5,52131.3,34.22,51792.4,33885,18.1,21.8,21.8,0.1,0.069,0.029
3/31/2022,7:57:15 AM,Cabral,PitProfile_8AM_0346,0.00000 °,0.00000 °,758.8,86.2,5.56,7.85,-67.4,0.83,0,28.2,55275.1,52130.4,34.22,51789.8,33885,18.1,21.8,21.8,0.082,0.057,0.028
3/31/2022,7:57:16 AM,Cabral,PitProfile_8AM_0347,0.00000 °,0.00000 °,758.8,86,5.55,7.86,-67.6,0.83,0,28.2,55300,52120,34.21,51775.4,33878,18.1,21.7,21.7,0.06,0.041,0.028
3/31/2022,7:57:17 AM,Cabral,PitProfile_8AM_0348,0.00000 °,0.00000 °,758.9,85.8,5.53,7.86,-67.7,0.83,0,28.2,55319.2,52119.3,34.21,51772.5,33878,18.1,21.7,21.7,0.049,0.034,0.027
3/31/2022,7:57:18 AM,Cabral,PitProfile_8AM_0349,0.00000 °,0.00000 °,758.9,85.7,5.53,7.86,-67.8,0.81,0,28.2,55334.2,52124.6,34.22,51776.6,33881,18.1,21.7,21.7,0.044,0.031,0.034
3/31/2022,7:57:19 AM,Cabral,PitProfile_8AM_0350,0.00000 °,0.00000 °,758.8,85.6,5.52,7.86,-68,0.83,0,28.2,55354.7,52136.5,34.22,51787.6,33889,18.1,21.7,21.7,0.039,0.027,0.017
3/31/2022,7:57:20 AM,Cabral,PitProfile_8AM_0351,0.00000 °,0.00000 °,758.8,85.5,5.51,7.86,-68.1,0.83,0,28.2,55369.2,52145.4,34.23,51795.9,33895,18.1,21.7,21.7,0.037,0.025,0.031
3/31/2022,7:57:21 AM,Cabral,PitProfile_8AM_0352,0.00000 °,0.00000 °,758.8,85.4,5.51,7.87,-68.2,0.82,0,28.2,55377.6,52148.6,34.23,51798.4,33897,18.1,21.7,21.7,0.036,0.025,0.019
3/31/2022,7:57:22 AM,Cabral,PitProfile_8AM_0353,-17.51636 °,-149.91380 °,758.9,85.4,5.5,7.87,-68.4,0.82,0,28.2,55391.8,52155.8,34.24,51804.9,33901,18.1,21.7,21.7,0.042,0.029,0.037
3/31/2022,7:57:23 AM,Cabral,PitProfile_8AM_0354,-17.51644 °,-149.91385 °,758.8,85.3,5.5,7.87,-68.5,0.82,0,28.3,55400.5,52160.4,34.24,51809,33904,18.1,21.7,21.7,0.05,0.034,0.077
3/31/2022,7:57:24 AM,Cabral,PitProfile_8AM_0355,-17.51646 °,-149.91386 °,758.8,85.3,5.5,7.87,-68.6,0.83,0,28.3,55409.1,52165.9,34.25,51814.1,33908,18,21.7,21.7,0.061,0.042,0.128
3/31/2022,7:57:25 AM,Cabral,PitProfile_8AM_0356,-17.51647 °,-149.91386 °,758.8,85.3,5.49,7.88,-68.8,0.84,0,28.3,55419.2,52172.4,34.25,51820.2,33912,18,21.7,21.7,0.097,0.066,0.209
3/31/2022,7:57:26 AM,Cabral,PitProfile_8AM_0357,-17.51647 °,-149.91386 °,758.9,85.2,5.49,7.88,-69,0.81,0,28.3,55425.6,52177.1,34.25,51824.7,33915,18,21.7,21.7,0.128,0.088,0.249
3/31/2022,7:57:27 AM,Cabral,PitProfile_8AM_0358,-17.51647 °,-149.91388 °,758.9,85.2,5.49,7.88,-69,0.81,0,28.3,55431.4,52183.4,34.26,51831.1,33919,18,21.8,21.8,0.158,0.109,0.261
3/31/2022,7:57:28 AM,Cabral,PitProfile_8AM_0359,-17.51648 °,-149.91388 °,758.9,85.2,5.49,7.88,-69.3,0.84,0,28.3,55437.7,52190.3,34.26,51838.1,33924,18,21.8,21.8,0.207,0.142,0.264
3/31/2022,7:57:29 AM,Cabral,PitProfile_8AM_0360,-17.51648 °,-149.91388 °,758.9,85.1,5.48,7.89,-69.4,0.83,0,28.3,55440.6,52193.9,34.27,51841.8,33926,18,21.8,21.8,0.243,0.167,0.293
3/31/2022,7:57:30 AM,Cabral,PitProfile_8AM_0361,-17.51648 °,-149.91388 °,758.9,85.1,5.48,7.89,-69.5,0.81,0,28.3,55440.2,52193,34.27,51840.8,33925,18,21.8,21.8,0.277,0.191,0.319
3/31/2022,7:57:31 AM,Cabral,PitProfile_8AM_0362,-17.51648 °,-149.91388 °,758.9,85.1,5.48,7.89,-69.6,0.81,0,28.3,55436.5,52189.7,34.26,51837.5,33923,18,21.8,21.8,0.33,0.227,0.335
3/31/2022,7:57:32 AM,Cabral,PitProfile_8AM_0363,-17.51648 °,-149.91388 °,758.9,85.1,5.48,7.89,-69.7,0.78,0,28.3,55433.5,52187.2,34.26,51835.1,33922,18,21.8,21.8,0.384,0.264,0.352
3/31/2022,7:57:33 AM,Cabral,PitProfile_8AM_0364,-17.51648 °,-149.91388 °,758.8,85.1,5.48,7.89,-69.8,0.78,0,28.3,55432.1,52187.2,34.26,51835.2,33922,18,21.8,21.8,0.413,0.284,0.362
3/31/2022,7:57:34 AM,Cabral,PitProfile_8AM_0365,-17.51648 °,-149.91388 °,758.8,85.1,5.48,7.89,-69.9,0.78,0,28.3,55429.7,52186.9,34.26,51835.2,33921,18,21.8,21.8,0.451,0.31,0.393
3/31/2022,7:57:35 AM,Cabral,PitProfile_8AM_0366,-17.51648 °,-149.91388 °,758.8,85.1,5.48,7.9,-70,0.79,0,28.3,55429.5,52186.8,34.26,51835.1,33921,18,21.8,21.8,0.481,0.331,0.413
3/31/2022,7:57:36 AM,Cabral,PitProfile_8AM_0367,-17.51647 °,-149.91388 °,758.8,85,5.48,7.9,-70.1,0.8,0,28.3,55428.6,52185.4,34.26,51833.6,33920,18,21.8,21.8,0.501,0.345,0.417
3/31/2022,7:57:37 AM,Cabral,PitProfile_8AM_0368,-17.51647 °,-149.91388 °,759,85,5.48,7.9,-70.2,0.78,0,28.3,55426.4,52182.4,34.26,51830.5,33919,18,21.8,21.8,0.537,0.369,0.448
3/31/2022,7:57:38 AM,Cabral,PitProfile_8AM_0369,-17.51647 °,-149.91388 °,759,85,5.48,7.9,-70.2,0.77,0,28.3,55425.3,52182.6,34.26,51830.9,33919,18,21.8,21.8,0.559,0.385,0.45
3/31/2022,7:57:39 AM,Cabral,PitProfile_8AM_0370,-17.51648 °,-149.91388 °,758.8,85,5.47,7.9,-70.3,0.79,0,28.3,55425.3,52182.4,34.26,51830.7,33919,18,21.8,21.8,0.579,0.399,0.447
3/31/2022,7:57:40 AM,Cabral,PitProfile_8AM_0371,-17.51647 °,-149.91388 °,758.8,85,5.47,7.9,-70.4,0.82,0,28.3,55426.3,52182,34.26,51830.1,33918,18,21.8,21.8,0.612,0.421,0.475
3/31/2022,7:57:41 AM,Cabral,PitProfile_8AM_0372,-17.51647 °,-149.91388 °,758.8,84.9,5.47,7.9,-70.4,0.81,0,28.3,55427.7,52182.7,34.26,51830.8,33919,18,21.8,21.8,0.631,0.434,0.511
3/31/2022,7:57:42 AM,Cabral,PitProfile_8AM_0373,-17.51647 °,-149.91388 °,758.8,84.9,5.47,7.9,-70.5,0.82,0,28.3,55428.5,52183.9,34.26,51832,33920,18,21.8,21.8,0.649,0.446,0.523
3/31/2022,7:57:43 AM,Cabral,PitProfile_8AM_0374,-17.51647 °,-149.91388 °,758.8,84.9,5.47,7.91,-70.5,0.81,0,28.3,55429.9,52184.6,34.26,51832.6,33920,18,21.8,21.8,0.678,0.467,0.546
3/31/2022,7:57:44 AM,Cabral,PitProfile_8AM_0375,-17.51648 °,-149.91388 °,759,84.8,5.46,7.91,-70.6,0.82,0,28.3,55430.5,52183.7,34.26,51831.5,33919,18,21.8,21.8,0.705,0.485,0.575
3/31/2022,7:57:45 AM,Cabral,PitProfile_8AM_0376,-17.51648 °,-149.91388 °,759,84.8,5.46,7.91,-70.6,0.82,0,28.3,55431.1,52183.9,34.26,51831.7,33920,18,21.8,21.8,0.723,0.498,0.582
3/31/2022,7:57:46 AM,Cabral,PitProfile_8AM_0377,-17.51648 °,-149.91388 °,758.8,84.8,5.46,7.91,-70.7,0.82,0,28.3,55432.5,52185.8,34.26,51833.6,33921,18,21.8,21.8,0.753,0.518,0.619
3/31/2022,7:57:47 AM,Cabral,PitProfile_8AM_0378,-17.51648 °,-149.91388 °,758.9,84.7,5.46,7.91,-70.7,0.83,0,28.3,55436.1,52186.4,34.26,51833.9,33921,18,21.8,21.8,0.784,0.54,0.667
3/31/2022,7:57:48 AM,Cabral,PitProfile_8AM_0379,-17.51648 °,-149.91388 °,758.9,84.7,5.46,7.91,-70.8,0.81,0,28.3,55438.9,52186.3,34.26,51833.5,33921,18,21.8,21.8,0.815,0.561,0.702
3/31/2022,7:57:49 AM,Cabral,PitProfile_8AM_0380,-17.51648 °,-149.91388 °,758.9,84.7,5.45,7.91,-70.8,0.82,0,28.3,55443.5,52186.6,34.26,51833.2,33921,18,21.8,21.8,0.877,0.603,0.762
3/31/2022,7:57:50 AM,Cabral,PitProfile_8AM_0381,-17.51648 °,-149.91388 °,758.9,84.6,5.45,7.91,-70.9,0.82,0,28.3,55445.7,52187.1,34.26,51833.6,33922,18,21.8,21.8,0.92,0.633,0.798
3/31/2022,7:57:51 AM,Cabral,PitProfile_8AM_0382,-17.51648 °,-149.91388 °,758.9,84.5,5.45,7.91,-70.9,0.82,0,28.3,55448.3,52188.2,34.26,51834.5,33922,18,21.8,21.8,0.965,0.664,0.834
3/31/2022,7:57:52 AM,Cabral,PitProfile_8AM_0383,-17.51648 °,-149.91388 °,758.8,84.5,5.44,7.91,-70.9,0.82,0,28.3,55451.1,52189,34.26,51835.1,33923,18,21.7,21.8,1.023,0.704,0.84
3/31/2022,7:57:53 AM,Cabral,PitProfile_8AM_0384,-17.51648 °,-149.91388 °,758.8,84.5,5.44,7.91,-71,0.82,0,28.3,55452.9,52190.4,34.26,51836.5,33924,18,21.7,21.8,1.061,0.73,0.869
3/31/2022,7:57:54 AM,Cabral,PitProfile_8AM_0385,-17.51648 °,-149.91388 °,758.9,84.4,5.44,7.91,-71,0.79,0,28.3,55458.4,52195.4,34.27,51841.4,33927,18,21.8,21.8,1.124,0.773,0.942
3/31/2022,7:57:55 AM,Cabral,PitProfile_8AM_0386,-17.51648 °,-149.91388 °,758.9,84.4,5.43,7.91,-71.1,0.82,0,28.3,55463.1,52198.9,34.27,51844.7,33929,18,21.8,21.8,1.179,0.811,0.982
3/31/2022,7:57:56 AM,Cabral,PitProfile_8AM_0387,-17.51648 °,-149.91388 °,758.9,84.4,5.43,7.92,-71.1,0.84,0,28.3,55466.6,52200.5,34.27,51846.2,33930,18,21.8,21.8,1.224,0.843,1.013
3/31/2022,7:57:57 AM,Cabral,PitProfile_8AM_0388,-17.51648 °,-149.91388 °,758.9,84.3,5.43,7.92,-71.2,0.85,0,28.3,55468.2,52200.7,34.27,51846.2,33930,18,21.8,21.8,1.301,0.895,1.058
3/31/2022,7:57:58 AM,Cabral,PitProfile_8AM_0389,-17.51648 °,-149.91388 °,758.9,84.3,5.43,7.92,-71.2,0.85,0,28.3,55468.9,52202,34.27,51847.5,33931,18,21.8,21.8,1.347,0.927,1.067
3/31/2022,7:57:59 AM,Cabral,PitProfile_8AM_0390,-17.51648 °,-149.91388 °,758.9,84.3,5.43,7.92,-71.2,0.83,0,28.3,55469.7,52203.1,34.27,51848.7,33932,18,21.8,21.8,1.385,0.953,1.088
3/31/2022,7:58:00 AM,Cabral,PitProfile_8AM_0391,-17.51648 °,-149.91388 °,758.9,84.2,5.42,7.92,-71.3,0.85,0,28.3,55471.2,52204.8,34.27,51850.4,33933,18,21.8,21.8,1.448,0.997,1.15
3/31/2022,7:58:01 AM,Cabral,PitProfile_8AM_0392,-17.51649 °,-149.91388 °,758.9,84.2,5.42,7.92,-71.4,0.84,0,28.3,55473.3,52206.2,34.27,51851.8,33934,18,21.8,21.8,1.501,1.033,1.243
3/31/2022,7:58:02 AM,Cabral,PitProfile_8AM_0393,-17.51649 °,-149.91388 °,758.9,84.2,5.42,7.92,-71.4,0.86,0,28.3,55474.4,52206.5,34.27,51851.9,33934,18,21.8,21.8,1.552,1.068,1.29
3/31/2022,7:58:03 AM,Cabral,PitProfile_8AM_0394,-17.51649 °,-149.91388 °,758.9,84.2,5.42,7.92,-71.4,0.89,0,28.3,55476.8,52206.6,34.27,51851.9,33934,18,21.8,21.8,1.624,1.118,1.294
3/31/2022,7:58:04 AM,Cabral,PitProfile_8AM_0395,-17.51649 °,-149.91388 °,758.9,84.1,5.42,7.92,-71.5,0.9,0,28.3,55476.3,52204.8,34.27,51849.8,33933,18,21.8,21.8,1.685,1.16,1.308
3/31/2022,7:58:05 AM,Cabral,PitProfile_8AM_0396,-17.51649 °,-149.91388 °,758.9,84.1,5.42,7.92,-71.5,0.89,0,28.3,55477.2,52204.8,34.27,51849.8,33933,18,21.8,21.8,1.726,1.188,1.381
3/31/2022,7:58:06 AM,Cabral,PitProfile_8AM_0397,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.92,-71.6,0.86,0,28.3,55476.4,52203.4,34.27,51848.3,33932,18,21.8,21.8,1.804,1.242,1.485
3/31/2022,7:58:07 AM,Cabral,PitProfile_8AM_0398,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.92,-71.6,0.88,0,28.3,55477.4,52203.6,34.27,51848.3,33932,18,21.8,21.8,1.877,1.291,1.543
3/31/2022,7:58:08 AM,Cabral,PitProfile_8AM_0399,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.92,-71.6,0.89,0,28.3,55478.5,52203.9,34.27,51848.6,33933,18,21.8,21.8,1.934,1.331,1.554
3/31/2022,7:58:09 AM,Cabral,PitProfile_8AM_0400,-17.51649 °,-149.91388 °,758.8,84.1,5.41,7.92,-71.7,0.9,0,28.3,55479.9,52204,34.27,51848.6,33933,18,21.8,21.8,2.026,1.394,1.632
3/31/2022,7:58:10 AM,Cabral,PitProfile_8AM_0401,-17.51649 °,-149.91388 °,758.8,84.1,5.41,7.93,-71.7,0.89,0,28.3,55481,52204.7,34.27,51849.3,33933,18,21.8,21.8,2.11,1.452,1.752
3/31/2022,7:58:11 AM,Cabral,PitProfile_8AM_0402,-17.51649 °,-149.91388 °,758.8,84.1,5.41,7.93,-71.8,0.88,0,28.3,55481.9,52206,34.27,51850.6,33934,18,21.8,21.8,2.19,1.507,1.785
3/31/2022,7:58:12 AM,Cabral,PitProfile_8AM_0403,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.93,-71.8,0.88,0,28.3,55483,52207.9,34.28,51852.5,33935,18,21.8,21.8,2.266,1.559,1.822
3/31/2022,7:58:13 AM,Cabral,PitProfile_8AM_0404,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.93,-71.9,0.85,0,28.3,55483.5,52208.2,34.28,51852.8,33935,18,21.8,21.8,2.391,1.645,1.926
3/31/2022,7:58:14 AM,Cabral,PitProfile_8AM_0405,-17.51649 °,-149.91388 °,758.8,84.1,5.42,7.93,-72,0.85,0,28.3,55484.6,52209.5,34.28,51854.1,33936,18,21.8,21.8,2.465,1.696,1.937
3/31/2022,7:58:15 AM,Cabral,PitProfile_8AM_0406,-17.51649 °,-149.91388 °,758.9,84.2,5.42,7.93,-72,0.84,0,28.3,55484.4,52209.8,34.28,51854.5,33936,18,21.8,21.8,2.548,1.753,2.005
3/31/2022,7:58:16 AM,Cabral,PitProfile_8AM_0407,-17.51649 °,-149.91388 °,758.8,84.2,5.42,7.93,-72.1,0.86,0,28.3,55484.5,52210.5,34.28,51855.3,33937,18,21.8,21.8,2.62,1.803,2.002
3/31/2022,7:58:17 AM,Cabral,PitProfile_8AM_0408,-17.51649 °,-149.91388 °,758.8,84.3,5.43,7.93,-72.1,0.84,0,28.3,55483.9,52210.5,34.28,51855.3,33937,18,21.8,21.8,2.677,1.842,2.024
3/31/2022,7:58:18 AM,Cabral,PitProfile_8AM_0409,-17.51649 °,-149.91388 °,758.8,84.4,5.43,7.93,-72.2,0.81,0,28.3,55483.7,52210.5,34.28,51855.4,33937,18,21.8,21.8,2.779,1.912,2.078
3/31/2022,7:58:19 AM,Cabral,PitProfile_8AM_0410,-17.51649 °,-149.91388 °,758.8,84.5,5.44,7.93,-72.3,0.82,0,28.3,55483.1,52210.5,34.28,51855.4,33937,18,21.8,21.8,2.85,1.961,2.1
3/31/2022,7:58:20 AM,Cabral,PitProfile_8AM_0411,-17.51649 °,-149.91388 °,758.9,84.6,5.44,7.94,-72.3,0.81,0,28.3,55483.1,52210.9,34.28,51855.9,33937,18,21.8,21.8,2.889,1.988,2.116
3/31/2022,7:58:21 AM,Cabral,PitProfile_8AM_0412,-17.51649 °,-149.91388 °,758.9,84.6,5.45,7.94,-72.4,0.78,0,28.3,55481.1,52209.6,34.28,51854.6,33936,18,21.8,21.8,2.953,2.032,2.144
3/31/2022,7:58:22 AM,Cabral,PitProfile_8AM_0413,-17.51649 °,-149.91388 °,758.9,84.7,5.45,7.94,-72.4,0.77,0,28.3,55480,52209.1,34.28,51854.3,33936,18,21.8,21.8,2.985,2.054,2.159
3/31/2022,7:58:23 AM,Cabral,PitProfile_8AM_0414,-17.51649 °,-149.91388 °,758.9,84.8,5.46,7.94,-72.4,0.75,0,28.3,55479.2,52209.6,34.28,51854.9,33936,18,21.8,21.8,3.024,2.081,2.161
3/31/2022,7:58:24 AM,Cabral,PitProfile_8AM_0415,-17.51649 °,-149.91388 °,758.8,84.9,5.46,7.94,-72.5,0.72,0,28.3,55477.4,52209,34.28,51854.5,33936,18,21.8,21.8,3.056,2.103,2.166
3/31/2022,7:58:25 AM,Cabral,PitProfile_8AM_0416,-17.51649 °,-149.91388 °,758.8,84.9,5.47,7.94,-72.5,0.71,0,28.3,55476.6,52208.6,34.28,51854.1,33936,18,21.8,21.8,3.08,2.119,2.199
3/31/2022,7:58:26 AM,Cabral,PitProfile_8AM_0417,-17.51649 °,-149.91388 °,758.8,85,5.47,7.94,-72.6,0.68,0,28.3,55476.5,52208.9,34.28,51854.3,33936,18,21.8,21.8,3.133,2.156,2.296
3/31/2022,7:58:27 AM,Cabral,PitProfile_8AM_0418,-17.51649 °,-149.91388 °,758.8,85,5.47,7.94,-72.6,0.68,0,28.3,55476.4,52209,34.28,51854.6,33936,18,21.8,21.8,3.174,2.184,2.365
3/31/2022,7:58:28 AM,Cabral,PitProfile_8AM_0419,-17.51649 °,-149.91388 °,758.8,85,5.47,7.94,-72.6,0.7,0,28.3,55476.2,52209.3,34.28,51854.8,33936,18,21.8,21.8,3.22,2.216,2.447
3/31/2022,7:58:29 AM,Cabral,PitProfile_8AM_0420,-17.51649 °,-149.91388 °,758.9,85.1,5.48,7.94,-72.7,0.69,0,28.3,55476.3,52210.3,34.28,51855.9,33937,18,21.8,21.8,3.294,2.267,2.474
3/31/2022,7:58:30 AM,Cabral,PitProfile_8AM_0421,-17.51649 °,-149.91388 °,758.9,85.1,5.48,7.94,-72.7,0.69,0,28.3,55475.3,52210.1,34.28,51855.8,33937,18,21.8,21.8,3.353,2.307,2.578
3/31/2022,7:58:31 AM,Cabral,PitProfile_8AM_0422,-17.51649 °,-149.91388 °,758.8,85.1,5.48,7.94,-72.8,0.7,0,28.3,55475.3,52210.6,34.28,51856.5,33937,18,21.8,21.8,3.411,2.347,2.622
3/31/2022,7:58:32 AM,Cabral,PitProfile_8AM_0423,-17.51649 °,-149.91388 °,758.8,85.2,5.48,7.94,-72.8,0.72,0,28.3,55475,52210.9,34.28,51856.8,33937,18,21.8,21.8,3.493,2.403,2.636
3/31/2022,7:58:33 AM,Cabral,PitProfile_8AM_0424,-17.51649 °,-149.91388 °,758.8,85.2,5.49,7.94,-72.9,0.71,0,28.3,55474.3,52210.8,34.28,51856.8,33937,18,21.8,21.8,3.585,2.467,2.658
3/31/2022,7:58:34 AM,Cabral,PitProfile_8AM_0425,-17.51649 °,-149.91388 °,758.9,85.2,5.49,7.95,-72.9,0.72,0,28.3,55473.4,52211,34.28,51857.1,33937,18,21.8,21.8,3.669,2.525,2.705
3/31/2022,7:58:35 AM,Cabral,PitProfile_8AM_0426,-17.51649 °,-149.91388 °,758.9,85.2,5.49,7.95,-72.9,0.71,0,28.3,55473.1,52211.9,34.28,51858.2,33938,18,21.8,21.8,3.725,2.563,2.734
3/31/2022,7:58:36 AM,Cabral,PitProfile_8AM_0427,-17.51649 °,-149.91388 °,758.8,85.3,5.49,7.95,-73,0.71,0,28.3,55472.3,52212.1,34.28,51858.4,33938,18,21.8,21.8,3.784,2.604,2.812
3/31/2022,7:58:37 AM,Cabral,PitProfile_8AM_0428,-17.51649 °,-149.91388 °,758.8,85.3,5.49,7.95,-73,0.71,0,28.3,55470.4,52212.5,34.28,51859,33938,18,21.8,21.8,3.88,2.67,2.884
3/31/2022,7:58:38 AM,Cabral,PitProfile_8AM_0429,-17.51649 °,-149.91388 °,758.8,85.3,5.49,7.95,-73,0.68,0,28.3,55469.3,52212.5,34.28,51859.3,33938,18,21.8,21.8,3.953,2.72,2.994
3/31/2022,7:58:39 AM,Cabral,PitProfile_8AM_0430,-17.51649 °,-149.91388 °,758.9,85.3,5.5,7.95,-73.1,0.67,0,28.3,55468.1,52212.2,34.28,51859,33938,18,21.8,21.8,4.03,2.773,3.031
3/31/2022,7:58:40 AM,Cabral,PitProfile_8AM_0431,-17.51649 °,-149.91388 °,758.9,85.4,5.5,7.95,-73.1,0.65,0,28.3,55467.2,52212.3,34.28,51859.2,33938,18,21.8,21.8,4.097,2.819,3.045
3/31/2022,7:58:41 AM,Cabral,PitProfile_8AM_0432,-17.51649 °,-149.91388 °,758.9,85.4,5.5,7.95,-73.1,0.63,0,28.3,55466.2,52211.9,34.28,51859,33938,18,21.8,21.8,4.179,2.875,3.095
3/31/2022,7:58:42 AM,Cabral,PitProfile_8AM_0433,-17.51649 °,-149.91388 °,758.9,85.4,5.5,7.95,-73.1,0.62,0,28.3,55464.5,52210.7,34.28,51857.8,33937,18,21.8,21.8,4.235,2.914,3.124
3/31/2022,7:58:43 AM,Cabral,PitProfile_8AM_0434,-17.51649 °,-149.91388 °,758.9,85.4,5.5,7.95,-73.2,0.64,0,28.3,55463.7,52210.3,34.28,51857.4,33937,18,21.8,21.8,4.328,2.978,3.212
3/31/2022,7:58:44 AM,Cabral,PitProfile_8AM_0435,-17.51649 °,-149.91388 °,759,85.4,5.5,7.95,-73.2,0.64,0,28.3,55463,52210,34.28,51857.1,33936,18,21.8,21.8,4.403,3.03,3.237
3/31/2022,7:58:45 AM,Cabral,PitProfile_8AM_0436,-17.51649 °,-149.91389 °,759,85.4,5.5,7.95,-73.2,0.66,0,28.3,55462.9,52209.8,34.28,51857,33936,18,21.8,21.8,4.466,3.073,3.259
3/31/2022,7:58:46 AM,Cabral,PitProfile_8AM_0437,-17.51649 °,-149.91389 °,758.8,85.5,5.5,7.95,-73.2,0.66,0,28.3,55462.7,52209.4,34.28,51856.6,33936,18,21.8,21.8,4.568,3.143,3.367
3/31/2022,7:58:47 AM,Cabral,PitProfile_8AM_0438,-17.51649 °,-149.91389 °,758.9,85.5,5.5,7.95,-73.2,0.65,0,28.3,55462.6,52209.1,34.28,51856.2,33936,18,21.8,21.8,4.638,3.191,3.41
3/31/2022,7:58:48 AM,Cabral,PitProfile_8AM_0439,-17.51649 °,-149.91389 °,758.9,85.5,5.5,7.95,-73.2,0.65,0,28.3,55462.2,52208.6,34.28,51855.7,33936,18,21.8,21.8,4.692,3.229,3.472
