7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1643186640, +3.06, +28.795,  -0.05047, +1048.000, +65.000, +571.000
1643186760, +3.06, +28.795,  -0.00403, +1048.000, +65.000, +559.000
1643186880, +3.06, +28.795,  -0.06286, +1048.000, +67.000, +569.000
1643187000, +3.06, +28.803,  -0.00712, +944.000, +72.000, +655.000
1643187120, +3.06, +28.787,  -0.08763, +945.000, +72.000, +654.000
1643187240, +3.06, +28.795,  -0.07525, +1051.000, +67.000, +567.000
1643187360, +3.06, +28.779,  -0.01641, +944.000, +71.000, +655.000
1643187480, +3.06, +28.770,  -0.08763, +947.000, +71.000, +655.000
1643187600, +3.06, +28.779,  +0.07958, +1048.000, +67.000, +560.000
1643187720, +3.06, +28.770,  +0.00836, +944.000, +73.000, +655.000
1643187840, +3.06, +28.795,  +0.02384, +1048.000, +63.000, +559.000
1643187960, +3.06, +28.779,  -0.11241, +945.000, +73.000, +655.000
1643188080, +3.06, +28.779,  -0.06286, +944.000, +71.000, +655.000
1643188200, +3.06, +28.779,  -0.10002, +945.000, +72.000, +652.000
1643188320, +3.06, +28.746,  +0.03623, +947.000, +71.000, +655.000
1643188440, +3.06, +28.721,  -0.08144, +1048.000, +63.000, +563.000
1643188560, +3.06, +28.721,  +0.00217, +947.000, +71.000, +655.000
1643188680, +3.06, +28.689,  -0.07215, +1048.000, +65.000, +561.000
1643188800, +3.06, +28.705,  +0.02384, +1048.000, +62.000, +563.000
1643188920, +3.06, +28.697,  -0.06596, +945.000, +72.000, +655.000
1643189040, +3.06, +28.689,  +0.00836, +947.000, +73.000, +655.000
1643189160, +3.06, +28.664,  -0.14956, +947.000, +71.000, +655.000
1643189280, +3.06, +28.640,  -0.03189, +945.000, +76.000, +655.000
1643189400, +3.06, +28.648,  -0.02261, +947.000, +72.000, +655.000
1643189520, +3.06, +28.623,  -0.03809, +945.000, +72.000, +655.000
1643189640, +3.06, +28.599,  +0.06410, +944.000, +73.000, +655.000
1643189760, +3.06, +28.591,  +0.02384, +947.000, +72.000, +655.000
1643189880, +3.06, +28.582,  -0.09073, +944.000, +71.000, +655.000
1643190000, +3.06, +28.574,  +0.00836, +947.000, +71.000, +654.000
1643190120, +3.06, +28.550,  -0.01951, +943.000, +73.000, +654.000
1643190240, +3.06, +28.558,  +0.03933, +945.000, +72.000, +655.000
1643190360, +3.06, +28.542,  +0.01765, +944.000, +71.000, +655.000
1643190480, +3.06, +28.533,  +0.03004, +945.000, +71.000, +655.000
1643190600, +3.06, +28.517,  -0.05976, +947.000, +70.000, +655.000
1643190720, +3.06, +28.509,  +0.14151, +1008.000, +96.000, +620.000
1643190840, +3.06, +28.501,  -0.10621, +945.000, +71.000, +655.000
1643190960, +3.06, +28.509,  +0.00526, +1004.000, +96.000, +624.000
1643191080, +3.06, +28.509,  -0.13099, +1006.000, +96.000, +624.000
1643191200, +3.06, +28.501,  -0.05357, +947.000, +71.000, +655.000
1643191320, +3.06, +28.517,  -0.05357, +944.000, +72.000, +655.000
1643191440, +3.06, +28.484,  +0.00217, +944.000, +73.000, +654.000
1643191560, +3.06, +28.501,  -0.05667, +947.000, +71.000, +655.000
1643191680, +3.06, +28.501,  -0.12789, +945.000, +72.000, +655.000
1643191800, +3.06, +28.492,  +0.05171, +947.000, +72.000, +655.000
1643191920, +3.06, +28.501,  +0.07649, +947.000, +71.000, +655.000
1643192040, +3.06, +28.501,  +0.00217, +945.000, +72.000, +652.000
1643192160, +3.06, +28.509,  +0.09197, +1009.000, +96.000, +616.000
1643192280, +3.06, +28.509,  -0.20530, +1008.000, +96.000, +624.000
1643192400, +3.06, +28.509,  +0.07958, +1008.000, +96.000, +620.000
1643192520, +3.06, +28.476,  -0.06905, +947.000, +71.000, +655.000
1643192640, +3.06, +28.484,  +0.07958, +944.000, +72.000, +652.000
1643192760, +3.06, +28.476,  +0.07029, +944.000, +72.000, +655.000
1643192880, +3.06, +28.484,  +0.03933, +947.000, +71.000, +657.000
1643193000, +3.06, +28.484,  -0.10312, +944.000, +71.000, +655.000
1643193120, +3.06, +28.476,  -0.02570, +944.000, +71.000, +655.000
1643193240, +3.06, +28.468,  -0.07834, +945.000, +71.000, +659.000
1643193360, +3.06, +28.484,  +0.07029, +945.000, +73.000, +655.000
1643193480, +3.06, +28.484,  -0.13099, +944.000, +71.000, +654.000
1643193600, +3.06, +28.484,  +0.00526, +944.000, +72.000, +656.000
1643193720, +3.06, +28.484,  -0.07215, +945.000, +71.000, +655.000
1643193840, +3.06, +28.509,  +0.00526, +944.000, +72.000, +655.000
1643193960, +3.06, +28.492,  -0.01332, +947.000, +71.000, +655.000
1643194080, +3.06, +28.484,  -0.01332, +944.000, +71.000, +652.000
1643194200, +3.06, +28.484,  +0.00217, +944.000, +72.000, +655.000
1643194320, +3.06, +28.492,  -0.09383, +945.000, +71.000, +655.000
1643194440, +3.06, +28.484,  -0.10002, +944.000, +71.000, +655.000
1643194560, +3.06, +28.484,  -0.14028, +1008.000, +96.000, +624.000
1643194680, +3.06, +28.476,  -0.07215, +945.000, +72.000, +655.000
1643194800, +3.06, +28.476,  -0.04428, +945.000, +71.000, +654.000
1643194920, +3.06, +28.468,  -0.14647, +947.000, +71.000, +655.000
1643195040, +3.06, +28.468,  -0.07215, +945.000, +71.000, +652.000
1643195160, +3.06, +28.452,  -0.13099, +947.000, +72.000, +655.000
1643195280, +3.06, +28.435,  +0.00836, +945.000, +71.000, +655.000
1643195400, +3.06, +28.411,  -0.08144, +944.000, +71.000, +655.000
1643195520, +3.06, +28.402,  -0.05976, +947.000, +71.000, +657.000
1643195640, +3.06, +28.427,  -0.06286, +945.000, +71.000, +655.000
1643195760, +3.06, +28.419,  +0.02694, +944.000, +71.000, +655.000
1643195880, +3.05, +28.411,  -0.06905, +944.000, +73.000, +655.000
1643196000, +3.06, +28.386,  -0.05047, +945.000, +71.000, +655.000
1643196120, +3.06, +28.370,  -0.03809, +1008.000, +96.000, +624.000
1643196240, +3.06, +28.353,  +0.00217, +945.000, +72.000, +655.000
