DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L)
5/13/2021,11:56:58 AM,<None>,,-17.54015 °,-149.90073 °,758.9,69218.3,64881,43.84,64409,42173,83.3,-8,-8,111.4,6.78
5/13/2021,11:57:47 AM,<None>,,-17.54020 °,-149.90073 °,758.9,69231.5,64876.9,43.84,64402.9,42170,83.3,-8,-8,111.3,6.77
5/13/2021,11:58:30 AM,<None>,,-17.54025 °,-149.90074 °,758.8,69239.9,64874.8,43.83,64399.6,42169,83.3,-8,-8,110.5,6.72
5/13/2021,11:59:27 AM,<None>,,-17.54032 °,-149.90077 °,758.9,69269.1,64871,43.83,64392,42166,83.4,-8,-8,109.6,6.66
5/13/2021,12:00:01 PM,<None>,,-17.54027 °,-149.90074 °,759,69251.9,64860.8,43.82,64382.6,42159,83.4,-8,-8,109.6,6.66
5/13/2021,12:00:35 PM,<None>,,-17.54021 °,-149.90073 °,758.9,69235.5,64869.4,43.83,64394,42165,83.3,-8,-8,110.2,6.7
5/13/2021,12:01:20 PM,<None>,,-17.54014 °,-149.90068 °,758.9,69213.7,64873.7,43.83,64401.4,42168,83.3,-8,-8,111,6.75
5/13/2021,12:02:48 PM,<None>,,-17.54006 °,-149.90063 °,758.9,69174.3,64859.9,43.82,64390.5,42159,83.3,-8,-8,112.5,6.85
5/13/2021,12:08:01 PM,<None>,,-17.53996 °,-149.90062 °,759,69072.7,64782.1,43.76,64315.4,42108,83.2,-8,-8,113.4,6.91
5/13/2021,12:08:54 PM,<None>,,-17.53987 °,-149.90054 °,758.9,69054.4,64802.9,43.78,64340.6,42122,83.2,-8,-8,115,7.01
5/13/2021,12:09:55 PM,<None>,,-17.53975 °,-149.90053 °,758.8,68707.3,64563.3,43.6,64113.2,41966,83,-8,-8,113.5,6.93
5/13/2021,12:10:16 PM,<None>,,-17.53972 °,-149.90050 °,758.8,68591.5,64477.6,43.53,64030.9,41910,83,-8,-8,112.9,6.9
5/13/2021,12:10:47 PM,<None>,,-17.53970 °,-149.90047 °,758.8,68532.2,64457.6,43.52,64015.3,41897,83,-8,-8,112.6,6.88
5/13/2021,12:11:18 PM,<None>,,-17.53966 °,-149.90041 °,758.8,68488.8,64430.2,43.5,63989.7,41880,82.9,-8,-8,112.4,6.87
5/13/2021,12:11:33 PM,<None>,,-17.53963 °,-149.90041 °,758.8,68463.9,64400.3,43.48,63959.2,41860,82.9,-8,-8,112.1,6.86
5/13/2021,12:11:47 PM,<None>,,-17.53961 °,-149.90039 °,758.8,68419.9,64343,43.43,63900.4,41823,83,-8,-8,111.5,6.82
5/13/2021,12:12:01 PM,<None>,,-17.53957 °,-149.90041 °,758.8,68384.8,64284.4,43.39,63839.2,41785,83,-8,-8,111,6.79
5/13/2021,12:12:12 PM,<None>,,-17.53954 °,-149.90044 °,758.8,68344.8,64229.1,43.34,63782.1,41749,83,-8,-8,111.3,6.8
5/13/2021,12:12:41 PM,<None>,,-17.53952 °,-149.90048 °,758.7,68069.5,63966.3,43.14,63520.6,41578,83,-8,-8,111.4,6.82
5/13/2021,12:12:55 PM,<None>,,-17.53950 °,-149.90051 °,758.7,68071.3,63975.4,43.15,63530.6,41584,83,-8,-8,111.1,6.8
5/13/2021,12:13:09 PM,<None>,,-17.53947 °,-149.90054 °,758.8,68137.8,64055.2,43.21,63611.9,41636,83,-8,-8,111.1,6.8
5/13/2021,12:13:22 PM,<None>,,-17.53944 °,-149.90056 °,758.8,68132.7,64062.4,43.21,63620.5,41641,83,-8,-8,111.3,6.81
5/13/2021,12:13:35 PM,<None>,,-17.53941 °,-149.90059 °,758.8,68116.5,64051.4,43.21,63610,41633,83,-8,-8,111.6,6.84
5/13/2021,12:13:49 PM,<None>,,-17.53937 °,-149.90060 °,758.8,68176.2,64111.5,43.25,63670.3,41673,83,-8,-8,111.5,6.83
5/13/2021,12:14:01 PM,<None>,,-17.53934 °,-149.90063 °,758.8,68202,64130,43.27,63688,41685,83,-8,-8,111.6,6.83
5/13/2021,12:14:15 PM,<None>,,-17.53930 °,-149.90065 °,758.8,68183.3,64102.2,43.25,63659.1,41666,83,-8,-8,111.4,6.82
5/13/2021,12:14:36 PM,<None>,,-17.53928 °,-149.90070 °,758.8,68177.1,64096.5,43.24,63653.5,41663,83,-8,-8,111.2,6.81
5/13/2021,12:14:52 PM,<None>,,-17.53925 °,-149.90071 °,758.8,68196.9,64110.3,43.25,63666.5,41672,83,-8,-8,111.4,6.82
5/13/2021,12:15:09 PM,<None>,,-17.53921 °,-149.90076 °,758.8,68195.1,64103.3,43.25,63659,41667,83,-8,-8,111.3,6.81
5/13/2021,12:15:22 PM,<None>,,-17.53917 °,-149.90077 °,758.8,68178,64086.9,43.23,63642.6,41656,83,-8,-8,111.3,6.81
5/13/2021,12:15:34 PM,<None>,,-17.53913 °,-149.90080 °,758.8,68126.8,64027.8,43.19,63582.7,41618,83,-8,-8,111.4,6.82
5/13/2021,12:15:49 PM,<None>,,-17.53910 °,-149.90083 °,758.8,68059.1,63963.4,43.14,63518.6,41576,83,-8,-8,111.4,6.82
5/13/2021,12:16:04 PM,<None>,,-17.53906 °,-149.90086 °,758.8,68066.4,63966,43.14,63520.6,41578,83,-8,-8,111.7,6.84
5/13/2021,12:16:18 PM,<None>,,-17.53903 °,-149.90089 °,758.8,68017.7,63920.5,43.1,63475.5,41548,83,-8,-8,111.7,6.84
5/13/2021,12:16:32 PM,<None>,,-17.53900 °,-149.90091 °,758.7,67990.9,63903.5,43.09,63459.6,41537,83,-8,-8,111.9,6.85
5/13/2021,12:16:47 PM,<None>,,-17.53896 °,-149.90096 °,758.8,67978.9,63896.5,43.09,63453.1,41533,83,-8,-8,111.8,6.85
5/13/2021,12:17:03 PM,<None>,,-17.53894 °,-149.90097 °,758.8,67972.5,63893.5,43.08,63450.6,41531,83,-8,-8,111.9,6.86
5/13/2021,12:17:20 PM,<None>,,-17.53890 °,-149.90100 °,758.8,67949.1,63868.9,43.07,63425.8,41515,83,-8,-8,112,6.86
5/13/2021,12:18:56 PM,<None>,,-17.53883 °,-149.90103 °,758.8,68357.6,64254.2,43.36,63808.7,41765,83,-8,-8,111.8,6.84
5/13/2021,12:19:38 PM,<None>,,-17.53899 °,-149.90094 °,758.8,68445.2,64362.3,43.45,63919.1,41835,83,-8,-8,111.8,6.84
5/13/2021,12:25:23 PM,<None>,,-17.53919 °,-149.90079 °,758.7,68613,64508.1,43.56,64062.4,41930,83,-8,-8,112.6,6.88
5/13/2021,12:25:57 PM,<None>,,-17.53913 °,-149.90083 °,758.7,68574.2,64464.1,43.52,64017.8,41902,83,-8,-8,112.5,6.88
5/13/2021,12:26:15 PM,<None>,,-17.53911 °,-149.90086 °,758.6,68581.8,64469.2,43.53,64022.7,41905,83,-8,-8,112.4,6.87
5/13/2021,12:26:35 PM,<None>,,-17.53909 °,-149.90088 °,758.7,68580.8,64464.2,43.52,64017.2,41902,83,-8,-8,112.4,6.87
5/13/2021,12:26:53 PM,<None>,,-17.53906 °,-149.90091 °,758.7,68582,64463.3,43.52,64016,41901,83,-8,-8,112.4,6.87
5/13/2021,12:27:08 PM,<None>,,-17.53903 °,-149.90092 °,758.6,68578.9,64460.2,43.52,64013,41899,83,-8,-8,112.6,6.88
5/13/2021,12:27:24 PM,<None>,,-17.53900 °,-149.90094 °,758.7,68558.9,64441.3,43.51,63994.2,41887,83,-8,-8,112.5,6.88
5/13/2021,12:27:39 PM,<None>,,-17.53898 °,-149.90097 °,758.7,68565.6,64442.5,43.51,63994.7,41888,83,-8,-8,112.7,6.88
5/13/2021,12:27:57 PM,<None>,,-17.53895 °,-149.90099 °,758.5,68566,64442.5,43.51,63994.6,41888,83,-8,-8,112.6,6.88
5/13/2021,12:28:19 PM,<None>,,-17.53893 °,-149.90102 °,758.6,68564.8,64439.7,43.5,63991.6,41886,83,-8,-8,112.8,6.89
5/13/2021,12:28:40 PM,<None>,,-17.53889 °,-149.90103 °,758.5,68589.8,64455.6,43.52,64006.6,41896,83,-8,-8,113.1,6.91
5/13/2021,12:29:05 PM,<None>,,-17.53884 °,-149.90106 °,758.6,68608.5,64463,43.52,64012.6,41901,83.1,-8,-8,113.2,6.92
5/13/2021,12:29:27 PM,<None>,,-17.53880 °,-149.90112 °,758.5,68612.5,64467.2,43.52,64016.9,41904,83.1,-8,-8,113.4,6.93
5/13/2021,12:29:45 PM,<None>,,-17.53876 °,-149.90115 °,758.7,68613.2,64467.7,43.53,64017.4,41904,83.1,-8,-8,113.5,6.93
5/13/2021,12:29:57 PM,<None>,,-17.53872 °,-149.90117 °,758.5,68608.3,64464.6,43.52,64014.5,41902,83.1,-8,-8,113.7,6.95
5/13/2021,12:30:10 PM,<None>,,-17.53868 °,-149.90121 °,758.5,68603.6,64458.3,43.52,64008,41898,83.1,-8,-8,113.8,6.95
5/13/2021,12:30:23 PM,<None>,,-17.53864 °,-149.90125 °,758.5,68598.2,64446.9,43.51,63995.9,41890,83.1,-8,-8,113.8,6.95
5/13/2021,12:30:35 PM,<None>,,-17.53861 °,-149.90128 °,758.6,68599.9,64445.3,43.51,63993.9,41889,83.1,-8,-8,113.9,6.96
5/13/2021,12:30:49 PM,<None>,,-17.53855 °,-149.90132 °,758.6,68570.9,64410.1,43.48,63958,41867,83.1,-8,-8,113.6,6.94
5/13/2021,12:31:01 PM,<None>,,-17.53852 °,-149.90135 °,758.7,68549.3,64380.6,43.46,63927.7,41847,83.1,-8,-8,113.4,6.93
5/13/2021,12:31:19 PM,<None>,,-17.53846 °,-149.90140 °,758.5,68535.8,64356.9,43.44,63902.7,41832,83.1,-8,-8,113.4,6.93
5/13/2021,12:31:35 PM,<None>,,-17.53843 °,-149.90144 °,758.5,68550.2,64370.9,43.45,63916.7,41841,83.1,-8,-8,113.4,6.93
5/13/2021,12:31:51 PM,<None>,,-17.53838 °,-149.90149 °,758.5,68563.3,64387.2,43.46,63933.4,41852,83.1,-8,-8,113.5,6.93
5/13/2021,12:32:11 PM,<None>,,-17.53833 °,-149.90155 °,758.5,68562.1,64386,43.46,63932.2,41851,83.1,-8,-8,113.7,6.95
5/13/2021,12:32:33 PM,<None>,,-17.53828 °,-149.90161 °,758.5,68556.9,64363.2,43.44,63907.3,41836,83.1,-8,-8,113.6,6.94
5/13/2021,12:32:55 PM,<None>,,-17.53822 °,-149.90166 °,758.5,68619.4,64425.3,43.49,63969.4,41876,83.1,-8,-8,113.8,6.95
5/13/2021,12:33:14 PM,<None>,,-17.53819 °,-149.90173 °,758.5,68564.6,64385.4,43.46,63931.3,41851,83.1,-8,-8,114.4,6.98
5/13/2021,12:33:36 PM,<None>,,-17.53813 °,-149.90179 °,758.5,68610.8,64430.5,43.5,63976.3,41880,83.1,-8,-8,115.1,7.03
5/13/2021,12:33:57 PM,<None>,,-17.53807 °,-149.90189 °,758.6,68600.4,64415.5,43.48,63960.6,41870,83.1,-8,-8,114.5,6.99
5/13/2021,12:34:17 PM,<None>,,-17.53802 °,-149.90195 °,758.5,68246.2,64078.6,43.22,63625.6,41651,83.1,-8,-8,114.4,7
5/13/2021,12:34:50 PM,<None>,,-17.53797 °,-149.90201 °,758.6,68486.5,64294.9,43.39,63839.3,41792,83.1,-8,-8,114.2,6.97
5/13/2021,12:35:12 PM,<None>,,-17.53792 °,-149.90207 °,758.5,68428.7,64246,43.35,63791.4,41760,83.1,-8,-8,114.8,7.02
5/13/2021,12:35:34 PM,<None>,,-17.53787 °,-149.90215 °,758.5,68456.2,64257.6,43.36,63801.2,41767,83.2,-8,-8,114.6,7
5/13/2021,12:35:57 PM,<None>,,-17.53783 °,-149.90222 °,758.6,68370.2,64161,43.29,63703.4,41705,83.2,-8,-8,114.7,7.01
5/13/2021,12:36:19 PM,<None>,,-17.53779 °,-149.90228 °,758.6,68353.3,64161.6,43.29,63705.9,41705,83.2,-8,-8,114.8,7.02
5/13/2021,12:36:40 PM,<None>,,-17.53774 °,-149.90236 °,758.5,68322.8,64132.9,43.27,63677.4,41686,83.2,-8,-8,115.1,7.03
5/13/2021,12:36:59 PM,<None>,,-17.53768 °,-149.90244 °,758.6,68606.4,64394,43.47,63936.1,41856,83.2,-8,-8,114.9,7.02
5/13/2021,12:37:42 PM,<None>,,-17.53760 °,-149.90259 °,758.5,68481.4,64208.7,43.32,63743.8,41736,83.3,-8,-8,117.7,7.18
5/13/2021,12:37:53 PM,<None>,,-17.53758 °,-149.90263 °,758.5,68496.2,64243,43.35,63780.3,41758,83.2,-8,-8,116.8,7.13
5/13/2021,12:38:01 PM,<None>,,-17.53756 °,-149.90266 °,758.5,68532.8,64284.8,43.38,63822.8,41785,83.2,-8,-8,116.3,7.1
5/13/2021,12:38:23 PM,<None>,,-17.53751 °,-149.90276 °,758.5,68383.2,64147.7,43.28,63687,41696,83.2,-8,-8,116.3,7.1
5/13/2021,12:38:46 PM,<None>,,-17.53749 °,-149.90286 °,758.5,68529.8,64255.7,43.36,63790.7,41766,83.3,-8,-8,117.1,7.15
5/13/2021,12:39:08 PM,<None>,,-17.53745 °,-149.90295 °,758.6,68390.7,64115.1,43.25,63649.9,41675,83.3,-8,-8,117.5,7.17
5/13/2021,12:39:35 PM,<None>,,-17.53738 °,-149.90306 °,758.5,68509.2,64188.5,43.3,63718.2,41723,83.3,-8,-8,118.6,7.24
5/13/2021,12:40:28 PM,<None>,,-17.53720 °,-149.90324 °,758.5,68727.5,64170.7,43.28,63673.3,41711,83.7,-8,-8,121.7,7.4
5/13/2021,12:40:49 PM,<None>,,-17.53713 °,-149.90332 °,758.5,68713,64198.8,43.31,63706.3,41729,83.6,-8,-8,122.1,7.43
5/13/2021,12:41:14 PM,<None>,,-17.53704 °,-149.90341 °,758.5,68673.3,64090.9,43.22,63590.6,41659,83.8,-8,-8,123.8,7.53
5/13/2021,12:41:42 PM,<None>,,-17.53697 °,-149.90352 °,758.5,68757.7,64055.7,43.19,63541.6,41636,83.9,-8,-8,126.3,7.67
5/13/2021,12:42:12 PM,<None>,,-17.53690 °,-149.90363 °,758.5,68137.3,63389.8,42.68,62870.2,41203,84.1,27.9,27.9,123,7.48
5/13/2021,12:42:39 PM,<None>,,-17.53683 °,-149.90370 °,758.5,69038.7,63644.3,42.85,63049.9,41369,85,27.8,27.8,127,7.65
5/13/2021,12:43:09 PM,<None>,,-17.53675 °,-149.90375 °,758.5,69027.4,63403.1,42.66,62781.6,41212,85.4,27.6,27.6,125.8,7.56
5/13/2021,12:45:11 PM,<None>,,-17.53693 °,-149.90359 °,758.5,68539.3,63590.8,42.83,63048.1,41334,84.3,27.9,27.9,124.8,7.56
5/13/2021,12:45:50 PM,<None>,,-17.53704 °,-149.90344 °,758.4,68728.3,64168.1,43.28,63670.3,41709,83.7,-8,-8,124.7,7.58
5/13/2021,12:46:13 PM,<None>,,-17.53714 °,-149.90344 °,758.5,68572.5,64283.3,43.38,63816.6,41784,83.3,-8,-8,119,7.26
5/13/2021,12:46:30 PM,<None>,,-17.53718 °,-149.90340 °,758.5,68599.8,64360.3,43.44,63899.2,41834,83.2,-8,-8,119.5,7.29
5/13/2021,12:46:44 PM,<None>,,-17.53722 °,-149.90338 °,758.5,68599.7,64365.5,43.44,63905.1,41838,83.2,-8,-8,119.7,7.31
5/13/2021,12:46:56 PM,<None>,,-17.53726 °,-149.90337 °,758.5,68607.1,64382.2,43.46,63922.9,41848,83.2,-8,-8,120.1,7.33
5/13/2021,12:47:13 PM,<None>,,-17.53731 °,-149.90334 °,758.5,68590.8,64381,43.46,63923.3,41848,83.2,-8,-8,122,7.45
5/13/2021,12:47:27 PM,<None>,,-17.53735 °,-149.90332 °,758.5,68585.8,64376.1,43.45,63918.5,41844,83.2,-8,-8,124.1,7.58
5/13/2021,12:48:02 PM,<None>,,-17.53741 °,-149.90327 °,758.4,68593.9,64381.8,43.46,63923.9,41848,83.2,-8,-8,124.6,7.61
5/13/2021,12:48:28 PM,<None>,,-17.53747 °,-149.90326 °,758.4,68569.7,64352.6,43.43,63894.1,41829,83.2,-8,-8,127.6,7.79
5/13/2021,12:48:41 PM,<None>,,-17.53751 °,-149.90324 °,758.5,68523.4,64312.8,43.4,63855,41803,83.2,-8,-8,129.8,7.93
5/13/2021,12:48:56 PM,<None>,,-17.53753 °,-149.90321 °,758.5,68538.3,64330.8,43.42,63873.4,41815,83.2,-8,-8,131.9,8.06
5/13/2021,12:49:10 PM,<None>,,-17.53755 °,-149.90317 °,758.5,68537.3,64332.2,43.42,63875.1,41816,83.2,-8,-8,135,8.24
5/13/2021,12:49:26 PM,<None>,,-17.53754 °,-149.90312 °,758.4,68515.6,64303,43.4,63845,41797,83.2,-8,-8,133.4,8.14
5/13/2021,12:50:13 PM,<None>,,-17.53758 °,-149.90311 °,758.5,68577.3,64357.9,43.44,63899.1,41833,83.2,-8,-8,129.1,7.88
5/13/2021,12:50:24 PM,<None>,,-17.53758 °,-149.90308 °,758.5,68600.6,64383.7,43.46,63925.2,41849,83.2,-8,-8,130.2,7.95
5/13/2021,12:50:42 PM,<None>,,-17.53761 °,-149.90303 °,758.5,68620.3,64403.3,43.47,63944.9,41862,83.2,-8,-8,129.1,7.88
5/13/2021,12:50:57 PM,<None>,,-17.53765 °,-149.90303 °,758.4,68604.1,64391.3,43.46,63933.3,41854,83.2,-8,-8,130.1,7.94
5/13/2021,12:51:11 PM,<None>,,-17.53767 °,-149.90302 °,758.4,68589.6,64373.5,43.45,63915.1,41843,83.2,-8,-8,133.1,8.13
5/13/2021,12:51:45 PM,<None>,,-17.53763 °,-149.90294 °,758.5,68611.7,64396,43.47,63937.6,41857,83.2,-8,-8,129.2,7.89
5/13/2021,12:53:26 PM,<None>,,-17.53769 °,-149.90285 °,758.5,68550.1,64314.4,43.4,63853.8,41804,83.2,-8,-8,131.3,8.02
5/13/2021,12:53:38 PM,<None>,,-17.53764 °,-149.90285 °,758.5,68653.8,64405.2,43.47,63943.2,41863,83.2,-8,-8,127.7,7.79
5/13/2021,12:53:52 PM,<None>,,-17.53760 °,-149.90285 °,758.5,68724.3,64466.9,43.52,64003.8,41903,83.2,-8,-8,123.5,7.53
5/13/2021,12:54:29 PM,<None>,,-17.53756 °,-149.90273 °,758.5,68735.6,64446.1,43.5,63979.3,41890,83.3,-8,-8,119.1,7.26
5/13/2021,12:54:41 PM,<None>,,-17.53755 °,-149.90269 °,758.4,68795.4,64478.1,43.53,64008.3,41911,83.3,-8,-8,118.3,7.21
5/13/2021,12:54:56 PM,<None>,,-17.53759 °,-149.90266 °,758.5,68727,64395.2,43.46,63923.6,41857,83.3,-8,-8,117.6,7.17
5/13/2021,12:55:30 PM,<None>,,-17.53768 °,-149.90262 °,758.5,68754,64460.6,43.52,63993.4,41899,83.3,-8,-8,118.4,7.22
5/13/2021,12:56:12 PM,<None>,,-17.53775 °,-149.90251 °,758.5,68669.3,64411.8,43.48,63948.7,41868,83.2,-8,-8,120.8,7.37
5/13/2021,12:56:42 PM,<None>,,-17.53778 °,-149.90245 °,758.3,68729.7,64476.1,43.53,64013.5,41909,83.2,-8,-8,123.9,7.56
5/13/2021,12:56:46 PM,<None>,,-17.53779 °,-149.90245 °,758.4,68728.6,64474,43.53,64011.2,41908,83.2,-8,-8,123.1,7.51
5/13/2021,12:56:57 PM,<None>,,-17.53781 °,-149.90242 °,758.5,68686.4,64430.5,43.49,63967.6,41880,83.2,-8,-8,123.3,7.52
5/13/2021,12:57:34 PM,<None>,,-17.53783 °,-149.90237 °,758.4,68715.5,64445.6,43.5,63981.1,41890,83.2,-8,-8,122.1,7.45
5/13/2021,12:57:47 PM,<None>,,-17.53783 °,-149.90234 °,758.3,68727.4,64461.3,43.52,63997.2,41900,83.2,-8,-8,122.5,7.47
5/13/2021,12:57:59 PM,<None>,,-17.53784 °,-149.90233 °,758.5,68685.4,64423.6,43.49,63960,41875,83.2,-8,-8,123.7,7.54
5/13/2021,12:58:16 PM,<None>,,-17.53783 °,-149.90230 °,758.4,68577.7,64307.6,43.4,63843.1,41800,83.3,-8,-8,122.5,7.47
5/13/2021,12:58:48 PM,<None>,,-17.53788 °,-149.90222 °,758.4,68021.1,63763.3,42.98,63300,41446,83.3,28.2,28.2,119.9,7.33
5/13/2021,12:59:08 PM,<None>,,-17.53793 °,-149.90221 °,758.4,67638.9,63411.2,42.71,62951.2,41217,83.3,28,28,121.4,7.43
5/13/2021,12:59:46 PM,<None>,,-17.53800 °,-149.90219 °,758.3,67513.8,63308.7,42.63,62851.3,41151,83.3,28,28,123.2,7.55
5/13/2021,12:59:55 PM,<None>,,-17.53802 °,-149.90218 °,758.3,67479,63280.5,42.61,62823.8,41132,83.2,28,28,123.5,7.57
5/13/2021,1:00:12 PM,<None>,,-17.53805 °,-149.90216 °,758.2,67396.2,63186.1,42.54,62728.1,41071,83.3,27.9,27.9,124.3,7.62
5/13/2021,1:00:44 PM,<None>,,-17.53808 °,-149.90210 °,758.3,67415.6,63207.6,42.55,62749.7,41085,83.3,27.9,27.9,126.2,7.74
5/13/2021,1:00:58 PM,<None>,,-17.53810 °,-149.90208 °,758.3,68487.5,64208.2,43.32,63742.6,41735,83.3,-8,-8,126.9,7.74
5/13/2021,1:01:07 PM,<None>,,-17.53810 °,-149.90207 °,758.4,68680.4,64390.3,43.46,63923.5,41854,83.3,-8,-8,126.7,7.73
5/13/2021,1:01:40 PM,<None>,,-17.53811 °,-149.90202 °,758.3,68761.8,64470,43.52,64003,41905,83.3,-8,-8,125.7,7.67
5/13/2021,1:01:58 PM,<None>,,-17.53814 °,-149.90199 °,758.3,68784,64492.8,43.54,64025.9,41920,83.3,-8,-8,126,7.68
5/13/2021,1:02:08 PM,<None>,,-17.53815 °,-149.90198 °,758.4,68837,64539.3,43.58,64071.6,41951,83.3,-8,-8,126,7.68
5/13/2021,1:02:34 PM,<None>,,-17.53814 °,-149.90192 °,758.4,68867,64559.3,43.59,64090.5,41964,83.3,-8,-8,127.6,7.78
5/13/2021,1:02:50 PM,<None>,,-17.53813 °,-149.90189 °,758.4,68790.3,64485.3,43.53,64016.8,41915,83.3,-8,-8,126.4,7.7
5/13/2021,1:02:58 PM,<None>,,-17.53815 °,-149.90187 °,758.2,68728.8,64422.2,43.49,63953.5,41874,83.3,-8,-8,124.9,7.61
5/13/2021,1:03:12 PM,<None>,,-17.53818 °,-149.90186 °,758.3,68775.3,64472.4,43.52,64004.2,41907,83.3,-8,-8,123.2,7.51
5/13/2021,1:03:31 PM,<None>,,-17.53821 °,-149.90181 °,758.3,68768.8,64466.4,43.52,63998.2,41903,83.3,-8,-8,124.1,7.56
5/13/2021,1:03:56 PM,<None>,,-17.53821 °,-149.90176 °,758.3,68657.9,64358.8,43.44,63890.9,41833,83.3,-8,-8,123.6,7.53
5/13/2021,1:04:54 PM,<None>,,-17.53831 °,-149.90167 °,758.3,68731.6,64416,43.48,63946.4,41870,83.3,-8,-8,123,7.5
5/13/2021,1:05:53 PM,<None>,,-17.53837 °,-149.90157 °,758.3,68785.3,64432.1,43.49,63958.1,41881,83.4,-8,-8,121.7,7.42
5/13/2021,1:06:19 PM,<None>,,-17.53843 °,-149.90154 °,758.2,68880.5,64528.6,43.57,64054.8,41944,83.4,-8,-8,122.3,7.45
5/13/2021,1:06:28 PM,<None>,,-17.53847 °,-149.90154 °,758.2,68874.4,64526.1,43.56,64052.8,41942,83.4,-8,-8,122,7.43
5/13/2021,1:06:51 PM,<None>,,-17.53851 °,-149.90150 °,758.2,68878.5,64534.9,43.57,64062,41948,83.3,-8,-8,124,7.55
5/13/2021,1:07:41 PM,<None>,,-17.53855 °,-149.90138 °,758.2,68908.2,64560.6,43.59,64087.3,41964,83.4,-8,-8,124,7.55
5/13/2021,1:07:54 PM,<None>,,-17.53857 °,-149.90134 °,758.2,68896.1,64535.4,43.57,64060.5,41948,83.4,-8,-8,122.7,7.47
5/13/2021,1:10:11 PM,<None>,,-17.53890 °,-149.90102 °,758.2,68886.8,64496.4,43.54,64018.2,41923,83.4,-8,-8,119.4,7.27
5/13/2021,1:10:19 PM,<None>,,-17.53893 °,-149.90100 °,758.2,68890.9,64508.5,43.55,64031.2,41930,83.4,-8,-8,119.6,7.28
5/13/2021,1:10:31 PM,<None>,,-17.53897 °,-149.90096 °,758.3,68893.1,64512.8,43.55,64035.7,41933,83.4,-8,-8,119.6,7.28
